finger 1,finger 2,finger 3,finger 4,finger 5,pitch1,roll1,yaw1,pitch2,roll2,yaw2,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z
1,-3,36,110,90,0.94,81.55,96.36,-6.69,-70,71.07,-0.15,9.25,1.37,-0.03,0.08,0.05,1.17,-9.34,3.4,-0.07,-0.08,-0.03
91,-3,16,92,84,0.97,83.05,97.94,-8.65,-69.06,66.93,-0.16,9.29,1.13,-0.02,0.06,0.06,1.5,-9.2,3.52,-0.08,-0.06,-0.05
91,-3,36,78,87,-0.41,82.63,86.82,-8.5,-70.38,66,0.07,9.33,1.21,-0.05,0.04,0.04,1.48,-9.32,3.32,-0.08,-0.04,-0.02
91,-3,42,114,78,-1,83.07,81.8,-8.88,-70.73,64.66,0.16,9.3,1.13,-0.04,0.06,0.05,1.54,-9.3,3.25,-0.08,-0.06,-0.03
91,-3,60,114,79,-0.44,83.52,86.07,-9.22,-69.71,64.9,0.07,9.22,1.05,-0.03,0.1,0.06,1.58,-9.11,3.37,-0.08,-0.1,-0.02
91,-3,70,132,64,-0.69,82.84,84.45,-8.29,-70.56,66.36,0.11,9.02,1.13,-0.04,0.13,0.08,1.4,-9.05,3.19,-0.09,-0.13,-0.02
91,-3,92,130,78,-0.57,81.78,86.03,-7.95,-71.08,66.69,0.09,9.07,1.31,0.02,0.14,0.09,1.36,-9.19,3.15,-0.05,-0.15,-0.07
91,-3,120,132,67,-0.19,80.24,88.87,-5.69,-71.68,72.42,0.03,9.14,1.57,0.02,0.14,0.09,0.98,-9.34,3.09,-0.05,-0.15,-0.06
91,-3,104,85,73,0.34,80.56,92.06,-6.31,-70.84,71.39,-0.06,9.2,1.53,0.06,0.22,0.12,1.1,-9.39,3.26,-0.03,-0.24,-0.09
91,-3,110,72,70,1.55,82.8,102.19,-8.68,-68.85,67.07,-0.26,9.47,1.2,0.08,0.21,0.09,1.53,-9.38,3.63,0.01,-0.21,-0.09
91,-3,114,51,79,2.05,83.37,107.23,-7.99,-68.32,69.21,-0.34,9.49,1.1,0.04,0.18,0.08,1.42,-9.39,3.73,-0.02,-0.18,-0.07
91,-3,100,24,73,2.57,83.27,111,-7.6,-67.52,70.76,-0.42,9.36,1.1,0.07,0.16,0.07,1.33,-9.22,3.81,-0.01,-0.16,-0.1
91,-3,76,31,70,3.58,83.67,119.59,-7.58,-66.98,71.2,-0.59,9.39,1.04,0.07,0.13,0.09,1.34,-9.27,3.94,-0.02,-0.14,-0.11
91,-3,110,40,39,3.44,84.93,124.22,-8.19,-65.8,70.64,-0.57,9.45,0.84,0.07,0.1,0.1,1.44,-9.1,4.09,-0.05,-0.13,-0.12
91,-3,96,24,34,3.75,86.95,140.94,-10.36,-64.83,66.75,-0.62,9.47,0.51,0.06,0.09,0.14,1.83,-9.08,4.27,-0.09,-0.13,-0.14
91,-3,90,29,24,2.83,87.38,137.24,-11.41,-65.56,63.99,-0.48,9.63,0.44,0.05,0,0.12,2.04,-9.21,4.19,-0.11,-0.02,-0.14
91,-3,104,38,25,1.46,87.06,116.46,-11.65,-66.2,62.94,-0.25,9.76,0.5,0.02,-0.05,0.12,2.1,-9.33,4.12,-0.14,0.01,-0.13
91,-3,92,4,33,0.51,87.69,102.38,-12.42,-66.82,60.77,-0.09,9.72,0.39,-0.03,-0.06,0.12,2.22,-9.28,3.97,-0.17,0.03,-0.1
91,-3,78,6,72,-0.68,87.2,76.44,-12.24,-68.12,59.8,0.11,9.74,0.48,-0.1,-0.06,0.15,2.18,-9.31,3.74,-0.23,0.03,-0.05
91,-3,88,22,84,-2.21,86.22,59.69,-13.04,-70.29,55.54,0.38,9.86,0.65,-0.14,-0.04,0.15,2.36,-9.61,3.44,-0.24,0.01,-0.01
91,-3,84,13,90,-2.74,86.45,52.33,-13.3,-70.67,54.47,0.46,9.64,0.6,-0.18,-0.06,0.1,2.36,-9.4,3.3,-0.23,0.06,0.03
91,-3,68,38,105,-3.13,84.84,58.68,-11.53,-71.19,57.67,0.52,9.41,0.85,-0.21,-0.07,0.08,1.99,-9.23,3.14,-0.24,0.07,0.07
91,-3,66,69,94,-4.57,82.15,59.64,-9.37,-74.04,59.03,0.75,9.31,1.28,-0.23,0,0.11,1.63,-9.48,2.71,-0.25,0,0.09
91,-3,62,105,81,-4.35,82.23,60.67,-10.68,-74,55.62,0.71,9.21,1.26,-0.21,0.05,0.11,1.84,-9.36,2.68,-0.22,-0.05,0.09
91,-3,70,121,79,-4.65,81.59,60.94,-10.04,-74.73,56.09,0.75,9.15,1.35,-0.18,0.03,0.07,1.73,-9.45,2.58,-0.17,-0.01,0.07
91,-3,80,157,84,-4.57,79.52,66.27,-7.67,-75.28,62.08,0.74,9.1,1.68,-0.14,0.04,0.03,1.31,-9.44,2.48,-0.12,-0.02,0.07
91,-3,90,148,70,-4.69,79.29,66.17,-6.97,-75.39,64.13,0.76,9.12,1.72,-0.12,0.13,0.07,1.2,-9.47,2.47,-0.12,-0.12,0.06
91,-3,96,139,81,-4.14,80.75,65.74,-9.42,-74.26,58.56,0.69,9.4,1.53,-0.11,0.2,0.09,1.64,-9.53,2.69,-0.12,-0.18,0.07
91,-3,106,112,85,-3.54,81.11,68.21,-9.66,-74.76,57.07,0.6,9.53,1.49,-0.1,0.13,0.07,1.73,-9.82,2.68,-0.1,-0.11,0.05
91,-3,102,108,82,-3.72,80.39,68.74,-8.09,-74.16,62.47,0.62,9.38,1.59,-0.1,0.12,0.04,1.41,-9.54,2.71,-0.09,-0.09,0.05
91,-3,110,87,69,-3.64,79.73,70.35,-7.65,-74.37,63.5,0.61,9.43,1.71,-0.11,0.18,0.07,1.36,-9.73,2.72,-0.1,-0.18,0.06
91,-3,110,85,55,-1.61,81.26,79.51,-9.35,-72.5,61.29,0.27,9.5,1.46,-0.09,0.14,0.03,1.67,-9.65,3.04,-0.08,-0.1,0.06
91,-3,96,112,42,-2.45,80.22,75.88,-7.28,-73,66.39,0.4,9.33,1.61,-0.1,0.09,0.01,1.26,-9.46,2.89,-0.09,-0.06,0.07
91,-3,96,105,36,-2.25,80.24,76.95,-7.94,-72.89,64.63,0.37,9.37,1.61,-0.15,0.14,0.06,1.39,-9.51,2.93,-0.13,-0.12,0.09
91,-3,104,126,19,-0.86,80.72,84.68,-8.59,-72.3,63.58,0.14,9.28,1.52,-0.15,0.08,0.02,1.5,-9.45,3.02,-0.12,-0.02,0.09
91,-3,90,130,21,-1.91,78.98,80.13,-6.54,-73.79,67.66,0.31,9.18,1.79,-0.16,0.03,-0.01,1.13,-9.48,2.76,-0.11,0.02,0.1
90,-3,94,130,33,-1.92,78.33,80.57,-5.29,-73.36,72.09,0.31,8.94,1.85,-0.17,0.05,0.02,0.89,-9.17,2.74,-0.13,-0.02,0.1
90,-3,98,110,43,-1.7,78.16,81.78,-5.92,-73.78,69.63,0.27,8.85,1.86,-0.16,0.08,0.06,1,-9.24,2.69,-0.14,-0.06,0.08
91,-3,84,103,52,-2.36,78.61,78.2,-7.3,-74.57,64.28,0.38,9.05,1.82,-0.11,0.02,0.02,1.26,-9.45,2.61,-0.1,0.01,0.04
91,-3,62,81,66,-2.51,78.24,77.85,-6.02,-74.71,68.22,0.4,9.03,1.88,-0.09,-0.02,-0.01,1.03,-9.42,2.58,-0.08,0.06,0.03
90,-3,58,65,73,-2.54,77.92,78.05,-5.75,-74.45,69.42,0.41,8.98,1.92,-0.06,0.03,-0.02,0.98,-9.4,2.61,-0.05,0,0.02
91,-3,60,67,76,-2.43,78.58,77.92,-6.53,-74.42,66.92,0.4,9.14,1.85,-0.06,0.04,-0.01,1.13,-9.47,2.64,-0.05,-0.01,0.01
91,-3,64,85,81,-3.41,79.48,71.95,-7.59,-74.47,63.54,0.56,9.25,1.72,-0.05,0.05,-0.01,1.31,-9.5,2.64,-0.04,-0.03,0.01
91,-3,76,96,84,-3.18,80.13,72.07,-8.55,-74.31,60.94,0.53,9.44,1.64,-0.07,0.07,-0.02,1.52,-9.71,2.73,-0.03,-0.02,0.04
91,-3,76,108,75,-2.97,79.73,73.8,-7.13,-74.23,65.27,0.49,9.27,1.68,-0.06,0.07,-0.06,1.24,-9.57,2.7,0,-0.02,0.05
91,-3,80,123,73,-2.59,80.72,74.32,-7.94,-72.99,64.51,0.43,9.29,1.52,-0.06,0.11,-0.04,1.37,-9.42,2.88,-0.01,-0.05,0.05
91,-3,68,119,67,-1.56,80.77,80.36,-8.04,-72.32,65.05,0.26,9.28,1.51,-0.08,0.11,-0.03,1.39,-9.39,3,-0.03,-0.05,0.07
91,-3,78,128,57,-1.01,78.98,84.75,-5.19,-72.89,72.85,0.16,9.1,1.77,-0.05,0.1,-0.03,0.89,-9.4,2.89,-0.01,-0.05,0.03
91,-3,86,114,49,-0.28,79.74,88.44,-6.29,-71.46,70.87,0.05,9.22,1.67,-0.03,0.12,0.01,1.08,-9.32,3.13,-0.02,-0.09,0.01
91,-3,92,103,67,-0.74,79.6,85.91,-6.22,-72.5,70.08,0.12,9.3,1.71,-0.05,0.11,0.03,1.09,-9.56,3.01,-0.05,-0.08,0.01
91,-3,82,99,75,-1.01,79.93,84.22,-6.65,-72.05,69.27,0.17,9.33,1.66,-0.04,0.11,0.04,1.16,-9.45,3.06,-0.06,-0.09,0
91,-3,66,99,73,-0.68,80.18,86.02,-7,-72.09,68.24,0.11,9.34,1.62,-0.06,0.11,0.07,1.23,-9.52,3.08,-0.09,-0.1,0
91,-3,72,74,72,-0.84,80.39,84.99,-7.24,-72.31,67.32,0.14,9.35,1.58,-0.07,0.07,0.06,1.27,-9.52,3.04,-0.1,-0.06,0.01
91,-3,50,76,76,-1.15,78.73,84.13,-5.27,-73.06,72.44,0.19,9.23,1.84,-0.06,0.06,0.07,0.91,-9.49,2.89,-0.11,-0.06,0
91,-3,72,83,45,-0.51,78.13,87.51,-4.69,-72.92,74.38,0.08,9.16,1.92,-0.08,0.11,0.11,0.81,-9.48,2.91,-0.13,-0.13,0
