finger 1,finger 2,finger 3,finger 4,finger 5,pitch1,roll1,yaw1,pitch2,roll2,yaw2,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z
-1,7,32,-24,36,2.44,-66.28,96.05,-41.51,-62.69,27.4,-0.42,-9,3.96,-0.1,0.02,0.06,6.76,-6.78,3.5,-0.04,0.03,0.04
0,7,32,-6,27,1.59,-66.98,94.06,-40.53,-63.11,27.88,-0.27,-8.97,3.81,-0.09,0.03,0.04,6.53,-6.82,3.46,-0.06,0.02,0.03
-1,7,56,13,24,0.62,-69.24,91.74,-39.59,-63.65,28.22,-0.11,-9.14,3.47,-0.09,0.04,0.02,6.39,-6.93,3.43,-0.08,0.01,0.02
-1,6,48,18,27,-0.01,-69.36,89.96,-39.33,-65.51,26.83,0,-9.21,3.47,-0.05,0.03,0.05,6.39,-7.1,3.23,-0.06,-0.01,-0.02
-1,5,50,27,30,-1.4,-66.47,86.49,-41.24,-65.67,25.17,0.24,-9.15,3.98,-0.04,0.02,0.07,6.83,-7.1,3.21,-0.03,-0.02,-0.03
0,6,56,42,22,0.29,-64.2,90.67,-42.76,-64.09,25.3,-0.05,-8.92,4.31,-0.05,0.06,0.12,7.03,-6.84,3.32,-0.01,0.06,-0.05
0,7,62,33,33,2.92,-65.85,97.11,-42.09,-64.09,25.82,-0.5,-8.94,4.01,-0.07,0.06,0.09,6.78,-6.75,3.28,-0.03,0.04,-0.02
0,7,40,36,27,2.2,-64.78,95.14,-43.06,-63.37,25.62,-0.38,-8.87,4.18,-0.06,-0.01,0.05,6.98,-6.68,3.35,-0.04,-0.03,0
0,7,36,47,15,1.39,-64.95,93.28,-42.47,-63.38,26.09,-0.24,-8.85,4.14,-0.06,0.04,0.04,6.89,-6.73,3.37,-0.07,0.02,0
0,7,40,45,1,0.86,-66.37,92.15,-40.9,-64.63,26.31,-0.15,-8.91,3.9,-0.08,0.03,0.04,6.57,-6.85,3.25,-0.07,0.01,0.02
0,7,34,40,3,-0.18,-67.03,89.53,-40.77,-64.08,26.88,0.03,-9,3.81,-0.11,0.06,0.02,6.62,-6.91,3.36,-0.07,0.04,0
-1,6,44,40,-3,-0.42,-69.18,88.83,-39.13,-65.87,26.69,0.07,-9.21,3.5,-0.06,0.06,0.06,6.34,-7.12,3.19,-0.05,0.03,-0.02
-1,7,48,36,10,1.65,-67.86,94.37,-40.11,-62.95,28.36,-0.28,-9,3.66,-0.05,0.02,0.06,6.51,-6.89,3.52,-0.04,-0.02,-0.02
-1,7,50,42,25,-0.04,-68.08,89.89,-39.56,-62.78,28.97,0.01,-9.16,3.69,-0.04,0.08,0.05,6.49,-6.99,3.59,-0.07,0.07,-0.04
-1,6,48,49,28,0.95,-69.06,92.67,-38.65,-63.91,28.8,-0.17,-9.26,3.54,-0.05,0.1,0.09,6.37,-7.15,3.5,-0.05,0.04,-0.05
-1,7,58,38,31,2.85,-68.2,97.64,-40.37,-60.33,30.21,-0.49,-9.15,3.66,-0.03,0.08,0.07,6.65,-6.8,3.87,-0.06,0.04,-0.07
