finger 1,finger 2,finger 3,finger 4,finger 5,pitch1,roll1,yaw1,pitch2,roll2,yaw2,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z
69,15,22,-9,7,-14.49,35.94,72.29,-46,-48.59,32.57,2.4,5.44,7.51,-0.08,0,0.1,7.56,-5.48,4.83,-0.09,-0.04,0.03
69,15,10,-40,21,-14.87,36.03,71.82,-45.8,-49.27,32.39,2.47,5.47,7.52,-0.08,0,0.09,7.55,-5.56,4.79,-0.09,-0.01,0.03
69,15,10,-49,6,-15.31,34.61,71.6,-44.92,-49.4,33.13,2.5,5.2,7.53,-0.09,0.02,0.11,7.31,-5.56,4.77,-0.06,-0.04,0.09
69,15,8,-56,4,-14.68,34.46,72.38,-44.81,-49.17,33.35,2.38,5.13,7.48,-0.07,0.02,0.16,7.24,-5.51,4.76,-0.04,-0.08,0.08
69,15,2,-58,7,-14.02,34.68,73.11,-45.34,-47.21,33.87,2.28,5.2,7.52,-0.07,0,0.1,7.41,-5.37,4.98,-0.1,-0.04,0.04
68,15,28,-56,15,-15.77,33.16,71.36,-43.35,-50.84,33.78,2.55,4.95,7.57,-0.07,0.02,0.05,7.04,-5.78,4.71,-0.09,0,0.01
69,15,32,-36,6,-14.37,34.32,72.77,-44.33,-48.64,34.07,2.32,5.11,7.48,-0.07,0,0.16,7.19,-5.52,4.86,-0.06,-0.07,0.06
69,15,34,-24,9,-13.75,34.42,73.48,-45.12,-46.75,34.31,2.23,5.15,7.52,-0.07,0,0.07,7.31,-5.3,4.99,-0.09,-0.02,0.03
69,15,40,-29,22,-14.91,33.89,72.21,-44,-49.37,34,2.42,5.07,7.55,-0.06,0.01,0.03,7.17,-5.64,4.84,-0.11,0,0
69,15,54,-2,45,-14.77,33.86,72.38,-43.94,-49.48,33.99,2.39,5.05,7.53,-0.08,0.01,0.06,7.16,-5.65,4.83,-0.11,-0.01,0.05
68,15,30,4,39,-15.7,33.28,71.41,-43.8,-50.28,33.68,2.52,4.92,7.5,-0.08,-0.01,0.09,7.07,-5.67,4.71,-0.1,-0.03,0.03
69,15,16,11,39,-15.17,34.45,71.8,-44.82,-49.33,33.26,2.47,5.15,7.51,-0.06,0,0.08,7.33,-5.6,4.81,-0.08,-0.03,0.01
68,15,40,-4,52,-15.92,33.06,71.21,-43.79,-50.14,33.76,2.55,4.89,7.51,-0.05,0.01,0.02,7.06,-5.66,4.72,-0.09,0.01,-0.03
69,15,34,-4,52,-16.27,34.32,70.54,-44.48,-50.69,32.83,2.63,5.08,7.45,-0.02,0.04,0.04,7.24,-5.71,4.67,-0.07,-0.03,-0.02
69,15,24,-15,22,-15.15,36.52,71.38,-46.01,-48.91,32.39,2.52,5.54,7.48,-0.07,0.03,0.04,7.62,-5.54,4.84,-0.08,0.03,-0.01
68,15,20,-18,10,-16.84,33.64,70.02,-43.53,-52.71,32.53,2.73,4.99,7.5,-0.09,0.03,0.04,7.06,-5.91,4.5,-0.06,0,0.03
69,15,44,-11,18,-14.38,35.66,72.49,-46.18,-47.43,32.99,2.37,5.38,7.5,-0.09,0.04,0.15,7.56,-5.34,4.91,-0.04,-0.06,0.08
69,15,16,6,9,-14.1,35.39,72.87,-45.46,-48.03,33.35,2.32,5.34,7.52,-0.1,0,0.02,7.43,-5.44,4.89,-0.1,0.05,-0.01
68,15,20,31,4,-15.89,32.6,71.32,-42.88,-50.94,34.16,2.53,4.79,7.49,-0.09,0.01,0.05,6.86,-5.74,4.66,-0.09,0.02,0.03
69,15,10,20,-4,-15.24,33.59,71.88,-44.08,-49.08,34.08,2.49,5.06,7.62,-0.1,0.01,0.08,7.22,-5.63,4.88,-0.1,0.01,0.05
68,15,14,29,12,-16.66,31.24,70.71,-41.69,-52.44,34.39,2.65,4.6,7.58,-0.08,-0.01,0.06,6.73,-5.99,4.6,-0.08,-0.01,0.02
67,15,0,20,3,-16.72,31.88,70.52,-42.89,-50.78,34.24,2.68,4.71,7.58,-0.04,0.03,0.11,6.96,-5.81,4.74,-0.06,-0.08,0.03
68,15,-10,4,-9,-15.64,33.7,71.4,-43.84,-49.09,34.3,2.55,5.04,7.56,-0.05,0.04,0.03,7.18,-5.66,4.9,-0.07,0.01,-0.01
67,15,-18,-29,1,-15.03,32.12,72.41,-42.74,-50.05,34.8,2.39,4.73,7.54,-0.03,0.03,0.04,6.88,-5.71,4.78,-0.07,0.01,-0.04
68,15,0,-15,19,-14.33,33.67,72.94,-44.25,-48.2,34.38,2.33,5.05,7.58,-0.01,0.01,0.01,7.24,-5.54,4.95,-0.09,0.01,-0.08
67,14,12,6,10,-15.97,33.12,71.14,-42.03,-53.22,33.59,2.6,4.96,7.6,-0.03,0.01,-0.03,6.85,-6.09,4.55,-0.1,0.01,-0.04
67,14,20,11,34,-16.98,32.81,70.04,-43.43,-51.76,33.18,2.74,4.87,7.55,-0.01,0.05,0.09,7.05,-5.85,4.61,-0.04,-0.09,0.01
68,14,36,29,39,-16.06,34,70.86,-44.22,-50.95,32.92,2.65,5.14,7.62,-0.02,0.04,0.05,7.31,-5.84,4.74,-0.06,-0.04,-0.04
67,13,28,22,30,-16.86,32.77,70.18,-42.94,-52.31,33.31,2.77,4.94,7.68,-0.03,0.04,0.03,7.09,-6.03,4.66,-0.06,-0.03,-0.03
67,13,20,29,42,-15.13,33.08,72.11,-43.45,-49.84,34.25,2.46,4.97,7.63,-0.01,0.05,0.08,7.13,-5.75,4.86,-0.04,-0.06,-0.01
68,13,6,-4,34,-14.89,34.1,72.2,-44.08,-49.55,33.82,2.46,5.19,7.66,-0.03,0.03,0.08,7.29,-5.73,4.89,-0.06,-0.04,-0.01
69,13,-8,-13,27,-14.88,34.38,72.15,-43.96,-50.58,33.36,2.47,5.25,7.67,-0.04,0.02,0.06,7.28,-5.83,4.79,-0.07,-0.04,0
69,13,2,-24,28,-15.19,33.99,71.87,-43.97,-49.58,33.9,2.49,5.14,7.62,-0.06,0.03,0.07,7.24,-5.71,4.86,-0.07,-0.05,0.03
69,13,6,-9,33,-14.71,33.94,72.44,-44.23,-48.39,34.29,2.38,5.05,7.51,-0.07,0.01,0.06,7.18,-5.52,4.9,-0.1,-0.03,0.02
68,13,10,-27,24,-15.54,33.05,71.65,-43.03,-51.06,33.96,2.5,4.9,7.54,-0.05,0,0.03,6.98,-5.82,4.7,-0.11,0.01,-0.02
67,13,10,-42,19,-16.45,31.59,70.89,-42.34,-51.69,34.23,2.61,4.64,7.54,-0.05,-0.02,0.09,6.82,-5.87,4.64,-0.1,-0.06,0
67,13,14,-31,25,-15.84,32.72,71.37,-43.32,-50.18,34.18,2.51,4.79,7.46,-0.04,-0.03,0.08,6.93,-5.64,4.7,-0.1,-0.07,-0.01
67,13,6,-24,27,-16.92,32.44,70.17,-43.02,-51.29,33.83,2.74,4.82,7.59,-0.02,-0.03,0.02,7.01,-5.86,4.7,-0.1,-0.04,-0.05
67,13,26,-15,25,-15.69,32.11,71.66,-43.66,-50.34,33.78,2.5,4.74,7.55,0.04,0,-0.03,7.04,-5.68,4.71,-0.11,-0.03,-0.11
68,13,26,-18,22,-17.09,33.62,69.73,-43.78,-52.05,32.69,2.8,5.04,7.57,0.06,0.01,-0.01,7.23,-5.95,4.64,-0.09,-0.02,-0.16
69,12,16,-20,28,-16.81,34.87,69.78,-43.73,-52.74,32.33,2.79,5.28,7.58,-0.01,0.04,0.05,7.28,-6.05,4.61,-0.06,-0.03,-0.03
68,12,18,-20,12,-15.45,33.09,71.74,-44.29,-49.53,33.64,2.49,4.92,7.55,-0.03,0.01,0.08,7.15,-5.58,4.76,-0.07,-0.07,-0.02
67,12,24,-6,19,-16.18,33.03,70.91,-43.5,-51.03,33.54,2.65,4.97,7.64,0.03,0.01,0,7.17,-5.88,4.75,-0.09,-0.05,-0.09
68,12,-4,-4,10,-15.91,33.84,71.06,-43.93,-50.58,33.39,2.6,5.08,7.58,0.01,0.04,0.07,7.19,-5.77,4.74,-0.07,-0.07,-0.02
