finger 1,finger 2,finger 3,finger 4,finger 5,pitch1,roll1,yaw1,pitch2,roll2,yaw2,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z
6,24,36,38,-21,42.57,26.26,135.69,26.07,-23.77,118.12,-6.18,2.98,6.03,0.02,0.05,0.08,-4.53,-3.73,8.47,-0.07,-0.07,-0.06
57,24,10,40,-15,41.76,27.53,135.19,25.08,-24.63,117.24,-6.03,3.12,5.99,0.03,0.07,0.07,-4.33,-3.86,8.41,-0.06,-0.08,-0.05
57,24,18,45,12,40.89,28.71,134.63,24.54,-25.01,116.74,-5.94,3.29,6.01,-0.01,0.08,0.05,-4.24,-3.93,8.42,-0.05,-0.06,-0.02
57,24,12,29,4,41.81,28.56,135.52,24.53,-24.45,116.63,-6.03,3.22,5.92,-0.04,0.14,0.06,-4.21,-3.82,8.39,-0.05,-0.06,0.02
57,24,36,20,6,42.26,27.58,135.71,25.4,-24.27,117.51,-6.13,3.12,5.98,-0.04,0.05,0,-4.39,-3.8,8.42,-0.05,0.01,-0.02
57,24,44,31,18,41.48,26.76,134.72,26.01,-25.09,118.31,-6,3.05,6.05,-0.06,0.06,0.02,-4.48,-3.89,8.31,-0.04,-0.02,0
57,24,56,24,16,41.4,27.3,134.77,25.23,-24.61,117.39,-5.95,3.1,6,-0.08,0.09,0,-4.33,-3.83,8.35,-0.02,-0.01,0.04
57,24,58,29,12,42.81,27,136.11,25.4,-23.44,117.36,-6.17,3.02,5.93,-0.07,0.07,-0.02,-4.38,-3.67,8.46,-0.02,0.01,0.02
57,24,64,31,9,42.46,27.83,135.98,25.18,-23.73,117.19,-6.11,3.11,5.9,-0.06,0.05,-0.03,-4.34,-3.71,8.45,-0.02,0.02,0.01
57,24,64,36,6,41.37,27.71,134.85,25.83,-25.54,118.21,-5.86,3.09,5.89,-0.11,0.08,-0.01,-4.41,-3.93,8.23,-0.03,0.01,0.08
57,24,60,20,-4,43.3,27.78,136.8,25.04,-22.52,116.82,-6.12,3.03,5.75,-0.13,0.18,-0.01,-4.27,-3.5,8.44,0.02,-0.03,0.14
57,24,60,27,1,43.76,28.27,137.39,24.72,-22.85,116.55,-6.24,3.09,5.74,-0.14,0.14,-0.06,-4.25,-3.58,8.5,0.02,0.05,0.12
56,24,60,27,3,44.07,27.09,137.39,25.3,-22.36,117.08,-6.27,2.95,5.76,-0.16,0.19,-0.05,-4.38,-3.52,8.57,0.05,-0.01,0.17
57,24,46,51,9,45.82,29.09,139.66,23.8,-20.53,115.21,-6.64,3.14,5.64,-0.2,0.14,-0.11,-4.2,-3.34,8.91,0.04,0.11,0.17
56,24,32,49,16,44.21,24.62,136.94,28.02,-22.6,119.96,-6.61,2.83,6.17,-0.18,0.04,-0.16,-5.02,-3.62,8.7,0.02,0.18,0.1
56,24,42,58,27,43.62,22.3,135.84,29.58,-22.31,121.53,-6.61,2.63,6.42,-0.19,0.09,-0.11,-5.32,-3.56,8.67,0.01,0.11,0.12
56,24,58,45,22,43.45,20.51,135.33,30.33,-23.22,122.48,-6.7,2.48,6.62,-0.12,0.05,-0.09,-5.5,-3.71,8.64,-0.01,0.09,0.04
56,24,60,24,9,43.06,20.8,134.99,30.06,-22.78,122.12,-6.72,2.55,6.72,-0.05,0.03,-0.05,-5.49,-3.67,8.74,-0.02,0.03,-0.03
56,24,60,13,10,42.21,21.55,134.28,29.95,-24.06,122.25,-6.57,2.66,6.74,-0.02,-0.06,-0.01,-5.43,-3.84,8.6,-0.1,0.05,-0.09
56,23,74,15,16,39.83,20.43,131.68,30.05,-27.04,123.01,-6.17,2.58,6.93,0.07,-0.11,0.02,-5.39,-4.23,8.29,-0.11,0.02,-0.2
56,22,74,15,13,39.21,23.04,131.56,28.21,-27.19,121.09,-6.08,2.92,6.86,0.15,-0.19,0.01,-5.03,-4.28,8.34,-0.13,0.04,-0.31
56,22,64,11,18,39.66,23.94,132.21,27.24,-27.58,120.15,-6.02,2.95,6.64,0.18,-0.31,-0.04,-4.8,-4.31,8.26,-0.15,0.13,-0.4
56,22,54,15,27,38.25,23.41,130.66,28.3,-28.16,121.42,-5.75,2.9,6.69,0.25,-0.3,-0.07,-4.96,-4.35,8.12,-0.1,0.11,-0.45
57,22,82,9,24,39.31,25.06,132.11,26.83,-27.23,119.63,-5.86,3.03,6.48,0.28,-0.26,-0.07,-4.7,-4.25,8.26,-0.06,0.09,-0.46
57,22,80,6,10,39.78,27.16,133.1,25.82,-26.51,118.4,-5.88,3.23,6.29,0.25,-0.19,-0.08,-4.53,-4.17,8.37,-0.02,0.05,-0.38
