finger 1,finger 2,finger 3,finger 4,finger 5,pitch1,roll1,yaw1,pitch2,roll2,yaw2,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z
56,28,62,58,37,-18.37,15.61,70.98,-2.32,-16.95,87.58,2.98,2.42,8.65,-0.05,0.05,0.04,0.43,-3.11,10.2,-0.07,-0.01,0.01
56,28,52,42,15,-18.46,15.96,70.85,-2.34,-17.33,87.55,3.04,2.51,8.76,-0.05,0.03,0.08,0.44,-3.22,10.3,-0.08,-0.01,0.02
56,28,80,40,10,-18.41,16.52,70.85,-2.7,-17.22,87.17,3,2.57,8.66,-0.05,0.04,0.03,0.5,-3.16,10.18,-0.07,-0.01,-0.02
56,28,80,27,10,-19.05,15.81,70.25,-2.46,-17.68,87.42,3.15,2.49,8.78,-0.08,0.04,0.06,0.46,-3.26,10.24,-0.08,0.02,0.01
56,28,68,38,15,-18.57,15.21,70.81,-2.09,-17.34,87.81,3.04,2.37,8.73,-0.07,0.05,0.07,0.39,-3.19,10.21,-0.07,0.01,0.02
56,28,66,22,15,-17.61,16.55,71.67,-2.3,-16.56,87.6,2.87,2.57,8.65,-0.06,0.05,0.07,0.43,-3.05,10.26,-0.07,0.01,0.01
56,28,66,33,34,-18.97,14.39,70.46,-2.08,-17.67,87.81,3.14,2.27,8.84,-0.06,0.04,0.09,0.39,-3.25,10.22,-0.07,0,0.04
56,29,50,2,42,-17.31,15.73,72.06,-1.85,-16.25,88.08,2.8,2.44,8.66,-0.05,0.06,0.15,0.34,-2.97,10.19,-0.07,-0.01,0.08
56,28,48,-6,40,-17.74,15.48,71.63,-2.04,-16.58,87.87,2.9,2.42,8.74,-0.05,0.06,0.12,0.38,-3.05,10.23,-0.07,0,0.08
56,28,38,-6,37,-17.73,15.93,71.61,-2.05,-16.45,87.86,2.88,2.47,8.65,-0.04,0.07,0.09,0.38,-3.01,10.19,-0.06,-0.01,0.05
56,28,34,15,31,-18.46,14.7,70.96,-2.03,-17.54,87.88,3.01,2.29,8.74,-0.04,0.06,0.11,0.38,-3.24,10.26,-0.07,0,0.08
56,28,38,15,40,-18.48,14.09,70.99,-1.64,-17.6,88.28,3.02,2.2,8.78,-0.03,0.08,0.25,0.31,-3.24,10.22,-0.08,-0.03,0.19
56,28,52,56,40,-17.95,16.55,71.33,-2.17,-16.73,87.73,2.94,2.59,8.71,0,0.07,0.23,0.4,-3.07,10.23,-0.06,-0.05,0.15
56,28,36,60,34,-18.17,17.28,71.03,-2.63,-16.85,87.26,2.98,2.7,8.67,-0.04,0.06,0.11,0.49,-3.09,10.19,-0.05,0,0.05
56,28,54,67,48,-18.6,14.34,70.84,-1.47,-17.42,88.46,3.03,2.23,8.72,-0.04,0.08,0.09,0.27,-3.19,10.17,-0.04,0.02,0.04
56,28,34,36,64,-18.18,13.92,71.31,-1.16,-17.14,88.79,3.01,2.2,8.89,0.01,0.05,0.16,0.22,-3.17,10.3,-0.05,-0.03,0.06
56,29,30,40,54,-17.84,15.96,71.49,-1.84,-16.31,88.09,2.91,2.49,8.71,0.02,0.05,0.16,0.34,-3,10.25,-0.05,-0.03,0.05
56,28,60,33,49,-17.73,16.24,71.58,-1.51,-16.36,88.43,2.88,2.52,8.66,-0.02,0.05,0.08,0.28,-3,10.23,-0.04,0,0
56,29,70,31,61,-17.55,15.41,71.84,-1.29,-16.26,88.66,2.88,2.42,8.79,-0.01,0.04,0.02,0.24,-2.99,10.24,-0.05,0.01,-0.08
