finger 1,finger 2,finger 3,finger 4,finger 5,pitch1,roll1,yaw1,pitch2,roll2,yaw2,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z
63,6,34,38,36,-31.17,30.58,54.91,-42.14,-69.7,20.97,4.85,4.08,6.91,-0.08,0.03,0.03,6.71,-6.95,2.57,-0.09,0.03,0
62,5,14,33,46,-31.58,29.29,54.82,-40.72,-70.93,20.78,4.94,3.93,7.01,-0.05,0,-0.01,6.53,-7.17,2.48,-0.09,0.04,-0.07
63,5,10,27,45,-32.04,29.3,54.33,-40.36,-70.76,21.2,5.12,4,7.13,-0.04,0.02,0.05,6.59,-7.33,2.56,-0.06,-0.01,-0.02
63,5,6,18,45,-31.2,30.23,54.97,-41.75,-69.92,21.04,4.98,4.14,7.11,-0.06,0.03,0.06,6.8,-7.15,2.61,-0.06,-0.01,0.01
63,5,-6,36,40,-31.11,29.86,55.17,-41.5,-69.48,21.62,4.92,4.06,7.07,-0.06,0.01,0.02,6.71,-7.1,2.66,-0.08,0.01,-0.02
63,5,-18,27,27,-31.06,29.53,55.31,-41.44,-69.23,21.88,4.93,4.04,7.13,-0.07,0,0.01,6.69,-7.08,2.69,-0.1,0.02,-0.03
63,5,-4,33,16,-31.14,29.64,55.2,-41.63,-69.11,21.86,4.93,4.04,7.1,-0.06,-0.01,-0.01,6.75,-7.09,2.71,-0.13,0.04,-0.05
62,5,-8,38,16,-31.32,28.7,55.25,-40.25,-70.33,21.69,4.94,3.9,7.13,-0.06,0,0.02,6.52,-7.25,2.59,-0.1,0.02,-0.03
63,6,-10,51,43,-30.52,29.7,55.83,-41.63,-68.7,22.23,4.78,4.02,7.04,-0.05,-0.01,0.05,6.64,-6.96,2.71,-0.1,-0.01,-0.02
63,5,-14,56,30,-31.41,29.76,54.88,-41.1,-70.24,21.18,4.98,4.05,7.08,-0.04,-0.05,0.01,6.67,-7.19,2.58,-0.14,0,-0.04
63,5,-4,67,54,-32.12,29.95,54.07,-41.39,-70.6,20.65,5.12,4.07,7.06,-0.05,-0.04,0.03,6.72,-7.19,2.53,-0.14,-0.02,-0.02
63,5,0,65,45,-32.26,29.75,53.98,-41.45,-70.76,20.46,5.15,4.05,7.09,-0.04,-0.02,0.03,6.78,-7.24,2.53,-0.11,-0.01,-0.05
