finger 1,finger 2,finger 3,finger 4,finger 5,pitch1,roll1,yaw1,pitch2,roll2,yaw2,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z
50,38,82,33,24,11.31,11.24,101.53,-70.94,-24.99,17.39,-1.86,1.81,9.13,0.01,0.07,0.07,9.92,-1.45,3.11,-0.02,0.02,-0.05
51,38,76,24,34,9.43,11.79,99.62,-70.78,-28.24,17.07,-1.63,2,9.6,-0.01,0.1,0.06,10,-1.65,3.07,-0.01,0.05,-0.05
50,38,38,38,37,10.87,11.96,101.1,-70.16,-22.65,18.41,-1.8,1.95,9.19,-0.1,0.11,0.09,9.91,-1.38,3.3,0.01,0.04,0.02
50,38,34,22,39,11.92,11.64,102.16,-69.71,-22.75,18.83,-1.91,1.83,8.87,-0.08,0.14,0.09,9.54,-1.36,3.25,0.02,0.1,0
50,38,28,40,57,14.03,12.62,104.37,-69.23,-20.71,19.53,-2.23,1.95,8.69,-0.09,0.08,0.12,9.38,-1.26,3.33,0.01,0.01,0.03
51,38,32,24,58,14.39,13.18,104.76,-68.55,-16.85,20.61,-2.33,2.07,8.85,-0.12,0.06,0.1,9.59,-1.09,3.61,-0.04,0.02,0.06
50,39,62,20,45,17.4,13.56,107.86,-67.89,-12.56,21.63,-2.61,1.95,8.09,-0.09,0.05,0,9.05,-0.8,3.59,-0.13,0.05,0
51,39,46,20,57,14.31,12.89,104.66,-68.32,-21.47,20.3,-2.33,2.04,8.91,-0.06,0,-0.08,9.4,-1.37,3.48,-0.21,0.05,-0.01
50,39,58,36,46,13.1,11.4,103.35,-68.68,-22.51,19.83,-2.05,1.74,8.63,-0.18,-0.04,-0.08,9.18,-1.37,3.31,-0.2,-0.02,0.12
50,39,62,42,28,13.83,10.43,104.05,-68.59,-21.63,20.03,-2.09,1.54,8.35,-0.09,-0.05,-0.09,9.14,-1.32,3.33,-0.23,-0.05,0.05
50,39,54,36,21,13.93,10.84,104.18,-68.63,-23.28,19.77,-2.26,1.71,8.93,-0.09,-0.07,-0.14,9.54,-1.47,3.43,-0.29,-0.02,0.03
