finger 1,finger 2,finger 3,finger 4,finger 5,pitch1,roll1,yaw1,pitch2,roll2,yaw2,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z
81,5,102,130,58,-31.4,60.75,38.67,-22.16,-50.65,57.28,5.07,7.25,4.06,-0.38,-0.05,0.04,3.93,-7.46,6.11,-0.14,0.34,0.06
80,5,80,121,70,-31.55,55.88,42.42,-19.11,-49.96,61.69,4.97,6.7,4.54,-0.37,-0.05,-0.11,3.32,-7.34,6.17,-0.07,0.4,-0.08
79,5,98,139,76,-30.01,50.91,47.52,-16.35,-47.97,66.34,4.64,6.23,5.06,-0.24,-0.03,-0.11,2.78,-7.03,6.34,0,0.27,-0.17
78,5,94,146,72,-29.81,53.11,46.34,-17.95,-48.8,63.82,4.56,6.36,4.77,-0.14,-0.09,-0.11,3.11,-7.23,6.33,-0.07,0.14,-0.25
78,5,112,159,79,-31.03,54.1,44.27,-19.93,-49.88,60.64,4.76,6.41,4.64,-0.11,-0.05,0.03,3.57,-7.53,6.34,-0.13,0.02,-0.06
78,5,88,150,94,-31.49,56.06,42.34,-19.61,-49.06,61.46,5.04,6.83,4.59,-0.05,-0.05,0.07,3.48,-7.37,6.4,-0.16,0.01,-0.04
78,5,92,164,114,-31.79,53.35,43.93,-17.91,-50.32,63.15,5.09,6.6,4.91,0.08,-0.1,-0.05,3.17,-7.54,6.26,-0.13,-0.02,-0.22
78,5,74,148,102,-31.73,53.53,43.87,-18.6,-50.31,62.22,5.01,6.51,4.81,0.15,-0.05,-0.01,3.33,-7.62,6.32,-0.12,-0.1,-0.18
78,5,66,121,115,-31.16,56.8,42.16,-19.93,-50.29,60.43,5.04,6.97,4.56,0.06,0,0.1,3.62,-7.69,6.39,-0.13,-0.1,-0.03
78,5,52,117,118,-32.6,54.47,42.26,-18.38,-50.61,62.36,5.29,6.73,4.81,0.07,0.02,0.05,3.3,-7.68,6.31,-0.08,-0.11,-0.07
78,5,66,117,100,-31.12,56.19,42.66,-20.14,-49.51,60.54,5.04,6.93,4.64,0.12,0.08,0.05,3.64,-7.56,6.45,-0.04,-0.13,-0.07
79,5,70,110,87,-29.54,56.39,44.33,-20.35,-48.08,60.97,4.78,7.02,4.67,0.04,0.11,0.03,3.67,-7.36,6.61,-0.02,-0.05,-0.02
78,6,70,94,88,-27.39,56.87,46.52,-21.67,-45.71,60.36,4.3,6.95,4.53,-0.01,0.13,0.12,3.82,-6.88,6.71,-0.06,-0.07,0.07
79,7,74,128,78,-26.49,58.3,46.51,-22.45,-44.84,59.77,4.15,7.09,4.38,0.01,0.09,0.17,3.96,-6.75,6.79,-0.1,-0.05,0.08
80,7,82,112,75,-24.52,58.57,48.83,-22.92,-43.1,59.93,3.86,7.22,4.41,-0.02,0.05,0.17,4.02,-6.49,6.94,-0.14,0.01,0.08
79,7,106,119,78,-23.76,55.31,52.28,-22.18,-42.35,61.12,3.53,6.6,4.57,-0.04,0.05,0.29,3.76,-6.22,6.82,-0.18,0.04,0.16
78,8,102,150,69,-22.71,56.9,52.54,-20.57,-41.46,63.39,3.35,6.71,4.37,0.03,0.05,0.42,3.4,-6,6.79,-0.23,0.08,0.22
78,9,106,168,67,-23.01,56.22,52.63,-18.96,-41,65.52,3.2,6.26,4.19,-0.03,-0.2,0.41,2.97,-5.67,6.53,-0.48,-0.09,0.15
77,9,110,153,58,-29.59,53.66,46.22,-19.05,-47.63,62.88,4.06,5.75,4.23,0.11,-0.34,0.45,3.06,-6.55,5.98,-0.62,-0.21,0.13
76,9,108,171,58,-32.38,55.09,42.07,-17.42,-48.2,64.79,4.64,6,4.19,0.22,-0.42,0.48,2.78,-6.61,5.91,-0.71,-0.28,0.04
76,8,100,164,55,-35.53,55.37,38.51,-16.92,-52.38,63.51,5.52,6.36,4.4,0.3,-0.5,0.29,2.9,-7.54,5.81,-0.67,-0.26,-0.2
76,6,98,130,57,-37.06,57.9,35.14,-19.24,-55.71,58.22,6.16,6.91,4.33,0.37,-0.51,0.13,3.53,-8.36,5.7,-0.6,-0.26,-0.36
77,4,104,117,64,-36.66,58.55,35.02,-21.2,-56.11,55.18,6.16,7.06,4.32,0.4,-0.38,0.07,3.98,-8.53,5.73,-0.45,-0.32,-0.34
78,3,114,128,63,-35.69,65.81,29.7,-25.51,-56.54,49.12,6.2,7.88,3.54,0.33,-0.25,0.17,4.95,-8.66,5.72,-0.37,-0.29,-0.14
80,2,128,108,70,-35.36,69.17,26.62,-27.1,-56.63,47.06,6.55,8.63,3.28,0.23,-0.22,0,5.29,-8.64,5.69,-0.26,-0.16,-0.27
82,1,118,121,72,-33.46,70.56,26.72,-28.63,-55.31,46.19,6.02,8.59,3.03,0.06,-0.18,-0.1,5.57,-8.38,5.8,-0.16,0.05,-0.27
82,0,118,137,79,-35.22,68.09,27.85,-27.5,-58.01,45.5,6.07,7.97,3.21,-0.09,-0.15,-0.1,5.39,-8.78,5.49,-0.14,0.17,-0.14
82,0,116,150,73,-36.64,65.4,29.24,-24.27,-57.39,50.08,6.17,7.54,3.45,-0.14,-0.02,0.1,4.49,-8.39,5.37,-0.12,0.17,0.06
82,0,104,119,70,-38.44,63.97,28.94,-21.56,-58,53.28,6.4,7.24,3.54,-0.13,-0.01,0.02,3.92,-8.41,5.26,-0.06,0.19,0
81,0,80,101,60,-40.02,58.45,31.93,-19.7,-58.52,55.56,6.24,6.34,3.89,-0.1,0.04,-0.01,3.49,-8.31,5.09,-0.03,0.09,0
81,0,94,85,45,-38.19,64.39,28.78,-23.1,-57.39,51.64,6.11,7,3.36,-0.08,0.08,0.09,4.12,-8.13,5.2,-0.04,0.08,0.07
81,1,112,81,40,-36.13,64.37,30.65,-22.81,-54.95,53.78,5.67,7,3.36,-0.13,0.06,0,3.97,-7.73,5.42,-0.03,0.12,0
80,1,104,101,46,-34.4,62.18,34.28,-22.61,-52.09,55.88,5.1,6.58,3.47,-0.07,0.02,0.03,3.8,-7.2,5.61,-0.08,0.08,-0.02
79,1,106,137,91,-34.61,63.16,33.19,-23.56,-54.39,53.16,5.32,6.87,3.48,-0.04,-0.02,0.08,4.13,-7.69,5.51,-0.13,0.06,0.03
80,1,122,159,94,-33.27,63.58,34.14,-22.74,-51.75,55.9,5.18,7.07,3.51,-0.07,-0.06,0.14,3.92,-7.34,5.79,-0.21,0.03,0.04
80,1,116,164,114,-34.53,62.96,33.45,-22.99,-53,54.81,5.42,7.01,3.58,-0.08,-0.08,0.1,4.03,-7.58,5.71,-0.19,0.05,0
80,1,98,155,112,-34.74,67.03,29.36,-24.62,-53.93,52.1,5.62,7.46,3.16,-0.16,-0.15,0.01,4.39,-7.75,5.64,-0.2,0.2,-0.09
79,1,114,128,112,-36.68,61.66,32.51,-20.97,-55.84,55.69,5.84,6.9,3.72,-0.22,-0.11,-0.02,3.68,-7.95,5.39,-0.13,0.24,-0.07
78,1,84,110,73,-36.56,60.41,33.66,-21.02,-54.43,56.56,5.77,6.76,3.84,-0.17,-0.04,-0.05,3.68,-7.79,5.57,-0.05,0.18,-0.08
79,1,84,112,84,-36.4,63.56,31.13,-22.29,-55.48,54.13,5.81,7.05,3.51,-0.17,-0.07,-0.14,3.93,-7.91,5.44,-0.04,0.21,-0.14
78,1,86,112,78,-37.41,62.06,31.49,-21.14,-55.87,55.43,5.87,6.78,3.6,-0.21,-0.03,-0.18,3.71,-7.95,5.39,0.02,0.27,-0.14
78,1,90,123,73,-35.8,62.4,32.72,-21.47,-54.81,55.68,5.6,6.88,3.6,-0.25,0.03,-0.16,3.77,-7.84,5.53,0.04,0.25,-0.08
78,1,74,132,64,-36.12,58.98,35.23,-20.34,-53.63,57.99,5.51,6.47,3.89,-0.2,0.06,-0.16,3.49,-7.58,5.58,0.08,0.18,-0.08
78,1,96,141,78,-35.53,62.42,32.96,-22.14,-54.22,55.17,5.58,6.93,3.62,-0.16,0.04,-0.14,3.92,-7.82,5.64,0.06,0.18,-0.09
79,1,102,153,73,-33.95,64.34,32.74,-23.04,-51.83,55.46,5.37,7.18,3.45,-0.23,0.06,-0.11,4.08,-7.54,5.93,0.04,0.23,-0.04
80,1,84,164,73,-34.61,61.34,34.79,-21.25,-53.63,56.75,5.51,7,3.83,-0.29,0.05,-0.17,3.76,-7.79,5.74,0.09,0.29,-0.08
80,1,76,177,85,-33.59,61.91,35.33,-21.87,-52.46,56.62,5.31,7.05,3.76,-0.26,0.04,-0.16,3.91,-7.72,5.93,0.08,0.27,-0.07
79,1,80,173,79,-34.91,60,35.62,-20.55,-52.81,58.19,5.48,6.8,3.93,-0.28,0.09,-0.1,3.63,-7.72,5.86,0.08,0.25,0.01
78,1,80,191,60,-35.54,61.04,34.13,-20.34,-53.17,58.27,5.54,6.79,3.76,-0.28,0.11,-0.1,3.58,-7.74,5.8,0.08,0.29,-0.02
78,1,78,198,60,-35.91,56.84,37.06,-17.94,-53.16,61.63,5.64,6.51,4.26,-0.26,0.13,-0.16,3.13,-7.73,5.79,0.16,0.28,-0.05
78,1,112,189,55,-33.12,57.85,39.21,-18.83,-49.82,62.14,5.13,6.66,4.19,-0.19,0.12,-0.18,3.27,-7.33,6.19,0.13,0.19,-0.1
78,1,122,175,54,-33.59,57.86,38.7,-19.46,-51.16,60.6,5.17,6.6,4.14,-0.22,0.1,-0.17,3.43,-7.57,6.09,0.11,0.21,-0.07
78,1,120,141,79,-33.28,59.46,37.75,-20.01,-50.91,59.99,5.24,6.87,4.06,-0.22,0.12,-0.08,3.58,-7.64,6.21,0.07,0.19,-0.01
79,0,148,121,97,-35.02,60.5,35.1,-20.44,-53.17,58.13,5.84,7.25,4.1,-0.25,0.14,-0.16,3.79,-8.15,6.1,0.12,0.24,-0.04
