finger 1,finger 2,finger 3,finger 4,finger 5,pitch1,roll1,yaw1,pitch2,roll2,yaw2,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z
42,-1,52,18,33,-21.27,0.43,68.73,0.11,-65.67,90.26,3.48,0.07,8.95,0.02,-0.15,0.19,-0.02,-9.21,4.17,-0.26,-0.18,-0.01
42,-1,28,38,49,-21.38,0.76,68.62,-0.12,-65.89,89.7,3.53,0.12,9.03,0.04,-0.17,0.29,0.02,-9.32,4.17,-0.29,-0.27,0.03
42,-1,46,18,45,-22.93,1.29,67.07,-0.53,-67.02,88.63,3.85,0.21,9.11,0.04,-0.16,0.3,0.1,-9.47,4.02,-0.27,-0.27,0.04
42,-1,38,20,43,-23.34,0.64,66.66,-0.31,-67.67,89.19,3.9,0.1,9.03,0.05,-0.15,0.31,0.06,-9.52,3.91,-0.26,-0.28,0.04
42,-1,48,11,39,-22.65,2.6,67.33,-1.47,-66.81,86.28,3.83,0.42,9.16,0.02,-0.15,0.29,0.27,-9.53,4.08,-0.27,-0.25,0.05
42,-1,72,33,54,-22.41,0.15,67.59,0.24,-67.14,90.61,3.79,0.02,9.18,0,-0.17,0.33,-0.04,-9.59,4.04,-0.3,-0.28,0.09
42,-1,94,38,36,-21.58,0.63,68.41,-0.05,-65.99,89.87,3.64,0.1,9.21,0.02,-0.21,0.4,0.01,-9.45,4.21,-0.35,-0.34,0.1
42,-1,78,58,46,-20.33,3.33,69.64,-1.65,-64.2,86.22,3.33,0.52,8.97,-0.01,-0.22,0.38,0.29,-9.06,4.38,-0.36,-0.3,0.11
42,-1,94,45,30,-20.61,2.62,69.37,-0.8,-64.51,88.14,3.39,0.41,9.01,-0.1,-0.25,0.35,0.14,-9.12,4.35,-0.39,-0.22,0.16
42,-1,88,2,27,-21.26,0.73,68.74,0.38,-65.51,90.93,3.45,0.11,8.88,-0.14,-0.23,0.31,-0.07,-9.11,4.15,-0.39,-0.16,0.17
42,0,54,0,21,-22.22,-1.23,67.77,1.59,-66.93,94.05,3.55,-0.19,8.69,-0.15,-0.21,0.33,-0.27,-8.96,3.82,-0.37,-0.18,0.19
42,0,40,-18,27,-23.48,-1.67,66.51,1.69,-67.85,94.47,3.65,-0.24,8.4,-0.15,-0.2,0.34,-0.28,-8.87,3.61,-0.36,-0.18,0.2
42,0,54,-11,15,-25.79,-4.93,64.12,3.31,-70.46,99.81,4.05,-0.72,8.35,-0.1,-0.15,0.33,-0.55,-8.97,3.18,-0.29,-0.21,0.16
42,0,54,15,34,-25.71,-3.82,64.24,2.15,-70.16,96.32,3.98,-0.55,8.24,-0.01,-0.13,0.43,-0.36,-8.92,3.22,-0.27,-0.35,0.15
42,-1,64,63,31,-25.98,-1.01,64.02,0.3,-69.91,90.87,4.1,-0.15,8.42,0.05,-0.09,0.43,-0.05,-9.08,3.32,-0.21,-0.37,0.11
42,-1,76,58,33,-25.33,1.44,64.66,-1.23,-68.51,86.64,4.01,0.21,8.46,0.07,-0.02,0.32,0.21,-9.13,3.59,-0.13,-0.3,0.05
42,0,88,72,42,-22.55,-0.34,67.45,0.04,-66.74,90.11,3.55,-0.05,8.55,0.08,-0.01,0.3,-0.01,-8.9,3.82,-0.13,-0.3,0.04
42,-1,62,51,54,-21.78,2.25,68.21,-1.6,-66.33,86.02,3.43,0.34,8.59,0.11,-0.05,0.31,0.28,-9.02,3.96,-0.16,-0.32,0
42,-1,54,40,21,-25.59,3.98,64.35,-2.97,-68.82,81.84,4.19,0.61,8.73,0.08,-0.05,0.23,0.52,-9.39,3.64,-0.14,-0.23,-0.01
42,-1,44,40,25,-25.32,3.08,64.64,-2.25,-68.5,83.88,4.13,0.47,8.72,0.04,0.01,0.18,0.4,-9.35,3.68,-0.08,-0.17,0
42,-1,34,27,19,-23.84,1.78,66.15,-0.86,-67.4,87.77,3.92,0.28,8.86,0.01,0.07,0.09,0.15,-9.29,3.87,-0.03,-0.08,-0.02
42,-1,48,29,27,-22.54,-0.35,67.46,0.58,-67.36,91.5,3.62,-0.05,8.71,0.01,0.04,0.12,-0.1,-9.19,3.83,-0.07,-0.12,0.01
42,-1,70,42,12,-23.79,1.96,66.19,-1.27,-67.71,86.66,3.92,0.3,8.89,0.02,0.02,0.14,0.23,-9.41,3.86,-0.07,-0.12,0
42,-1,70,54,49,-24.03,3.27,65.93,-2.05,-67.63,84.64,3.98,0.51,8.91,-0.04,0.08,0.02,0.36,-9.42,3.88,-0.02,0,-0.02
42,-1,114,65,34,-22.49,1.03,67.5,-0.48,-66.91,88.78,3.63,0.16,8.77,-0.08,0.06,0.02,0.08,-9.23,3.93,-0.05,0.02,0.01
42,-1,112,78,48,-23.29,1.97,66.69,-0.95,-67.46,87.52,3.87,0.31,8.98,-0.12,0.02,0.01,0.17,-9.46,3.93,-0.09,0.06,0.03
42,-1,84,74,39,-24.87,-0.3,65.13,0.49,-69.45,91.4,4.18,-0.05,9.02,-0.16,0.02,-0.01,-0.09,-9.66,3.62,-0.1,0.09,0.05
42,-1,70,74,51,-24.91,-1.31,65.09,0.89,-69.78,92.56,4.13,-0.2,8.89,-0.16,0.02,0.01,-0.16,-9.59,3.53,-0.11,0.07,0.06
42,-1,68,56,37,-25.88,0.82,64.11,-0.76,-70.26,87.75,4.3,0.13,8.87,-0.18,-0.02,0.04,0.14,-9.66,3.47,-0.15,0.07,0.08
42,-1,18,40,54,-28.26,-0.99,61.73,0.33,-73.11,91.13,4.76,-0.15,8.86,-0.23,-0.03,0.03,-0.06,-9.95,3.02,-0.17,0.1,0.11
42,-1,28,40,42,-28.75,-0.84,61.24,-0.53,-73.09,88.17,4.82,-0.13,8.79,-0.2,-0.02,0.12,0.1,-9.87,3,-0.16,0.03,0.14
42,-1,24,36,39,-29.44,0.2,60.56,-1.02,-73.26,86.46,4.96,0.03,8.79,-0.22,-0.02,0.15,0.18,-9.89,2.98,-0.16,0.02,0.18
