finger 1,finger 2,finger 3,finger 4,finger 5,pitch1,roll1,yaw1,pitch2,roll2,yaw2,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z
-5,11,40,38,22,-14,-81.33,31.14,-13.66,-40.46,72.28,2.45,-9.71,1.48,0.06,-0.07,0.02,2.48,-6.63,7.77,-0.1,-0.12,0.02
-5,11,34,51,24,-15.55,-77.81,37.19,-15.16,-40.22,70.47,2.72,-9.55,2.06,0.04,-0.1,0.03,2.78,-6.64,7.85,-0.08,-0.11,0.04
-5,11,42,40,21,-13.98,-79.74,35.59,-14.08,-41.31,71.53,2.42,-9.55,1.73,0.03,-0.12,0.07,2.57,-6.75,7.69,-0.06,-0.09,0.06
-5,11,22,36,34,-13.91,-81.12,31.93,-13.24,-38.78,73.2,2.42,-9.65,1.51,0.04,-0.14,0.07,2.39,-6.37,7.93,-0.03,-0.13,0.08
-5,11,16,29,48,-13.49,-77.55,41.95,-14.3,-38.29,72,2.32,-9.43,2.08,-0.01,-0.06,0.06,2.63,-6.38,8.09,-0.04,-0.08,0.04
-5,11,12,40,58,-11.92,-82.04,33.26,-13,-38.36,73.59,2.06,-9.66,1.35,-0.03,-0.09,0.06,2.36,-6.34,8.01,-0.04,-0.09,0.07
-5,11,26,33,54,-12.33,-81.23,34.9,-13.35,-37.69,73.3,2.14,-9.67,1.49,-0.01,-0.11,0.04,2.44,-6.29,8.14,-0.06,-0.1,0.08
-5,11,30,38,58,-12.6,-80.66,35.99,-13.03,-36.57,73.93,2.19,-9.65,1.59,-0.05,-0.08,0.04,2.38,-6.14,8.28,-0.05,-0.04,0.05
-5,11,12,47,52,-11.55,-82.65,32.05,-11.8,-36.92,75.36,2.01,-9.76,1.26,-0.03,-0.04,0.03,2.15,-6.18,8.23,-0.08,-0.05,0.02
-5,11,80,49,39,-12.63,-80.53,36.29,-13.07,-37.42,73.7,2.21,-9.72,1.62,-0.04,-0.02,0.02,2.4,-6.29,8.22,-0.09,-0.05,0.02
-5,11,90,47,48,-12.8,-80.53,35.91,-12.93,-38.02,73.75,2.24,-9.72,1.62,-0.06,0,0.03,2.38,-6.39,8.17,-0.08,0,-0.01
-5,11,88,54,54,-13.69,-79.74,36.18,-13.87,-37.41,72.73,2.41,-9.72,1.76,-0.1,0.06,0.04,2.55,-6.27,8.2,-0.06,0.05,-0.03
-5,11,80,67,66,-10.36,-82.25,36.4,-12.18,-36.14,75.03,1.8,-9.73,1.32,-0.1,0.15,0.05,2.22,-6.06,8.29,-0.06,0.1,-0.09
-5,12,76,85,72,-8.98,-82.55,39.36,-12.2,-35.34,75.16,1.54,-9.69,1.27,-0.09,0.12,-0.02,2.21,-5.91,8.34,-0.14,0.05,-0.07
-5,11,28,128,58,-11.56,-80.83,37.93,-13.67,-37.44,72.97,2.01,-9.69,1.56,-0.05,0.16,-0.07,2.49,-6.22,8.13,-0.19,0.04,-0.13
-5,11,20,126,57,-13.02,-80.5,35.52,-14.31,-39,71.83,2.28,-9.74,1.63,-0.02,0.16,-0.1,2.61,-6.44,7.95,-0.21,0.03,-0.12
-5,11,28,119,48,-14.72,-78.37,37.49,-15.39,-40.22,70.18,2.59,-9.66,1.99,0,0.12,-0.07,2.82,-6.61,7.82,-0.2,0.02,-0.11
-5,11,44,119,42,-13.57,-77.41,42.07,-16.28,-40.15,69.08,2.34,-9.45,2.11,-0.03,0.15,-0.06,2.99,-6.59,7.81,-0.18,0.05,-0.11
-5,11,44,99,49,-13.36,-79.71,36.94,-15.16,-41.05,70.24,2.31,-9.55,1.73,-0.05,0.07,-0.07,2.75,-6.67,7.66,-0.18,0.03,-0.03
-5,11,30,51,63,-15.48,-77.15,38.75,-15.24,-40.89,70.19,2.66,-9.35,2.13,-0.07,0.01,-0.06,2.75,-6.61,7.64,-0.15,0.02,0.01
-5,11,20,47,51,-17.27,-80.44,28.13,-13.12,-41.98,72.59,3.01,-9.55,1.61,-0.1,0.06,-0.03,2.37,-6.8,7.56,-0.1,0.03,0
-5,11,4,56,55,-13.59,-83.65,24.59,-11.89,-40.65,74.49,2.31,-9.51,1.06,-0.03,-0.01,0.02,2.12,-6.57,7.65,-0.1,-0.04,0.02
