finger 1,finger 2,finger 3,finger 4,finger 5,pitch1,roll1,yaw1,pitch2,roll2,yaw2,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z
2,21,10,29,57,-32.63,-33.33,52.54,-60.97,-61.1,15.01,5.12,-4.4,6.69,-0.28,0.15,0.09,8.77,-4.26,2.35,-0.06,0.29,-0.1
22,21,68,27,55,-35.07,-36.7,48.79,-59.59,-61.76,15.52,5.48,-4.67,6.26,-0.18,0.03,0.12,8.85,-4.58,2.46,-0.02,0.2,0
22,21,68,-13,52,-33.87,-32.87,51.37,-60.22,-55.61,17.91,5.6,-4.53,7.01,-0.18,0.05,0.14,8.87,-4.19,2.87,-0.07,0.24,-0.02
20,21,76,-4,42,-35.97,-42.94,45.25,-56.95,-65.7,14.99,5.47,-5.13,5.51,-0.21,0.1,0.07,8.41,-4.98,2.25,-0.03,0.17,-0.03
20,21,70,6,57,-36.75,-39.74,45.84,-58.39,-61.62,16.3,5.71,-4.88,5.88,0.07,-0.06,0.14,8.5,-4.6,2.49,0.06,-0.03,0.02
20,21,86,4,58,-33.72,-32.91,51.52,-59.8,-58.6,16.87,5.45,-4.43,6.85,0.08,-0.02,0.08,8.76,-4.35,2.66,0.01,-0.03,-0.01
20,21,52,2,58,-33.79,-33.1,51.39,-59.61,-62.18,15.31,5.35,-4.36,6.7,0.09,-0.09,0.09,8.62,-4.47,2.36,0.02,-0.08,0.07
20,21,48,15,52,-34.5,-35.15,49.95,-61.51,-60.64,14.9,5.35,-4.48,6.37,0.11,-0.08,0.08,8.53,-4.03,2.27,-0.01,-0.17,0.05
20,22,40,9,60,-31.91,-30.84,54.05,-62.59,-57.38,15.62,5.11,-4.21,7.05,0.2,-0.08,0.06,9.03,-3.94,2.52,-0.05,-0.22,0.04
20,22,32,-11,51,-30.99,-30.22,55.2,-62.17,-58.87,15.27,4.98,-4.18,7.17,0.07,-0.07,0,8.99,-4.06,2.45,-0.09,-0.16,0.08
20,22,26,-13,55,-33.26,-30.55,52.71,-61.97,-59.48,15.13,5.34,-4.14,7.02,0.07,-0.12,0,8.99,-4.12,2.43,-0.09,-0.11,0.1
20,22,18,-11,63,-33.87,-33.09,51.3,-61.23,-59.4,15.62,5.28,-4.29,6.59,0.06,-0.1,-0.01,8.58,-4.06,2.4,-0.1,-0.07,0.09
20,22,14,-2,72,-34.28,-34.8,50.3,-60,-60.35,15.94,5.24,-4.38,6.31,0.13,-0.12,-0.03,8.38,-4.21,2.39,-0.09,-0.16,0.08
20,22,22,0,73,-34.77,-33.8,50.12,-60.63,-60.69,15.4,5.37,-4.3,6.43,0.16,-0.05,-0.04,8.47,-4.15,2.33,-0.12,-0.19,0.02
20,23,20,13,54,-35.45,-31.02,50.28,-61.55,-57.51,16.23,5.66,-4.09,6.81,0.25,0.04,-0.07,8.7,-3.97,2.53,-0.17,-0.19,-0.09
20,22,2,31,57,-33.95,-30.72,51.94,-59.76,-65.37,13.66,5.44,-4.13,6.95,0.13,-0.01,-0.03,9.1,-4.82,2.21,-0.11,-0.21,0
20,23,14,27,46,-34.28,-28.73,52.14,-62.96,-58.91,14.76,5.75,-4.06,7.4,0.1,-0.08,0.09,9,-3.93,2.37,-0.04,-0.11,0.02
20,22,4,22,34,-33.45,-33.2,51.71,-61.84,-62.31,13.97,5.38,-4.46,6.81,0.04,0,0.06,9.17,-4.35,2.28,-0.01,-0.16,-0.02
20,22,14,54,13,-32.67,-31.94,52.92,-63.27,-59.19,14.46,5.4,-4.45,7.14,0.11,0,0.05,9.33,-4.03,2.41,-0.02,-0.14,-0.05
20,22,14,51,33,-31.38,-31.11,54.53,-62.29,-57.65,15.7,5.26,-4.46,7.39,0.17,-0.04,0.07,9.52,-4.23,2.68,-0.01,-0.14,-0.01
20,23,2,31,18,-28.96,-29.75,57.48,-63.33,-52.55,16.99,4.83,-4.33,7.58,0.11,-0.03,0.03,9.19,-3.66,2.81,-0.03,-0.08,-0.01
20,22,-24,31,33,-31.57,-35.95,52.8,-62.17,-62.26,13.81,4.87,-4.65,6.41,0.13,0.02,-0.05,8.9,-4.16,2.19,-0.04,-0.17,0.01
20,23,-14,22,54,-31.52,-32.81,53.88,-63.44,-63.18,12.71,4.69,-4.14,6.42,0.33,-0.07,-0.18,8.52,-3.8,1.92,0.01,-0.37,0.06
21,24,-34,-6,91,-35.06,-23.32,52.61,-63.3,-62.86,12.92,5.71,-3.22,7.47,0.34,0.11,-0.38,8.53,-3.82,1.96,-0.22,-0.51,-0.15
23,22,-22,4,96,-36.53,-18.79,51.95,-61.21,-72.59,9.34,6.54,-2.84,8.36,0.24,0.07,-0.21,9.99,-5.24,1.64,-0.24,-0.3,-0.1
25,22,0,15,90,-37.11,-21.37,50.91,-64.33,-75.71,6.77,6.13,-2.95,7.55,0.06,-0.06,-0.01,9.18,-4.28,1.09,-0.13,-0.08,0.02
25,22,10,24,78,-38.06,-24.37,49.32,-64.6,-76.17,6.47,6.14,-3.24,7.14,0.1,0.09,-0.03,9.09,-4.19,1.03,-0.16,-0.13,-0.13
26,22,34,6,63,-35.19,-19.79,53.15,-65.07,-75.85,6.48,6.05,-2.9,8.07,0.14,0.1,-0.01,9.69,-4.37,1.1,-0.11,-0.13,-0.14
27,22,46,33,51,-33.75,-15.89,55.22,-65.42,-73.61,7.35,6.31,-2.59,9.09,-0.05,0.13,0.02,10.33,-4.53,1.33,-0.14,0,-0.13
27,22,38,36,49,-34.99,-21.82,52.98,-63.93,-76.69,6.43,6.08,-3.23,8.07,-0.16,0.03,0.07,9.99,-4.75,1.13,-0.07,0.13,-0.02
27,22,36,60,58,-36.3,-24.7,51.05,-63.46,-73.95,7.86,6.1,-3.47,7.55,-0.12,0.02,0.12,9.41,-4.52,1.3,-0.03,0.11,0
27,22,34,58,63,-36.01,-25.38,51.19,-61.64,-69.76,10.58,6.11,-3.6,7.59,-0.08,-0.06,0.13,9.55,-4.84,1.78,0.01,0.07,0.07
27,22,14,81,67,-36.16,-28.27,50.31,-62.06,-64.92,12.67,5.91,-3.83,7.12,-0.11,-0.13,0.15,9.12,-4.38,2.05,0.04,0.11,0.12
27,22,2,58,61,-34.11,-28.26,52.44,-60.93,-66.06,12.71,5.48,-3.83,7.12,-0.16,-0.07,0.12,9.09,-4.62,2.05,0,0.12,0.09
26,22,46,42,63,-36.22,-30.55,49.62,-61.79,-61.43,14.39,5.8,-4.02,6.82,-0.08,-0.13,0.07,8.9,-4.19,2.28,-0.02,0.08,0.1
25,22,42,6,63,-35.7,-31.67,49.83,-60.14,-66.25,13.02,5.56,-4.07,6.59,-0.03,-0.06,0.05,8.88,-4.67,2.05,-0.1,0.03,0.08
25,22,36,-9,46,-35.16,-25.09,52.12,-62.84,-58.45,15.03,5.94,-3.57,7.63,-0.09,-0.09,0.02,9.28,-4.06,2.49,-0.18,0.07,0.07
25,22,30,9,42,-37.73,-29.48,48.37,-59.93,-75.46,8.27,5.87,-3.73,6.61,-0.15,-0.04,0.05,8.76,-4.91,1.27,-0.16,0.07,0.1
25,22,26,13,46,-37.84,-25.74,49.23,-63.09,-64.36,12.39,6.14,-3.43,7.12,-0.02,-0.1,0.07,8.87,-4.06,1.95,-0.14,-0.03,0.08
25,22,-14,31,43,-33.59,-22.78,54.23,-61.01,-71.63,9.9,5.35,-3.12,7.42,-0.16,0.19,0.03,8.69,-4.57,1.52,-0.21,0.09,-0.07
25,20,-4,31,48,-39.23,-34.6,45.24,-57.47,-74.76,9.52,5.74,-3.99,5.79,-0.09,-0.07,0.05,8.38,-5.16,1.41,0.01,0.01,0.11
25,20,0,47,60,-37.64,-31.12,47.98,-60.49,-63.28,14.28,5.69,-3.81,6.31,0.01,-0.15,0.08,8.32,-4.2,2.12,0.08,-0.05,0.1
25,20,8,38,64,-36.86,-28.03,49.65,-61.15,-59.27,15.72,5.81,-3.64,6.84,0,-0.05,0.06,8.67,-4.1,2.44,-0.02,0.03,-0.01
25,20,16,38,61,-37.29,-26.52,49.6,-60.98,-62.23,14.49,6.06,-3.56,7.13,-0.1,0.07,0.08,8.69,-4.26,2.25,-0.12,0.13,-0.08
25,20,6,2,55,-35.75,-32.38,49.56,-59.72,-68.38,12.14,5.36,-3.99,6.29,-0.09,0.05,0.11,8.65,-4.69,1.86,-0.04,0.1,-0.02
25,20,-32,-20,52,-35.66,-29.73,50.44,-60.78,-63.38,14.07,5.58,-3.85,6.75,-0.02,-0.01,0.11,8.52,-4.26,2.14,-0.01,0.02,-0.01
25,20,-20,-29,54,-35.64,-29.84,50.42,-60.65,-62.31,14.64,5.66,-3.93,6.85,-0.05,0.09,0.08,8.83,-4.4,2.31,-0.03,-0.01,-0.07
25,20,-28,-45,52,-34.57,-28.02,52.03,-61.43,-58.82,15.74,5.67,-3.87,7.27,-0.05,0.07,0.09,8.94,-4.17,2.52,-0.04,0.03,-0.08
24,20,-26,-51,64,-34.16,-30.95,51.64,-61.93,-62.12,14,5.37,-4.07,6.78,-0.07,0.14,0.05,8.84,-4.17,2.21,-0.1,0.06,-0.13
24,20,-24,-31,57,-32.44,-26.5,54.62,-62.84,-61.61,13.71,5.31,-3.73,7.48,-0.05,0.13,0.03,9.11,-4.11,2.22,-0.11,0.02,-0.12
24,20,18,-2,67,-33.75,-25.39,53.51,-63.04,-63.71,12.7,5.6,-3.59,7.57,-0.13,0.11,0.01,9.3,-4.24,2.09,-0.12,0.07,-0.08
24,20,26,-2,64,-34.92,-25.58,52.26,-63.56,-66.8,11.08,5.64,-3.49,7.29,-0.14,0.12,0.01,9.06,-4.14,1.77,-0.13,0.11,-0.11
24,20,34,4,72,-34.89,-25.79,52.24,-62.66,-68.75,10.62,5.54,-3.46,7.16,-0.11,0.12,-0.01,9.21,-4.44,1.73,-0.15,0.11,-0.11
24,20,32,9,61,-37.35,-26.83,49.46,-61.06,-70.36,10.53,6.02,-3.56,7.03,-0.12,0.1,0,8.94,-4.66,1.66,-0.15,0.12,-0.07
24,20,30,29,79,-38.46,-28.07,48,-60.06,-69.21,11.55,6.14,-3.64,6.82,-0.08,0.07,0.02,8.64,-4.65,1.77,-0.11,0.03,-0.05
24,20,8,22,75,-37.74,-27.52,48.88,-60.37,-66.16,12.95,6.17,-3.68,7.06,-0.1,0.13,-0.01,9.08,-4.72,2.09,-0.15,0.06,-0.12
24,19,6,33,69,-38.92,-29.96,47.02,-58.49,-68.53,12.65,6.32,-3.91,6.78,-0.09,0.11,0.03,9.07,-5.17,2.04,-0.14,0.1,-0.09
23,18,30,22,69,-37.77,-30.36,48.08,-56.72,-68.23,13.68,6.15,-4.01,6.85,-0.08,-0.01,0.08,8.66,-5.28,2.11,-0.06,0.13,0
22,18,8,0,70,-38.5,-33.71,46.28,-58.19,-64.97,14.7,6.09,-4.25,6.37,-0.08,-0.05,0.11,8.44,-4.74,2.21,0,-0.01,0.05
22,18,10,-6,72,-36.84,-32.25,48.46,-60.15,-62.81,14.69,5.82,-4.14,6.57,0.02,-0.01,0.08,8.78,-4.48,2.3,-0.03,-0.1,-0.01
23,18,24,-2,66,-34.09,-27.74,52.59,-60.89,-61.65,14.81,5.6,-3.85,7.32,0.06,-0.04,0.04,9.18,-4.5,2.43,-0.03,-0.09,0.01
24,20,22,15,76,-34.26,-27.33,52.52,-62.89,-58.85,14.83,5.66,-3.81,7.38,-0.02,-0.06,0.11,9.02,-3.95,2.39,-0.01,-0.03,0.05
24,20,-16,27,61,-32.57,-28.4,54.02,-62.44,-61.86,13.83,5.17,-3.85,7.12,-0.06,0.01,0.09,8.89,-4.09,2.19,-0.04,-0.04,0
24,21,-6,38,64,-32.5,-26.48,54.55,-64.02,-56.85,14.92,5.26,-3.68,7.4,-0.02,-0.01,0.05,9.02,-3.68,2.4,-0.08,-0.01,-0.01
24,22,4,29,63,-31.95,-26.96,55.02,-63.53,-59.9,14.02,5.1,-3.71,7.29,-0.11,0.1,0,9.04,-3.9,2.26,-0.15,0.08,-0.06
24,22,-2,38,67,-33.36,-30.34,52.66,-62.63,-61.78,13.76,5.14,-3.94,6.74,-0.09,0.05,-0.02,8.86,-4.04,2.17,-0.13,0.07,-0.04
24,22,12,29,37,-33.5,-27.74,53.21,-62.38,-62.29,13.68,5.31,-3.73,7.09,-0.09,0.09,-0.01,8.69,-4.02,2.11,-0.15,0.06,-0.06
24,22,24,-2,42,-36.06,-28.87,50.25,-61.92,-61.74,14.18,5.81,-3.85,6.98,-0.07,0.05,-0.03,8.88,-4.17,2.24,-0.14,-0.01,-0.05
24,22,46,11,28,-33.73,-29.76,52.43,-60.9,-64.42,13.51,5.26,-3.91,6.85,-0.08,0.12,-0.05,8.93,-4.48,2.15,-0.17,0,-0.09
24,22,36,9,22,-35.3,-27.4,51.42,-61.82,-63.02,13.66,5.83,-3.79,7.31,-0.07,0.05,-0.01,9.1,-4.35,2.21,-0.14,0.04,-0.05
23,22,50,-2,18,-36.15,-30.93,49.58,-61.8,-62.38,13.96,5.69,-4.01,6.68,0.01,0.03,-0.01,8.83,-4.19,2.19,-0.13,0,-0.05
24,22,8,-9,46,-35.14,-27.91,51.47,-60.9,-66.37,12.58,5.76,-3.83,7.23,-0.04,0.15,-0.02,9,-4.59,2.01,-0.17,0.03,-0.11
24,22,-4,27,55,-36.12,-27.28,50.61,-61.2,-62.54,14.22,6.05,-3.8,7.36,0,0.03,0,9.06,-4.42,2.3,-0.11,-0.02,-0.07
24,22,-12,9,57,-35.29,-27.89,51.31,-61.15,-65,13.1,5.78,-3.82,7.22,-0.04,0.08,-0.02,9.16,-4.57,2.13,-0.13,0.02,-0.07
24,22,-2,13,58,-36.44,-27.56,50.21,-60.49,-66.41,12.77,6.05,-3.79,7.26,0.02,0.04,0.06,9.01,-4.68,2.04,-0.08,0.02,-0.02
24,22,-18,2,64,-35.68,-27.73,50.96,-62.05,-62.31,13.85,5.86,-3.8,7.22,-0.03,0.02,0.05,9.08,-4.27,2.24,-0.06,-0.01,-0.03
24,22,10,-2,75,-34.74,-27.33,52.02,-61.64,-64,13.31,5.65,-3.74,7.24,-0.05,0.07,0.02,9.18,-4.45,2.17,-0.09,0.02,-0.07
24,22,28,-4,76,-34.49,-27.72,52.18,-61.7,-64.79,12.92,5.54,-3.75,7.13,-0.12,0.05,0.05,9.1,-4.43,2.09,-0.08,0.04,-0.03
24,22,16,6,87,-35.59,-28.97,50.71,-61.9,-62.57,13.82,5.73,-3.88,7,-0.05,0.02,0.03,9,-4.27,2.21,-0.08,0.01,-0.02
24,22,30,0,91,-35.5,-27.75,51.13,-61.51,-63.38,13.66,5.71,-3.73,7.09,-0.02,0.01,0.03,8.93,-4.33,2.17,-0.11,-0.01,0
24,22,26,-2,79,-34.68,-25.71,52.48,-62.1,-63.98,13.07,5.63,-3.53,7.33,-0.1,0.04,0,9.09,-4.33,2.11,-0.16,0.03,-0.03
24,22,-4,-4,75,-36.35,-31.63,49.17,-60.27,-70,11.05,5.52,-3.93,6.38,-0.05,-0.01,0.04,8.71,-4.68,1.7,-0.05,-0.03,0.03
24,22,-8,-6,57,-35.56,-25.24,51.68,-62.75,-61.61,13.76,5.84,-3.48,7.39,0.02,-0.06,0.02,8.97,-4.06,2.2,-0.06,-0.08,0.02
24,22,4,-9,51,-35.6,-24.49,51.81,-62.85,-66.79,11.42,5.86,-3.39,7.45,-0.02,0.05,-0.01,9.16,-4.32,1.85,-0.12,-0.02,-0.06
24,22,-24,-9,54,-36.29,-26.37,50.66,-61.47,-69.54,10.76,5.87,-3.55,7.16,-0.07,0.02,0.07,9.13,-4.65,1.74,-0.05,-0.04,0.02
24,22,-14,13,55,-35.14,-28.38,51.34,-63.07,-62.78,13.08,5.51,-3.72,6.89,-0.03,-0.04,0.08,9,-4.06,2.09,-0.02,0.01,0.02
24,22,10,22,54,-35.64,-29.5,50.52,-60.91,-63.33,14.02,5.61,-3.85,6.81,0.01,0.04,0.05,8.7,-4.32,2.17,-0.05,0.04,-0.05
24,22,4,27,75,-35.35,-30.82,50.44,-59.91,-62.83,14.82,5.51,-3.98,6.68,0.03,-0.01,0.07,8.72,-4.5,2.31,-0.04,-0.03,0
24,22,12,31,73,-34.67,-29.51,51.53,-61.02,-57.57,16.54,5.52,-3.93,6.95,-0.04,-0.03,0.05,8.75,-4.09,2.6,-0.06,-0.03,0.03
23,22,0,45,73,-35.06,-30.77,50.76,-61.17,-60.49,15.17,5.51,-4.02,6.74,-0.02,0,-0.01,8.66,-4.15,2.35,-0.11,-0.07,-0.02
24,22,-28,22,73,-34.82,-29.28,51.44,-60.75,-61.61,14.91,5.62,-3.95,7.05,0.01,0.03,-0.01,8.98,-4.42,2.39,-0.1,-0.08,-0.04
24,22,-48,22,51,-33.13,-25.25,54.19,-62.27,-61.12,14.24,5.52,-3.61,7.65,-0.03,-0.03,0.03,9.24,-4.25,2.35,-0.1,-0.03,0.01
24,22,-48,15,40,-35.32,-27.62,51.35,-61.56,-67.42,11.75,5.74,-3.76,7.18,-0.06,0.01,0.01,9.12,-4.56,1.9,-0.09,0.03,0.01
24,22,-68,15,49,-36.77,-26.17,50.21,-62.5,-63.5,13.07,6.13,-3.62,7.36,-0.03,-0.01,0.04,9,-4.19,2.09,-0.06,0,0
24,22,-42,29,52,-35.82,-25.04,51.46,-62.43,-62.74,13.45,5.96,-3.5,7.49,-0.09,0.11,0.04,9.17,-4.26,2.19,-0.11,0.07,-0.11
24,22,-14,40,66,-36.27,-29.81,49.78,-60.24,-68.26,11.96,5.7,-3.86,6.74,-0.14,0.11,0.08,8.95,-4.75,1.9,-0.06,0.12,-0.09
24,22,8,33,87,-36.4,-27.37,50.3,-60.8,-62.53,14.46,5.93,-3.7,7.15,-0.12,0.05,0.11,8.93,-4.43,2.3,-0.01,0.1,-0.05
24,22,14,27,82,-36.08,-31.27,49.55,-60.62,-62.68,14.49,5.59,-3.98,6.56,-0.1,0.06,0.12,8.69,-4.35,2.25,-0.01,0.07,-0.05
23,22,14,20,54,-35.3,-30.57,50.57,-60.83,-61.09,15.1,5.57,-4,6.77,-0.1,0.09,0.08,8.81,-4.3,2.38,-0.03,0.05,-0.09
24,22,8,18,57,-34.48,-28.9,51.89,-61.23,-62.31,14.31,5.52,-3.89,7.04,-0.05,0.06,0.1,8.93,-4.34,2.28,-0.03,0,-0.07
24,22,-4,24,48,-33.39,-28.77,53.06,-62.51,-60.23,14.48,5.32,-3.89,7.08,-0.06,0.03,0.07,9.05,-4.08,2.34,-0.03,0.01,-0.04
24,22,2,18,52,-34.11,-27.89,52.54,-62.23,-59.96,14.77,5.56,-3.84,7.26,-0.07,0.05,0.06,9.02,-4.11,2.38,-0.07,0.03,-0.06
24,22,0,18,64,-33.82,-29.74,52.34,-61.87,-61.71,14.22,5.37,-3.97,6.95,-0.06,0.04,0.06,8.92,-4.2,2.26,-0.07,0.04,-0.03
24,22,4,18,84,-34.49,-30.05,51.56,-61.08,-61.16,14.92,5.48,-3.99,6.9,-0.03,0.04,0.03,8.88,-4.3,2.37,-0.06,0,-0.04
24,22,0,6,85,-35.47,-30.04,50.54,-61.05,-59.56,15.66,5.68,-3.99,6.9,-0.03,0.06,0.05,8.84,-4.22,2.48,-0.07,0,-0.05
24,22,6,0,81,-35.22,-29.54,50.94,-60.87,-57.61,16.62,5.71,-3.99,7.03,-0.04,0.08,0.03,8.69,-4.09,2.59,-0.1,0,-0.09
23,22,10,22,67,-33.83,-31.22,51.92,-60.88,-60.21,15.47,5.32,-4.11,6.78,-0.04,0.05,0.02,8.88,-4.3,2.46,-0.08,-0.04,-0.05
22,22,12,20,67,-34.5,-30.44,51.44,-61.61,-58.95,15.58,5.45,-4.02,6.84,0,0.04,0.01,8.85,-4.1,2.47,-0.09,-0.06,-0.05
23,22,18,24,64,-34.37,-27.21,52.43,-61.96,-60.14,14.85,5.65,-3.78,7.34,0.01,0.11,-0.02,9.07,-4.19,2.4,-0.13,-0.02,-0.12
24,22,18,11,43,-35.13,-29.88,50.95,-61.12,-64.78,13.23,5.61,-3.97,6.91,-0.04,0.03,0.04,9.13,-4.55,2.15,-0.06,-0.02,-0.01
24,23,40,15,52,-34.34,-28.62,52.11,-63.19,-58.75,14.69,5.53,-3.88,7.1,0,0.01,0.05,9.03,-3.9,2.37,-0.06,-0.05,-0.03
24,22,28,-2,60,-34.33,-26.79,52.58,-62.36,-63.03,13.36,5.65,-3.73,7.38,-0.04,0.09,0.03,9.17,-4.28,2.18,-0.1,0.01,-0.08
24,22,24,18,49,-34.25,-26.96,52.62,-62.09,-63.26,13.41,5.54,-3.69,7.25,-0.05,0.04,0.04,9.12,-4.31,2.17,-0.08,-0.03,-0.03
24,22,14,4,45,-35.43,-27.41,51.29,-62.45,-63.41,13.14,5.76,-3.73,7.18,-0.06,0.01,0.06,9.11,-4.25,2.13,-0.05,-0.01,0
24,22,-8,6,48,-35.51,-29.54,50.64,-61.62,-66.19,12.3,5.6,-3.87,6.83,-0.02,0.03,0.05,8.96,-4.43,1.95,-0.04,-0.04,-0.03
24,22,-30,9,66,-34.84,-29.32,51.4,-62,-61.69,14.16,5.53,-3.89,6.92,0.1,-0.05,0.07,8.92,-4.18,2.25,0,-0.12,0
