finger 1,finger 2,finger 3,finger 4,finger 5,pitch1,roll1,yaw1,pitch2,roll2,yaw2,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z
41,18,82,78,37,-4.46,0.54,85.54,-42.06,-33.02,42.9,0.76,0.09,9.73,-0.02,0.02,0.09,7.1,-4.29,6.6,-0.02,-0.03,-0.04
41,18,90,69,37,-4.19,-0.52,85.81,-42.41,-33.11,42.52,0.69,-0.09,9.47,-0.08,0.03,0.06,7.09,-4.24,6.5,-0.05,0.01,0
41,18,76,74,49,-5.37,-2.45,84.63,-41.31,-34.02,43.32,0.88,-0.4,9.39,0.03,0.03,0.06,6.93,-4.41,6.53,-0.03,-0.04,-0.01
41,18,58,78,69,-5.26,0.17,84.74,-41.89,-34.34,42.63,0.89,0.03,9.63,-0.04,0.03,0.08,7.18,-4.51,6.61,-0.03,-0.03,0.03
41,18,54,74,81,-4.37,0,85.63,-42.77,-33.39,42.07,0.72,0,9.44,-0.1,0.02,0.07,7.15,-4.25,6.45,-0.06,0.02,0.03
41,18,60,69,88,-5.82,0.06,84.18,-42.81,-34.6,41.63,0.97,0.01,9.52,-0.08,0.03,0.07,7.17,-4.39,6.37,-0.04,0.02,0.02
41,18,34,74,90,-4.81,0.32,85.19,-42.84,-33.59,41.93,0.8,0.05,9.51,-0.09,0.02,0.09,7.25,-4.33,6.51,-0.03,0.05,0.04
41,18,44,94,87,-4.07,-1.02,85.93,-41.63,-32.56,43.48,0.67,-0.17,9.46,-0.12,0.03,0.09,6.98,-4.23,6.62,-0.03,0.07,0.04
41,18,46,85,78,-3.83,-2.73,86.16,-40.24,-31.84,45.11,0.63,-0.45,9.38,-0.11,0.02,0.06,6.65,-4.14,6.67,-0.05,0.1,0
41,18,48,85,66,-4.38,-4.31,85.6,-38.99,-34.12,45.64,0.72,-0.7,9.34,-0.1,0.02,0.01,6.52,-4.52,6.67,-0.06,0.02,0
41,18,30,76,57,-5.34,-4.36,84.64,-39.2,-34,45.47,0.88,-0.72,9.39,-0.04,0,0.07,6.63,-4.54,6.74,-0.04,-0.02,0.03
41,18,42,65,51,-4.38,-1.08,85.62,-40.43,-32.12,44.83,0.75,-0.18,9.76,-0.08,0.02,0.06,6.99,-4.36,6.95,-0.05,0.02,0.02
41,18,44,49,52,-3.74,-3.81,86.25,-39.37,-32.3,45.85,0.62,-0.63,9.46,-0.11,0.02,0,6.67,-4.34,6.87,-0.09,0.08,-0.03
41,18,34,65,42,-4.84,-5.44,85.13,-38.85,-33,46.16,0.79,-0.88,9.28,-0.08,0.02,0,6.54,-4.42,6.81,-0.09,0.08,-0.06
41,18,36,67,24,-4.71,-2.92,85.28,-38.88,-33.33,46.02,0.79,-0.49,9.52,-0.03,0.02,0,6.53,-4.45,6.77,-0.11,0.02,-0.05
41,18,84,83,34,-4.89,-3.33,85.11,-39.45,-32.77,45.62,0.81,-0.55,9.42,-0.02,0,-0.02,6.66,-4.38,6.81,-0.11,0.02,-0.06
41,18,88,92,39,-5.56,-1.59,84.44,-39.75,-33.43,45.1,0.94,-0.27,9.64,-0.09,0.01,-0.05,6.82,-4.52,6.84,-0.14,0.07,-0.06
41,18,90,85,43,-5.68,-5.4,84.29,-38.84,-33.22,46.1,0.92,-0.87,9.25,-0.06,0.05,-0.06,6.49,-4.42,6.74,-0.14,0.09,-0.09
41,18,110,78,49,-5.37,-4.27,84.61,-38.9,-34.05,45.76,0.89,-0.7,9.39,0,0.04,-0.04,6.57,-4.56,6.75,-0.12,0.08,-0.13
41,18,110,63,61,-4.54,-2.09,85.46,-39.53,-32.3,45.68,0.76,-0.35,9.53,-0.08,0.03,-0.06,6.73,-4.36,6.9,-0.12,0.07,-0.07
41,18,84,60,57,-4.72,-4.74,85.26,-38.47,-33.87,46.26,0.78,-0.78,9.39,-0.05,0.04,-0.09,6.44,-4.52,6.73,-0.14,0.08,-0.1
41,18,74,45,60,-5.79,-2.7,84.21,-39.87,-34.61,44.58,0.96,-0.45,9.51,-0.07,0.05,-0.02,6.85,-4.65,6.74,-0.09,0.04,-0.06
41,18,50,33,51,-3.2,-2.62,86.8,-40.02,-33.56,44.79,0.53,-0.43,9.46,-0.02,0.05,-0.02,6.73,-4.43,6.68,-0.08,0.02,-0.08
41,18,52,45,43,-6.34,-2.09,83.66,-41.1,-34,43.54,1.06,-0.35,9.5,0.01,0.05,0.02,7,-4.49,6.65,-0.07,0.02,-0.05
41,18,48,58,27,-3.49,-0.73,86.51,-41.28,-33.37,43.57,0.58,-0.12,9.53,-0.05,0.06,-0.01,7.02,-4.4,6.68,-0.05,-0.03,-0.07
41,18,54,54,27,-4.93,-1.94,85.07,-41.49,-32.21,43.74,0.82,-0.32,9.46,-0.03,0.07,0.02,7.05,-4.25,6.75,-0.05,0,-0.07
41,18,66,74,19,-3.62,1.6,86.38,-42.46,-32.15,42.78,0.62,0.28,9.83,0.01,0.09,0.07,7.15,-4.16,6.62,-0.05,0.02,-0.1
41,18,88,81,18,-2.09,1.19,87.91,-42.77,-31.08,42.79,0.35,0.2,9.64,-0.05,0.03,0.03,7.29,-4.07,6.75,-0.05,-0.01,-0.04
41,20,98,63,19,-2.62,0.47,87.38,-42.53,-30.34,43.25,0.44,0.08,9.53,-0.05,0.03,0.06,7.16,-3.94,6.73,-0.07,0.01,-0.01
41,20,100,63,42,-3.28,0.42,86.72,-42.24,-31.47,43.2,0.55,0.07,9.53,-0.09,0,0.03,7.05,-4.05,6.62,-0.09,0.01,0.01
41,20,100,67,33,-5.6,-1.05,84.4,-41.26,-34.23,43.3,0.92,-0.17,9.4,-0.06,-0.01,0.05,6.85,-4.39,6.45,-0.09,0,0.03
41,20,96,85,30,-6.55,-2.44,83.44,-40.86,-34.32,43.67,1.08,-0.4,9.37,-0.02,0,0.07,6.83,-4.45,6.52,-0.06,-0.02,-0.01
41,20,80,92,31,-6.14,-0.58,83.86,-40.06,-35.26,44.16,1.04,-0.1,9.63,-0.01,0,0.07,6.76,-4.64,6.57,-0.06,-0.04,-0.02
