finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
91,-3,16,92,84,0.97,83.05,97.94,-8.65,-69.06,66.93,-0.16,9.29,1.13,-0.02,0.06,0.06,1.5,-9.2,3.52,-0.08,-0.06,-0.05
91,-3,36,78,87,-0.41,82.63,86.82,-8.5,-70.38,66,0.07,9.33,1.21,-0.05,0.04,0.04,1.48,-9.32,3.32,-0.08,-0.04,-0.02
91,-3,42,114,78,-1,83.07,81.8,-8.88,-70.73,64.66,0.16,9.3,1.13,-0.04,0.06,0.05,1.54,-9.3,3.25,-0.08,-0.06,-0.03
91,-3,60,114,79,-0.44,83.52,86.07,-9.22,-69.71,64.9,0.07,9.22,1.05,-0.03,0.1,0.06,1.58,-9.11,3.37,-0.08,-0.1,-0.02
91,-3,70,132,64,-0.69,82.84,84.45,-8.29,-70.56,66.36,0.11,9.02,1.13,-0.04,0.13,0.08,1.4,-9.05,3.19,-0.09,-0.13,-0.02
91,-3,92,130,78,-0.57,81.78,86.03,-7.95,-71.08,66.69,0.09,9.07,1.31,0.02,0.14,0.09,1.36,-9.19,3.15,-0.05,-0.15,-0.07
91,-3,120,132,67,-0.19,80.24,88.87,-5.69,-71.68,72.42,0.03,9.14,1.57,0.02,0.14,0.09,0.98,-9.34,3.09,-0.05,-0.15,-0.06
91,-3,104,85,73,0.34,80.56,92.06,-6.31,-70.84,71.39,-0.06,9.2,1.53,0.06,0.22,0.12,1.1,-9.39,3.26,-0.03,-0.24,-0.09
91,-3,110,72,70,1.55,82.8,102.19,-8.68,-68.85,67.07,-0.26,9.47,1.2,0.08,0.21,0.09,1.53,-9.38,3.63,0.01,-0.21,-0.09
91,-3,114,51,79,2.05,83.37,107.23,-7.99,-68.32,69.21,-0.34,9.49,1.1,0.04,0.18,0.08,1.42,-9.39,3.73,-0.02,-0.18,-0.07
91,-3,100,24,73,2.57,83.27,111,-7.6,-67.52,70.76,-0.42,9.36,1.1,0.07,0.16,0.07,1.33,-9.22,3.81,-0.01,-0.16,-0.1
91,-3,76,31,70,3.58,83.67,119.59,-7.58,-66.98,71.2,-0.59,9.39,1.04,0.07,0.13,0.09,1.34,-9.27,3.94,-0.02,-0.14,-0.11
91,-3,110,40,39,3.44,84.93,124.22,-8.19,-65.8,70.64,-0.57,9.45,0.84,0.07,0.1,0.1,1.44,-9.1,4.09,-0.05,-0.13,-0.12
91,-3,96,24,34,3.75,86.95,140.94,-10.36,-64.83,66.75,-0.62,9.47,0.51,0.06,0.09,0.14,1.83,-9.08,4.27,-0.09,-0.13,-0.14
91,-3,90,29,24,2.83,87.38,137.24,-11.41,-65.56,63.99,-0.48,9.63,0.44,0.05,0,0.12,2.04,-9.21,4.19,-0.11,-0.02,-0.14
91,-3,104,38,25,1.46,87.06,116.46,-11.65,-66.2,62.94,-0.25,9.76,0.5,0.02,-0.05,0.12,2.1,-9.33,4.12,-0.14,0.01,-0.13
91,-3,92,4,33,0.51,87.69,102.38,-12.42,-66.82,60.77,-0.09,9.72,0.39,-0.03,-0.06,0.12,2.22,-9.28,3.97,-0.17,0.03,-0.1
91,-3,78,6,72,-0.68,87.2,76.44,-12.24,-68.12,59.8,0.11,9.74,0.48,-0.1,-0.06,0.15,2.18,-9.31,3.74,-0.23,0.03,-0.05
91,-3,88,22,84,-2.21,86.22,59.69,-13.04,-70.29,55.54,0.38,9.86,0.65,-0.14,-0.04,0.15,2.36,-9.61,3.44,-0.24,0.01,-0.01
91,-3,84,13,90,-2.74,86.45,52.33,-13.3,-70.67,54.47,0.46,9.64,0.6,-0.18,-0.06,0.1,2.36,-9.4,3.3,-0.23,0.06,0.03
91,-3,68,38,105,-3.13,84.84,58.68,-11.53,-71.19,57.67,0.52,9.41,0.85,-0.21,-0.07,0.08,1.99,-9.23,3.14,-0.24,0.07,0.07
91,-3,66,69,94,-4.57,82.15,59.64,-9.37,-74.04,59.03,0.75,9.31,1.28,-0.23,0,0.11,1.63,-9.48,2.71,-0.25,0,0.09
91,-3,62,105,81,-4.35,82.23,60.67,-10.68,-74,55.62,0.71,9.21,1.26,-0.21,0.05,0.11,1.84,-9.36,2.68,-0.22,-0.05,0.09
91,-3,70,121,79,-4.65,81.59,60.94,-10.04,-74.73,56.09,0.75,9.15,1.35,-0.18,0.03,0.07,1.73,-9.45,2.58,-0.17,-0.01,0.07
