finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
finger 1	finger 2	finger 3	finger 4	finger 5	pitch1	roll1	yaw1	pitch2	roll2	yaw2	a1x	a1y	a1z	g1x	g1y	g1z	a2x	a2y	a2z	g2x	g2y	g2z
42	46	38	96	66	83.84	-179.21	-173.84	-6.93	5.96	83.03	-9.61	-0.01	-1.04	-0.08	0.04	0.07	1.32	1.13	10.83	-0.03	-0.03	0.01
42	46	50	67	76	82.97	-179.54	-172.97	-6.7	6.42	83.25	-9.66	-0.01	-1.19	-0.05	0.04	0.04	1.28	1.22	10.81	-0.06	0	-0.01
42	46	50	60	85	82.95	-177.24	-172.96	-6.1	6.38	83.86	-9.65	-0.06	-1.19	-0.04	0.02	0.04	1.16	1.21	10.81	-0.08	-0.02	-0.02
42	45	90	67	85	83.65	-179.08	-173.65	-6.47	5.01	83.51	-9.38	-0.02	-1.04	-0.03	-0.01	0.05	1.2	0.92	10.52	-0.08	-0.06	-0.03
42	46	104	78	64	84.02	166.63	-174.18	-8.34	6.05	81.61	-9.49	0.23	-0.97	-0.1	0	0.11	1.59	1.14	10.78	-0.04	-0.09	0.02
42	46	110	69	52	83.01	-174.45	-173.04	-6.75	6.21	83.21	-9.5	-0.11	-1.16	-0.03	0.02	0.02	1.28	1.17	10.72	-0.1	0.02	-0.03
42	45	112	83	57	84.17	168.41	-174.29	-6.58	5.37	83.39	-9.58	0.2	-0.96	-0.03	0	0.03	1.22	0.99	10.52	-0.11	-0.02	-0.01
42	46	126	101	52	83.53	-172.47	-173.58	-6.57	5.45	83.4	-9.34	-0.14	-1.05	-0.04	-0.04	0.05	1.22	1	10.51	-0.1	-0.07	-0.02
42	45	92	101	52	84.6	167.8	-174.72	-8.12	4.75	81.86	-9.22	0.18	-0.85	-0.06	-0.02	0.05	1.5	0.87	10.49	-0.09	-0.05	-0.01
42	46	80	94	70	83.9	178.51	-173.9	-7.38	5.99	82.58	-9.46	0.03	-1.01	-0.06	0.02	0.03	1.39	1.12	10.69	-0.1	0	0.01
42	45	66	101	63	84.24	174.64	-174.26	-7.05	5.31	82.92	-9.39	0.09	-0.94	-0.03	0.02	0.01	1.3	0.97	10.46	-0.11	0.01	-0.02
42	45	94	96	51	84.46	179.85	-174.46	-7.19	4.9	82.79	-9.3	0	-0.9	-0.04	0	0.02	1.33	0.9	10.53	-0.1	-0.02	-0.02
42	45	80	87	45	84.13	-171.25	-174.2	-6.52	4.57	83.46	-9.19	-0.14	-0.93	-0.05	0.02	0.02	1.2	0.84	10.48	-0.07	-0.01	-0.02
42	46	84	87	46	84.04	-178.74	-174.04	-7.47	5.4	82.5	-9.38	-0.02	-0.98	-0.03	0.05	0.06	1.4	1.01	10.64	-0.05	-0.02	-0.03
42	45	88	87	30	84.19	177.25	-174.2	-7.35	5.34	82.62	-9.33	0.05	-0.95	0	0.07	0.02	1.37	0.99	10.59	-0.06	0.04	-0.05
42	46	72	58	33	83.7	179.07	-173.7	-7.12	5.53	82.85	-9.32	0.02	-1.03	-0.02	0.04	0.04	1.32	1.02	10.54	-0.05	-0.01	-0.05
