finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
45,78,28,56,45,85.92,75.91,179.01,-18.48,41.27,66.03,-9.25,0.64,0.16,-0.06,0.06,0.04,3.28,6.46,7.37,-0.05,0.02,-0.03
45,78,28,69,46,85.31,74.44,178.74,-18.40,41.74,65.97,-9.57,0.76,0.21,-0.08,0.06,0.04,3.30,6.60,7.40,-0.06,0.04,-0.02
45,78,10,29,52,86.48,76.73,179.19,-18.07,41.57,66.43,-9.15,0.55,0.13,-0.02,0.01,0.06,3.17,6.45,7.28,-0.05,-0.02,-0.03
45,78,-2,18,51,83.69,53.00,176.19,-19.83,40.96,64.47,-9.25,0.82,0.62,-0.01,-0.00,0.11,3.61,6.55,7.55,-0.03,-0.05,-0.04
45,78,-12,18,57,83.89,64.67,177.38,-19.57,41.71,64.54,-9.73,0.94,0.45,-0.07,0.05,0.05,3.51,6.56,7.36,-0.06,0.03,-0.03
45,78,-10,36,51,86.15,77.28,179.15,-18.98,41.36,65.38,-9.38,0.62,0.14,0.01,-0.01,0.05,3.35,6.44,7.32,-0.06,-0.08,-0.03
45,78,-30,27,27,81.90,47.33,174.49,-21.07,40.21,63.23,-9.36,0.98,0.90,0.00,-0.00,0.07,3.86,6.46,7.64,-0.06,-0.04,-0.04
45,78,-4,51,22,84.15,58.84,176.97,-19.56,41.34,64.67,-9.40,0.82,0.50,-0.06,0.03,0.03,3.48,6.47,7.35,-0.06,0.02,-0.00
45,78,4,56,30,84.28,63.43,177.44,-19.21,41.83,64.94,-9.47,0.85,0.42,-0.06,0.01,0.03,3.44,6.59,7.36,-0.08,-0.01,0.00
45,78,0,58,24,84.08,55.36,176.63,-20.03,40.83,64.27,-9.27,0.79,0.55,-0.05,0.01,0.02,3.59,6.44,7.45,-0.09,0.00,-0.03
45,78,-38,42,31,86.01,59.70,177.98,-18.28,40.95,66.37,-9.18,0.55,0.32,-0.03,0.04,0.02,3.20,6.34,7.31,-0.06,0.01,-0.02
45,78,-30,40,49,85.71,67.88,178.38,-17.93,41.33,66.68,-9.58,0.67,0.27,0.01,-0.02,0.07,3.26,6.65,7.57,-0.05,-0.03,-0.05
45,78,-48,51,52,83.87,60.26,176.95,-19.24,41.56,65.00,-9.52,0.89,0.51,-0.04,0.00,0.02,3.43,6.53,7.36,-0.09,-0.01,-0.02
45,78,-24,54,43,85.04,64.94,177.89,-18.22,41.83,66.17,-9.37,0.74,0.34,-0.05,0.02,0.03,3.24,6.56,7.33,-0.07,-0.01,-0.01
45,78,-26,40,46,86.39,83.22,179.57,-18.01,41.51,66.53,-9.34,0.58,0.07,0.01,0.01,0.06,3.20,6.52,7.37,-0.06,-0.08,-0.05
45,78,16,51,49,82.80,53.01,175.65,-19.45,41.33,64.82,-9.32,0.94,0.71,0.01,-0.02,0.07,3.50,6.54,7.44,-0.06,-0.07,-0.02
45,78,38,60,48,83.55,62.27,176.99,-19.52,42.07,64.48,-9.28,0.93,0.49,-0.06,0.02,0.06,3.48,6.58,7.29,-0.04,-0.04,-0.02
45,78,34,47,46,84.76,76.54,178.78,-19.01,42.50,64.96,-9.42,0.84,0.20,-0.02,0.02,0.05,3.36,6.59,7.19,-0.06,-0.04,-0.04
46,78,8,47,55,82.45,60.98,176.32,-20.13,41.96,63.76,-9.41,1.09,0.61,-0.04,0.00,0.05,3.63,6.62,7.36,-0.07,-0.03,-0.01
45,78,26,51,66,83.67,60.62,176.88,-19.41,41.96,64.65,-9.24,0.89,0.50,-0.07,0.06,0.02,3.46,6.57,7.31,-0.07,0.01,-0.03
45,78,14,74,66,84.79,57.18,177.17,-19.63,41.45,64.55,-9.06,0.69,0.45,-0.04,0.05,0.05,3.41,6.33,7.16,-0.05,-0.02,-0.04
45,78,16,72,69,83.74,66.61,177.51,-19.81,42.03,64.13,-9.51,0.96,0.41,-0.05,0.03,0.10,3.60,6.69,7.42,-0.03,-0.04,-0.03
45,78,24,90,72,83.83,59.89,176.90,-19.75,41.95,64.23,-9.45,0.88,0.51,-0.01,0.02,0.05,3.62,6.74,7.50,-0.06,-0.03,-0.06
45,78,16,81,79,83.32,56.83,176.33,-20.35,41.58,63.62,-9.45,0.93,0.61,-0.00,0.08,0.00,3.64,6.51,7.34,-0.08,-0.00,-0.10
