finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
-1,13,92,13,30,-10.01,-68.23,64.54,-32.07,-140.21,-50.80,1.74,-9.13,3.65,-0.05,0.06,-0.01,5.10,-5.21,-6.26,-0.09,0.01,0.04
0,13,68,40,37,-9.68,-65.26,67.83,-35.44,-138.01,-46.24,1.67,-8.91,4.11,0.05,-0.01,0.05,5.72,-5.38,-5.97,-0.02,-0.01,0.01
0,13,66,-2,48,-8.60,-60.77,72.80,-37.18,-135.84,-43.40,1.46,-8.44,4.73,-0.05,0.11,0.02,5.72,-5.26,-5.41,-0.08,0.10,0.09
0,13,80,2,55,-9.05,-62.32,71.08,-32.21,-138.42,-49.90,1.53,-8.54,4.48,-0.09,0.08,0.02,4.98,-5.25,-5.92,-0.10,-0.04,0.06
0,13,82,2,54,-8.01,-63.23,72.66,-34.55,-136.38,-46.43,1.36,-8.63,4.36,-0.09,-0.00,0.01,5.30,-5.31,-5.57,-0.10,-0.07,-0.03
0,13,108,20,63,-8.89,-62.42,71.33,-34.56,-137.08,-46.75,1.53,-8.67,4.53,-0.12,-0.01,-0.01,5.58,-5.52,-5.94,-0.10,-0.07,-0.02
0,13,132,27,64,-8.29,-57.77,74.72,-36.07,-136.91,-45.07,1.42,-8.27,5.21,-0.26,0.03,0.00,5.51,-5.17,-5.53,-0.12,-0.07,0.03
0,13,132,45,64,-7.03,-62.11,75.22,-34.69,-137.05,-46.60,1.20,-8.63,4.57,-0.50,0.07,-0.10,5.52,-5.44,-5.84,-0.21,-0.13,0.02
-1,13,124,56,55,-10.79,-63.93,66.57,-33.54,-137.81,-48.18,1.91,-9.01,4.41,-0.35,-0.01,-0.04,5.43,-5.50,-6.07,-0.14,-0.15,-0.01
0,13,132,72,54,-9.59,-65.28,68.00,-34.83,-136.93,-46.39,1.67,-8.96,4.13,-0.33,-0.03,0.02,5.57,-5.46,-5.84,-0.13,-0.10,-0.01
-1,13,116,54,52,-9.60,-68.77,64.97,-32.56,-139.10,-49.81,1.66,-9.15,3.55,-0.18,-0.04,0.04,5.04,-5.17,-5.97,-0.11,-0.08,0.04
0,13,112,6,43,-6.76,-65.36,74.13,-36.17,-137.03,-45.02,1.09,-8.39,3.85,-0.74,0.09,-0.07,5.56,-5.19,-5.57,-0.20,0.10,0.03
-1,13,94,20,55,-10.58,-68.87,62.62,-32.63,-139.12,-49.74,1.86,-9.31,3.60,-0.42,0.09,-0.12,5.32,-5.43,-6.28,-0.18,0.07,0.02
-3,13,86,4,64,-13.24,-80.43,35.24,-29.14,-141.52,-54.54,2.47,-10.36,1.75,0.16,-0.14,0.08,4.93,-5.50,-6.92,0.09,-0.03,-0.13
-1,14,72,-4,64,-10.52,-52.83,72.91,-38.88,-136.54,-42.00,1.77,-7.60,5.76,-0.15,0.04,0.14,5.83,-4.98,-5.25,0.10,0.21,-0.03
0,15,52,18,55,-7.32,-68.73,70.51,-37.71,-136.47,-43.15,1.20,-8.74,3.40,-0.41,0.25,-0.06,5.56,-4.95,-5.21,-0.17,0.04,0.16
-2,15,58,49,61,-9.34,-79.33,48.37,-30.01,-139.34,-52.72,1.70,-10.18,1.92,-0.13,0.22,-0.04,4.97,-5.61,-6.53,-0.12,0.12,0.07
