finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
56,28,62,58,37,-18.37,15.61,70.98,-2.32,-16.95,87.58,2.98,2.42,8.65,-0.05,0.05,0.04,0.43,-3.11,10.20,-0.07,-0.01,0.01
56,28,52,42,15,-18.46,15.96,70.85,-2.34,-17.33,87.55,3.04,2.51,8.76,-0.05,0.03,0.08,0.44,-3.22,10.30,-0.08,-0.01,0.02
56,28,80,40,10,-18.41,16.52,70.85,-2.70,-17.22,87.17,3.00,2.57,8.66,-0.05,0.04,0.03,0.50,-3.16,10.18,-0.07,-0.01,-0.02
56,28,80,27,10,-19.05,15.81,70.25,-2.46,-17.68,87.42,3.15,2.49,8.78,-0.08,0.04,0.06,0.46,-3.26,10.24,-0.08,0.02,0.01
56,28,68,38,15,-18.57,15.21,70.81,-2.09,-17.34,87.81,3.04,2.37,8.73,-0.07,0.05,0.07,0.39,-3.19,10.21,-0.07,0.01,0.02
56,28,66,22,15,-17.61,16.55,71.67,-2.30,-16.56,87.60,2.87,2.57,8.65,-0.06,0.05,0.07,0.43,-3.05,10.26,-0.07,0.01,0.01
56,28,66,33,34,-18.97,14.39,70.46,-2.08,-17.67,87.81,3.14,2.27,8.84,-0.06,0.04,0.09,0.39,-3.25,10.22,-0.07,-0.00,0.04
56,29,50,2,42,-17.31,15.73,72.06,-1.85,-16.25,88.08,2.80,2.44,8.66,-0.05,0.06,0.15,0.34,-2.97,10.19,-0.07,-0.01,0.08
56,28,48,-6,40,-17.74,15.48,71.63,-2.04,-16.58,87.87,2.90,2.42,8.74,-0.05,0.06,0.12,0.38,-3.05,10.23,-0.07,-0.00,0.08
56,28,38,-6,37,-17.73,15.93,71.61,-2.05,-16.45,87.86,2.88,2.47,8.65,-0.04,0.07,0.09,0.38,-3.01,10.19,-0.06,-0.01,0.05
56,28,34,15,31,-18.46,14.70,70.96,-2.03,-17.54,87.88,3.01,2.29,8.74,-0.04,0.06,0.11,0.38,-3.24,10.26,-0.07,0.00,0.08
56,28,38,15,40,-18.48,14.09,70.99,-1.64,-17.60,88.28,3.02,2.20,8.78,-0.03,0.08,0.25,0.31,-3.24,10.22,-0.08,-0.03,0.19
56,28,52,56,40,-17.95,16.55,71.33,-2.17,-16.73,87.73,2.94,2.59,8.71,0.00,0.07,0.23,0.40,-3.07,10.23,-0.06,-0.05,0.15
56,28,36,60,34,-18.17,17.28,71.03,-2.63,-16.85,87.26,2.98,2.70,8.67,-0.04,0.06,0.11,0.49,-3.09,10.19,-0.05,-0.00,0.05
56,28,54,67,48,-18.60,14.34,70.84,-1.47,-17.42,88.46,3.03,2.23,8.72,-0.04,0.08,0.09,0.27,-3.19,10.17,-0.04,0.02,0.04
56,28,34,36,64,-18.18,13.92,71.31,-1.16,-17.14,88.79,3.01,2.20,8.89,0.01,0.05,0.16,0.22,-3.17,10.30,-0.05,-0.03,0.06
56,29,30,40,54,-17.84,15.96,71.49,-1.84,-16.31,88.09,2.91,2.49,8.71,0.02,0.05,0.16,0.34,-3.00,10.25,-0.05,-0.03,0.05
56,28,60,33,49,-17.73,16.24,71.58,-1.51,-16.36,88.43,2.88,2.52,8.66,-0.02,0.05,0.08,0.28,-3.00,10.23,-0.04,0.00,0.00
56,29,70,31,61,-17.55,15.41,71.84,-1.29,-16.26,88.66,2.88,2.42,8.79,-0.01,0.04,0.02,0.24,-2.99,10.24,-0.05,0.01,-0.08
56,28,74,15,51,-18.13,14.41,71.33,-1.26,-16.96,88.68,2.96,2.25,8.77,0.02,0.01,0.02,0.24,-3.14,10.29,-0.05,-0.02,-0.10
56,29,80,27,42,-17.00,15.43,72.41,-1.12,-15.53,88.83,2.77,2.41,8.74,0.01,0.03,0.10,0.21,-2.84,10.23,-0.06,-0.02,0.03
56,29,92,15,52,-17.05,16.89,72.23,-1.72,-15.99,88.22,2.79,2.64,8.70,-0.02,-0.01,-0.02,0.32,-2.95,10.30,-0.07,-0.01,-0.09
56,28,34,20,60,-19.17,13.24,70.35,-0.91,-17.40,89.05,3.14,2.07,8.78,0.01,0.00,0.02,0.17,-3.20,10.21,-0.06,-0.04,-0.04
56,29,44,20,52,-17.34,16.71,71.95,-1.96,-16.03,87.96,2.82,2.60,8.66,0.02,0.00,0.07,0.37,-2.95,10.27,-0.07,-0.05,-0.03
56,28,16,31,39,-18.16,16.08,71.15,-1.70,-16.54,88.23,2.97,2.51,8.70,-0.02,-0.00,0.01,0.32,-3.04,10.24,-0.08,-0.02,-0.06
56,28,16,38,37,-18.43,15.45,70.93,-1.58,-16.76,88.35,3.01,2.41,8.72,-0.01,-0.01,0.01,0.29,-3.08,10.22,-0.07,-0.04,-0.06
56,28,8,49,18,-18.56,15.75,70.76,-1.97,-16.72,87.94,3.04,2.45,8.70,-0.01,-0.00,0.03,0.37,-3.08,10.26,-0.07,-0.03,-0.05
56,28,26,24,10,-18.73,15.73,70.59,-1.77,-17.08,88.15,3.06,2.45,8.70,-0.02,0.01,0.06,0.33,-3.14,10.23,-0.08,-0.02,-0.02
56,28,10,38,9,-18.45,16.20,70.84,-1.75,-16.64,88.18,3.01,2.52,8.67,-0.02,0.01,0.05,0.33,-3.06,10.24,-0.07,-0.03,-0.03
56,28,34,31,12,-18.56,15.87,70.76,-1.68,-16.86,88.24,3.04,2.48,8.71,-0.02,-0.00,0.01,0.31,-3.10,10.21,-0.08,-0.02,-0.08
56,28,26,24,25,-18.72,15.92,70.59,-1.92,-17.11,87.99,3.05,2.47,8.65,0.01,-0.02,0.01,0.36,-3.16,10.25,-0.09,-0.03,-0.13
56,28,42,29,33,-18.88,15.55,70.46,-1.71,-16.95,88.21,3.10,2.43,8.74,0.06,-0.03,0.04,0.32,-3.13,10.26,-0.09,-0.03,-0.13
56,28,44,38,58,-18.96,15.91,70.34,-1.78,-17.24,88.13,3.09,2.47,8.66,0.02,-0.02,0.05,0.33,-3.17,10.21,-0.10,-0.03,-0.06
56,28,56,38,55,-18.54,16.40,70.73,-1.87,-16.49,88.05,3.02,2.54,8.63,-0.01,0.02,0.05,0.35,-3.01,10.18,-0.06,-0.03,-0.02
56,28,58,36,58,-18.53,16.49,70.73,-1.92,-16.70,88.00,3.04,2.58,8.71,-0.04,0.02,0.01,0.36,-3.09,10.29,-0.06,-0.02,-0.04
56,28,70,60,51,-18.16,15.54,71.19,-1.58,-16.35,88.36,2.95,2.41,8.66,-0.04,0.02,0.04,0.29,-3.01,10.26,-0.08,-0.02,-0.03
56,28,56,54,51,-18.53,15.92,70.78,-1.91,-16.56,88.01,3.02,2.47,8.65,-0.01,0.00,0.05,0.36,-3.05,10.25,-0.09,-0.04,-0.03
56,29,60,76,25,-18.13,17.32,71.06,-2.37,-16.12,87.54,2.95,2.69,8.61,-0.02,0.00,0.04,0.44,-2.96,10.24,-0.09,-0.03,-0.05
56,29,66,72,6,-17.80,17.54,71.39,-2.42,-15.93,87.48,2.89,2.72,8.59,-0.04,0.00,-0.03,0.45,-2.92,10.23,-0.08,-0.03,-0.10
56,28,52,74,24,-19.18,15.30,70.17,-2.17,-17.30,87.73,3.14,2.38,8.71,-0.04,-0.01,-0.03,0.41,-3.20,10.26,-0.08,-0.03,-0.09
56,28,58,40,13,-18.81,16.13,70.48,-2.39,-16.47,87.51,3.04,2.48,8.58,-0.01,0.02,0.09,0.45,-3.03,10.25,-0.10,-0.05,0.01
56,29,50,29,4,-18.11,18.48,70.97,-2.85,-15.98,87.03,2.96,2.87,8.57,-0.01,0.01,0.05,0.53,-2.95,10.31,-0.08,-0.04,-0.04
56,28,34,2,9,-19.38,16.93,69.81,-2.63,-17.39,87.24,3.17,2.62,8.62,-0.03,-0.01,-0.04,0.49,-3.21,10.24,-0.08,-0.02,-0.11
56,28,20,-4,31,-20.34,15.78,68.94,-2.67,-18.04,87.19,3.35,2.46,8.70,-0.02,0.01,0.03,0.50,-3.34,10.24,-0.08,-0.04,-0.03
56,28,46,6,15,-19.51,17.65,69.61,-3.34,-17.17,86.51,3.19,2.73,8.58,-0.01,0.04,0.09,0.62,-3.16,10.24,-0.07,-0.05,0.01
56,28,36,29,33,-19.49,17.48,69.64,-2.80,-17.27,87.07,3.19,2.71,8.59,-0.02,0.05,0.05,0.52,-3.17,10.21,-0.05,-0.04,-0.02
56,28,32,29,54,-19.17,17.50,69.97,-3.05,-16.84,86.81,3.14,2.71,8.60,-0.00,0.05,0.03,0.57,-3.10,10.23,-0.04,-0.05,-0.05
56,29,36,36,54,-18.22,18.24,70.89,-3.23,-15.97,86.64,2.97,2.83,8.57,-0.03,0.04,0.01,0.61,-2.95,10.31,-0.04,-0.01,-0.06
56,29,40,47,57,-18.36,16.65,70.89,-2.53,-16.18,87.36,3.00,2.59,8.65,-0.06,0.05,0.02,0.47,-2.99,10.29,-0.06,0.01,-0.02
56,29,20,47,57,-17.46,17.11,71.79,-2.53,-15.69,87.37,2.82,2.64,8.57,-0.05,0.04,0.06,0.47,-2.89,10.27,-0.08,-0.01,-0.03
56,29,22,29,43,-18.12,16.69,71.13,-2.18,-16.10,87.73,2.93,2.57,8.57,-0.07,0.01,0.05,0.40,-2.95,10.23,-0.10,-0.00,-0.05
56,29,36,22,24,-18.31,16.94,70.92,-2.23,-16.30,87.68,2.99,2.63,8.63,-0.08,0.01,0.03,0.41,-2.98,10.20,-0.10,0.01,-0.05
56,28,46,36,40,-19.18,15.53,70.15,-1.82,-17.55,88.09,3.14,2.42,8.71,-0.08,-0.01,-0.00,0.34,-3.23,10.22,-0.10,0.03,-0.06
56,28,56,33,45,-19.39,14.32,70.04,-0.95,-17.46,89.01,3.17,2.23,8.73,-0.05,0.00,0.06,0.18,-3.21,10.21,-0.09,-0.01,-0.02
56,28,60,36,55,-19.04,16.67,70.19,-1.87,-17.06,88.04,3.11,2.58,8.63,-0.01,-0.00,0.01,0.35,-3.12,10.17,-0.08,-0.04,-0.08
56,28,52,15,60,-20.06,15.33,69.26,-2.03,-17.90,87.87,3.29,2.38,8.69,-0.02,0.00,-0.02,0.38,-3.28,10.17,-0.07,-0.04,-0.10
56,28,32,38,54,-19.28,15.66,70.04,-2.30,-17.19,87.59,3.15,2.43,8.67,0.00,0.03,0.05,0.43,-3.15,10.18,-0.07,-0.06,-0.02
56,29,30,20,31,-18.36,18.39,70.72,-3.23,-16.10,86.64,2.99,2.84,8.55,-0.00,0.02,0.02,0.60,-2.95,10.23,-0.07,-0.05,-0.06
56,28,20,13,10,-18.65,17.21,70.54,-2.69,-16.56,87.19,3.06,2.68,8.66,-0.03,0.01,0.00,0.50,-3.05,10.24,-0.07,-0.03,-0.07
56,28,12,0,-7,-18.41,15.89,70.91,-2.23,-16.68,87.67,2.99,2.46,8.63,-0.02,-0.01,0.03,0.42,-3.06,10.23,-0.09,-0.04,-0.05
56,29,30,11,-10,-17.50,16.84,71.77,-2.13,-15.49,87.79,2.83,2.60,8.60,-0.01,0.00,0.05,0.40,-2.85,10.28,-0.10,-0.06,-0.05
56,29,50,2,-4,-18.12,16.39,71.17,-2.16,-16.15,87.75,2.94,2.54,8.63,-0.02,-0.03,0.02,0.40,-2.96,10.23,-0.11,-0.05,-0.09
56,28,34,-18,9,-18.58,17.16,70.62,-2.76,-16.43,87.13,3.01,2.65,8.57,-0.02,-0.03,0.01,0.51,-3.01,10.20,-0.11,-0.06,-0.06
