finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
,-0.05,0.04,0.14,-0.15,-7.51,7.26,-0.10,-0.05,0.07
56,5,50,18,54,-24.44,18.03,64.45,0.09,-45.83,90.13,3.94,2.69,8.25,-0.07,0.07,0.17,-0.02,-7.42,7.21,-0.09,-0.05,0.12
56,5,36,24,51,-23.85,18.42,65.02,0.55,-45.53,90.78,3.84,2.74,8.24,-0.08,0.08,0.11,-0.10,-7.35,7.21,-0.05,-0.01,0.07
56,5,26,31,61,-23.64,17.02,65.41,1.62,-45.35,92.31,3.78,2.53,8.26,-0.11,0.08,0.08,-0.29,-7.28,7.19,-0.05,0.02,0.06
56,5,20,31,48,-23.67,14.85,65.60,2.70,-45.27,93.84,3.80,2.22,8.38,-0.11,0.08,0.10,-0.48,-7.28,7.21,-0.06,0.01,0.09
56,5,8,18,61,-23.10,14.81,66.19,3.04,-44.76,94.28,3.67,2.20,8.31,-0.10,0.06,0.13,-0.54,-7.17,7.23,-0.08,-0.00,0.09
56,5,16,29,66,-24.01,15.18,65.23,2.80,-45.75,94.01,3.87,2.28,8.39,-0.09,0.05,0.08,-0.50,-7.35,7.17,-0.06,0.02,0.05
56,5,64,33,63,-23.73,15.07,65.52,3.23,-45.36,94.59,3.82,2.26,8.39,-0.08,0.09,0.04,-0.58,-7.27,7.18,-0.02,0.02,0.00
56,5,58,42,49,-23.50,14.12,65.85,3.58,-45.53,95.10,3.79,2.13,8.45,-0.07,0.09,-0.00,-0.64,-7.30,7.16,-0.00,0.02,-0.01
56,5,80,45,58,-23.49,14.10,65.87,3.06,-45.17,94.33,3.75,2.10,8.38,-0.05,0.09,0.08,-0.55,-7.24,7.20,-0.03,-0.04,0.04
56,5,86,49,49,-22.75,16.00,66.44,2.36,-44.44,93.30,3.67,2.41,8.42,-0.05,0.09,0.07,-0.42,-7.20,7.34,-0.03,-0.02,0.03
56,5,92,47,57,-23.07,14.71,66.23,3.01,-45.15,94.27,3.72,2.22,8.44,-0.05,0.07,0.07,-0.54,-7.29,7.25,-0.04,-0.02,0.02
56,5,40,9,57,-22.38,15.75,66.83,2.57,-44.22,93.59,3.61,2.38,8.43,-0.04,0.08,0.04,-0.46,-7.20,7.40,-0.03,-0.02,-0.01
56,5,38,9,63,-22.28,15.70,66.94,2.91,-44.35,94.07,3.65,2.41,8.58,-0.05,0.06,-0.02,-0.53,-7.27,7.44,-0.02,0.02,-0.06
56,5,34,6,72,-23.33,14.10,66.02,3.18,-45.01,94.50,3.82,2.15,8.58,-0.04,0.06,-0.00,-0.58,-7.37,7.36,-0.03,-0.00,-0.04
56,5,50,18,90,-22.99,16.22,66.16,1.93,-44.78,92.71,3.78,2.49,8.56,-0.04,0.07,0.05,-0.35,-7.37,7.43,-0.04,-0.02,-0.00
56,5,38,18,81,-22.28,15.32,66.98,3.03,-44.00,94.21,3.62,2.33,8.52,-0.05,0.07,0.00,-0.55,-7.18,7.44,-0.02,0.01,-0.03
56,5,36,15,69,-21.55,14.90,67.77,2.97,-43.42,94.09,3.48,2.26,8.51,-0.04,0.04,-0.00,-0.54,-7.10,7.50,-0.04,-0.00,-0.05
56,5,32,22,73,-22.55,15.24,66.71,2.44,-44.24,93.41,3.62,2.29,8.41,-0.02,0.03,0.02,-0.44,-7.17,7.36,-0.07,-0.02,-0.04
56,5,18,24,67,-22.78,16.68,66.33,2.05,-44.60,92.87,3.68,2.51,8.38,-0.03,0.02,0.03,-0.37,-7.24,7.35,-0.07,-0.02,-0.05
56,5,16,4,54,-23.93,15.25,65.30,2.47,-45.40,93.51,3.91,2.32,8.50,-0.03,0.03,0.01,-0.45,-7.41,7.30,-0.06,-0.01,-0.05
56,5,10,-40,45,-22.34,15.39,66.92,2.72,-44.24,93.80,3.62,2.34,8.50,-0.01,0.03,0.01,-0.49,-7.20,7.40,-0.05,-0.03,-0.06
56,5,16,9,55,-23.14,15.75,66.06,2.08,-44.77,92.93,3.76,2.39,8.46,-0.02,0.04,-0.01,-0.38,-7.28,7.34,-0.04,-0.02,-0.06
56,5,34,6,51,-22.60,16.45,66.53,1.77,-44.02,92.47,3.66,2.49,8.43,-0.02,0.06,0.05,-0.32,-7.15,7.40,-0.04,-0.04,-0.02
56,5,48,20,52,-21.98,15.96,67.23,2.33,-43.84,93.23,3.56,2.42,8.47,-0.03,0.05,-0.01,-0.42,-7.13,7.43,-0.03,-0.00,-0.06
56,5,28,13,28,-22.46,15.50,66.78,2.23,-44.08,93.10,3.62,2.34,8.43,-0.04,0.04,0.02,-0.40,-7.15,7.39,-0.05,-0.02,-0.03
56,5,40,69,36,-22.79,15.32,66.47,2.89,-44.71,94.06,3.64,2.29,8.36,-0.04,0.04,0.01,-0.51,-7.17,7.24,-0.05,-0.01,-0.04
56,5,28,40,39,-22.57,14.80,66.73,3.11,-44.41,94.36,3.56,2.19,8.29,-0.00,0.05,0.01,-0.55,-7.05,7.20,-0.04,-0.04,-0.07
56,5,32,24,30,-23.61,13.72,65.77,3.44,-45.15,94.87,3.72,2.02,8.26,0.03,0.05,0.03,-0.60,-7.11,7.07,-0.05,-0.08,-0.07
54,5,24,18,34,-24.65,13.80,64.71,3.13,-46.16,94.52,3.82,1.99,8.09,0.09,0.03,0.10,-0.55,-7.19,6.90,-0.09,-0.16,-0.05
