finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
28,11,21,-45,40,71.36,-77.80,175.92,18.24,-36.42,112.27,-9.17,-3.02,0.65,-0.15,0.00,0.12,-3.34,-6.01,8.15,-0.01,-0.12,0.05
28,11,19,-54,31,70.52,-79.22,176.22,18.14,-37.34,112.40,-9.41,-3.27,0.62,-0.14,-0.04,0.15,-3.35,-6.20,8.13,0.01,-0.16,-0.00
25,11,25,-6,13,60.97,-103.33,-172.71,28.37,-45.58,127.65,-9.36,-5.05,-1.20,-0.25,-0.04,0.17,-5.17,-6.83,6.70,0.19,-0.13,-0.20
24,9,14,-15,9,60.03,-94.76,-177.26,22.08,-44.55,119.64,-8.50,-4.88,-0.41,-0.50,-0.12,0.36,-4.07,-7.04,7.16,0.55,-0.15,-0.89
27,10,16,-24,9,75.34,-40.52,168.76,8.05,-29.41,99.22,-9.61,-1.63,1.91,-1.49,0.12,0.40,-1.53,-5.32,9.43,0.55,0.28,-0.72
30,12,7,-42,-6,77.60,-25.84,168.80,6.51,-25.44,97.21,-8.87,-0.85,1.75,-2.01,0.09,0.29,-1.16,-4.35,9.15,0.13,0.41,-0.19
31,14,16,-75,-13,78.58,-73.00,176.62,12.09,-29.50,103.83,-8.36,-1.61,0.49,-1.47,0.18,0.07,-2.00,-4.59,8.11,-0.13,0.42,0.18
31,14,34,-69,4,73.17,-78.77,176.63,15.33,-33.98,108.29,-8.12,-2.41,0.48,-1.05,0.33,-0.04,-2.62,-5.34,7.92,-0.12,0.50,0.26
31,14,27,-69,-2,72.74,-81.82,177.47,15.92,-34.21,109.03,-9.10,-2.80,0.40,-0.59,0.37,0.00,-2.86,-5.63,8.29,-0.10,0.29,0.22
30,14,36,-60,-6,71.45,-87.36,179.11,16.36,-35.52,109.83,-9.44,-3.17,0.15,-0.32,0.23,0.02,-2.95,-5.84,8.18,-0.15,0.14,0.14
29,13,45,-63,-9,69.45,-88.88,179.58,15.31,-37.11,108.94,-9.11,-3.42,0.07,-0.10,0.23,-0.04,-2.74,-6.04,7.99,-0.16,0.16,-0.02
28,13,34,-45,-9,71.15,-85.30,178.40,16.13,-35.63,109.59,-9.24,-3.14,0.26,0.18,0.21,-0.08,-2.86,-5.77,8.05,-0.14,0.11,-0.14
28,13,32,-51,-18,69.85,-95.31,-178.06,17.74,-37.29,111.91,-9.10,-3.33,-0.31,0.24,0.07,-0.12,-3.16,-5.98,7.85,-0.11,0.13,-0.27
28,13,32,-60,-6,71.53,-87.26,179.08,17.14,-35.88,110.84,-9.29,-3.10,0.15,0.37,0.11,-0.11,-3.14,-5.96,8.24,-0.09,0.09,-0.36
28,12,28,-51,-6,71.29,-91.29,-179.56,17.56,-37.00,111.62,-9.44,-3.20,-0.07,0.40,0.04,-0.13,-3.21,-6.10,8.09,-0.10,0.03,-0.39
29,12,19,-54,6,72.00,-92.30,-179.25,18.03,-35.62,111.82,-9.17,-2.98,-0.12,0.46,0.05,-0.12,-3.28,-5.87,8.19,-0.08,0.02,-0.41
29,12,18,-21,18,73.15,-98.16,-177.54,19.43,-35.48,113.42,-9.13,-2.74,-0.39,0.42,-0.05,-0.08,-3.43,-5.65,7.92,-0.08,-0.05,-0.38
29,12,-25,-24,15,72.71,-95.59,-178.26,18.59,-35.85,112.54,-9.00,-2.79,-0.27,0.34,-0.09,-0.06,-3.28,-5.71,7.90,-0.04,-0.06,-0.38
29,12,-34,18,9,72.61,-89.85,179.95,17.35,-36.00,111.11,-8.92,-2.79,0.01,0.27,-0.12,-0.04,-3.05,-5.74,7.91,-0.04,-0.08,-0.35
29,12,-39,9,13,72.41,-88.19,179.43,15.99,-35.97,109.49,-8.87,-2.81,0.09,0.20,-0.08,-0.06,-2.82,-5.78,7.97,-0.07,-0.03,-0.29
28,12,-28,9,18,71.61,-89.36,179.79,17.00,-36.54,110.83,-9.06,-3.01,0.03,0.16,-0.06,-0.06,-3.06,-5.96,8.05,-0.06,-0.01,-0.27
28,11,-23,-36,9,71.79,-87.56,179.20,17.04,-36.29,110.82,-9.39,-3.09,0.13,0.15,-0.07,-0.07,-3.14,-6.06,8.26,-0.07,-0.05,-0.27
28,11,-30,-27,20,71.73,-89.24,179.75,16.18,-35.90,109.71,-9.32,-3.08,0.04,0.14,-0.14,-0.05,-3.00,-6.06,8.37,-0.07,-0.07,-0.28
29,12,-32,-78,31,72.91,-84.22,178.23,16.51,-35.46,110.00,-9.12,-2.79,0.28,0.14,-0.17,0.03,-3.02,-5.92,8.31,-0.02,-0.11,-0.25
29,12,-28,-87,33,73.15,-84.55,178.35,16.25,-36.04,109.82,-9.00,-2.71,0.26,0.07,-0.18,0.11,-2.89,-5.83,8.01,-0.00,-0.21,-0.16
29,12,-43,-84,27,72.11,-84.01,178.07,15.04,-35.87,108.35,-8.61,-2.76,0.29,-0.02,-0.21,0.14,-2.60,-5.68,7.86,0.02,-0.23,-0.09
29,12,-48,-48,31,72.27,-77.33,175.99,12.71,-34.74,105.34,-8.67,-2.71,0.61,-0.07,-0.15,0.11,-2.20,-5.55,8.01,-0.02,-0.18,-0.03
29,12,-14,-33,31,71.50,-80.22,176.75,13.28,-35.66,106.20,-8.84,-2.92,0.50,-0.10,-0.08,0.03,-2.33,-5.75,8.01,-0.10,-0.10,0.01
28,11,-19,-33,29,70.09,-81.23,176.84,13.59,-37.15,106.88,-8.84,-3.17,0.49,-0.11,-0.05,-0.01,-2.43,-6.06,7.99,-0.12,-0.05,0.01
28,11,-14,-33,31,69.68,-81.97,177.04,14.53,-37.24,108.03,-8.98,-3.29,0.46,-0.11,-0.09,0.01,-2.61,-6.10,8.02,-0.11,-0.08,0.01
28,11,-3,-24,29,68.99,-81.00,176.56,13.29,-36.99,106.48,-8.85,-3.36,0.53,-0.08,-0.11,0.04,-2.38,-6.07,8.05,-0.11,-0.10,-0.03
28,11,-5,-24,22,69.35,-77.56,175.36,12.41,-36.98,105.40,-8.87,-3.27,0.72,-0.03,-0.08,0.00,-2.22,-6.07,8.06,-0.13,-0.05,-0.08
28,11,-23,-42,-6,69.77,-78.52,175.80,13.14,-36.85,106.27,-8.81,-3.18,0.65,0.01,-0.04,-0.04,-2.35,-6.03,8.05,-0.12,0.02,-0.12
28,11,-7,6,-15,70.56,-78.13,175.85,13.56,-36.58,106.72,-9.00,-3.11,0.65,0.06,-0.03,-0.04,-2.43,-6.02,8.11,-0.12,-0.03,-0.13
28,12,-18,-3,-22,70.41,-80.49,176.63,13.76,-36.46,106.93,-8.96,-3.14,0.53,0.05,-0.05,-0.03,-2.47,-6.00,8.12,-0.09,-0.03,-0.16
28,11,-14,-3,-24,70.55,-75.65,175.00,12.69,-36.17,105.58,-8.91,-3.05,0.78,0.07,-0.02,-0.05,-2.30,-6.02,8.24,-0.09,0.01,-0.17
28,11,-16,-12,-20,70.31,-74.89,174.67,12.68,-36.66,105.67,-9.01,-3.11,0.84,0.07,0.00,-0.05,-2.31,-6.14,8.24,-0.09,0.03,-0.14
28,11,-7,-12,-24,69.63,-78.06,175.61,13.05,-36.74,106.13,-8.94,-3.25,0.69,0.05,0.02,-0.05,-2.38,-6.13,8.21,-0.07,0.07,-0.15
28,11,-18,-63,-15,69.56,-75.40,174.63,12.72,-36.88,105.76,-8.87,-3.20,0.83,0.04,0.03,-0.03,-2.31,-6.13,8.17,-0.07,0.07,-0.12
28,11,-12,-51,-13,70.15,-73.38,174.11,12.30,-36.43,105.17,-9.12,-3.15,0.94,0.05,0.02,-0.04,-2.24,-6.09,8.25,-0.08,0.02,-0.09
28,11,-16,-51,-18,68.58,-75.76,174.49,11.37,-37.88,104.30,-8.81,-3.35,0.85,0.07,-0.00,-0.08,-2.04,-6.21,7.98,-0.11,0.05,-0.09
28,11,-25,-51,-20,67.65,-75.36,174.06,11.85,-38.12,104.94,-8.52,-3.39,0.89,0.10,0.03,-0.07,-2.11,-6.22,7.92,-0.09,0.14,-0.11
28,11,-34,-51,2,69.43,-78.83,175.84,13.98,-36.67,107.24,-9.02,-3.32,0.66,0.08,0.03,-0.04,-2.53,-6.08,8.16,-0.10,0.10,-0.09
28,11,-36,-48,6,69.68,-75.06,174.55,13.05,-36.76,106.14,-9.05,-3.24,0.86,0.08,0.02,-0.02,-2.39,-6.17,8.26,-0.10,0.11,-0.13
28,11,-32,-39,11,70.42,-76.36,175.20,14.71,-36.82,108.15,-9.19,-3.18,0.77,0.06,0.01,0.01,-2.70,-6.17,8.24,-0.05,0.06,-0.17
28,11,-43,-42,9,69.94,-75.78,174.88,13.97,-37.39,107.39,-9.05,-3.20,0.81,0.06,-0.05,0.05,-2.56,-6.24,8.16,0.01,-0.01,-0.18
28,11,-28,-51,36,69.96,-75.45,174.76,14.24,-36.66,107.56,-8.86,-3.13,0.81,0.01,-0.07,0.10,-2.57,-6.04,8.12,0.04,-0.05,-0.15
29,12,-39,-42,31,70.70,-73.30,174.25,11.92,-35.80,104.59,-8.85,-2.97,0.89,-0.04,-0.06,0.09,-2.12,-5.87,8.13,0.01,-0.05,-0.11
29,12,-32,-33,13,70.31,-71.13,173.40,12.30,-36.33,105.15,-8.67,-2.94,1.00,-0.08,0.01,0.05,-2.16,-5.88,7.99,-0.03,0.02,-0.06
28,12,-30,-18,2,69.83,-72.07,173.55,12.14,-36.22,104.93,-8.83,-3.09,1.00,-0.12,0.02,0.03,-2.17,-5.95,8.12,-0.06,-0.02,-0.03
28,12,-16,-15,6,69.66,-70.05,172.79,10.75,-35.54,103.14,-8.90,-3.10,1.13,-0.14,0.03,0.01,-1.94,-5.95,8.33,-0.10,0.01,-0.01
28,11,-12,-24,-6,70.11,-71.93,173.60,12.43,-36.62,105.35,-8.87,-3.05,1.00,-0.12,0.04,-0.01,-2.22,-6.01,8.09,-0.14,0.02,0.03
28,11,-5,-21,29,69.06,-74.79,174.27,13.18,-37.41,106.43,-8.90,-3.28,0.89,-0.17,0.03,0.00,-2.38,-6.17,8.07,-0.13,-0.01,0.03
28,11,10,-24,47,68.99,-73.52,173.78,12.10,-36.58,104.94,-8.94,-3.29,0.97,-0.19,0.01,0.03,-2.21,-6.13,8.26,-0.12,-0.02,0.02
28,11,3,-45,49,69.44,-72.73,173.64,11.98,-36.62,104.81,-8.96,-3.21,1.00,-0.18,0.03,0.01,-2.17,-6.10,8.20,-0.15,0.00,0.05
28,11,-12,-63,56,68.73,-74.84,174.19,12.10,-37.51,105.13,-8.68,-3.26,0.88,-0.19,0.05,0.01,-2.16,-6.14,8.00,-0.14,0.03,0.05
28,11,-25,-21,45,69.29,-73.20,173.77,12.59,-36.71,105.57,-8.83,-3.20,0.96,-0.16,0.08,0.00,-2.26,-6.04,8.10,-0.13,0.03,0.07
28,11,-10,-36,13,68.51,-77.19,175.01,12.77,-37.66,105.98,-8.86,-3.40,0.77,-0.16,0.07,0.01,-2.31,-6.23,8.08,-0.12,0.03,0.04
28,11,-19,-66,15,68.23,-73.58,173.56,11.81,-37.32,104.74,-8.74,-3.35,0.99,-0.12,0.10,0.02,-2.15,-6.22,8.16,-0.09,0.05,0.02
28,11,-18,-72,6,69.48,-72.52,173.59,12.40,-36.81,105.35,-8.84,-3.16,0.99,-0.08,0.12,0.03,-2.24,-6.10,8.15,-0.09,0.06,0.05
28,11,-16,-45,-9,68.98,-77.10,175.10,13.46,-37.62,106.82,-8.88,-3.33,0.76,-0.07,0.12,0.04,-2.44,-6.23,8.09,-0.05,0.05,0.05
28,11,-3,-51,18,68.52,-74.95,174.17,13.53,-37.67,106.91,-9.05,-3.44,0.92,-0.00,0.07,0.09,-2.49,-6.31,8.18,0.02,-0.05,-0.00
28,11,14,-39,15,67.34,-71.05,172.28,10.67,-37.12,103.29,-8.81,-3.48,1.19,0.10,0.08,0.09,-1.95,-6.25,8.26,0.04,-0.07,-0.05
28,11,7,-6,-2,70.03,-73.60,174.14,8.87,-39.06,101.37,-8.99,-3.13,0.92,0.23,0.18,0.07,-1.53,-6.17,7.60,0.19,0.00,-0.04
28,11,5,-3,20,68.87,-84.72,177.96,12.07,-39.42,105.47,-8.62,-3.32,0.31,0.15,0.10,0.08,-2.13,-6.32,7.69,0.59,0.55,-0.19
29,11,12,-9,27,71.90,-64.19,171.90,2.65,-40.59,93.48,-9.47,-2.79,1.35,0.27,0.16,0.24,-0.47,-6.68,7.79,0.88,1.59,-0.08
29,11,12,-42,6,73.30,-62.45,172.10,15.04,-41.90,109.85,-10.41,-2.77,1.44,0.38,0.01,0.27,-2.45,-6.09,6.78,1.89,1.15,0.73
28,13,-1,-60,9,69.04,-92.77,-178.94,24.73,-26.17,117.17,-9.45,-3.62,-0.17,0.29,-0.28,0.07,-4.62,-4.42,9.00,2.21,0.25,0.91
28,16,12,-51,15,69.44,-65.71,171.23,23.43,-15.84,114.25,-9.13,-3.12,1.41,0.09,0.01,-0.17,-4.90,-3.08,10.87,1.52,0.07,0.54
28,17,7,-63,0,65.83,-81.62,176.26,18.69,-24.54,110.40,-8.60,-3.82,0.56,-0.27,0.32,-0.29,-3.53,-4.33,9.49,0.74,0.09,0.23
28,18,5,-69,6,65.81,-84.08,177.35,20.35,-23.91,112.08,-8.43,-3.76,0.39,-0.20,0.10,-0.18,-3.73,-4.08,9.21,0.83,0.16,0.05
28,20,5,-63,18,64.20,-83.64,176.94,16.85,-17.40,107.61,-7.96,-3.83,0.43,-0.18,0.08,-0.13,-3.10,-3.06,9.78,0.95,0.06,0.15
28,21,-3,-51,29,66.69,-77.14,174.52,21.66,-20.49,112.97,-7.96,-3.34,0.76,0.03,0.15,-0.08,-3.84,-3.39,9.06,0.57,0.21,0.09
28,22,-19,-72,38,69.11,-83.65,177.58,22.79,-20.56,114.16,-8.44,-3.20,0.36,0.03,0.07,-0.01,-3.94,-3.29,8.78,0.51,0.06,-0.10
