finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
5,26,12,63,30,-18.12,-54.33,60.70,-55.61,-33.15,29.82,2.98,-7.40,5.31,0.48,-0.54,0.37,8.47,-3.17,4.85,0.53,-0.62,0.23
6,27,18,74,30,-19.19,-45.76,63.49,-57.07,-24.45,30.53,3.17,-6.53,6.36,0.51,-0.24,0.22,8.23,-2.21,4.86,0.24,-0.53,-0.09
7,28,20,90,63,-19.26,-45.85,63.36,-61.61,-36.44,23.50,3.03,-6.22,6.03,0.63,0.09,0.11,8.46,-2.72,3.68,0.04,-0.52,-0.39
8,29,18,96,78,-17.64,-34.82,68.83,-65.06,-40.84,19.38,3.03,-5.44,7.82,0.60,0.02,0.17,9.48,-2.88,3.34,0.13,-0.59,-0.34
10,31,-8,83,79,-13.10,-29.84,74.98,-68.02,-27.52,19.70,2.33,-4.99,8.69,0.40,-0.01,0.15,9.91,-1.85,3.55,0.16,-0.48,-0.25
12,32,-12,65,73,-15.12,-29.76,72.71,-69.60,-27.61,18.24,2.67,-4.91,8.59,0.20,0.14,0.02,9.90,-1.71,3.26,0.02,-0.33,-0.30
12,32,-10,58,64,-16.47,-34.81,70.20,-70.43,-36.82,15.89,2.75,-5.31,7.64,0.20,0.16,0.09,9.81,-2.09,2.79,0.05,-0.25,-0.27
14,33,-8,42,30,-14.73,-30.25,73.08,-70.40,-31.61,16.87,2.56,-4.91,8.41,0.23,0.08,0.14,9.88,-1.84,3.00,0.06,-0.24,-0.22
14,34,10,31,-7,-13.56,-31.20,74.25,-70.83,-31.49,16.51,2.38,-5.12,8.45,-0.00,0.11,0.07,10.19,-1.85,3.02,0.07,-0.20,-0.18
14,35,34,45,-1,-14.52,-32.59,72.92,-70.72,-27.82,17.19,2.50,-5.21,8.15,0.04,0.09,0.11,9.77,-1.59,3.02,0.04,-0.10,-0.16
14,35,50,49,9,-13.51,-33.13,74.00,-69.48,-25.29,18.69,2.33,-5.30,8.11,0.06,0.10,0.09,9.90,-1.58,3.35,-0.01,-0.09,-0.13
14,35,56,49,6,-13.03,-32.43,74.67,-69.23,-28.44,18.44,2.26,-5.23,8.24,-0.00,0.11,0.10,9.76,-1.76,3.25,-0.05,-0.04,-0.09
14,35,42,54,30,-13.63,-34.46,73.61,-69.21,-28.53,18.44,2.33,-5.44,7.93,-0.05,0.07,0.07,9.72,-1.76,3.24,-0.02,0.01,-0.11
14,35,18,33,45,-14.14,-33.66,73.16,-68.28,-26.38,19.64,2.47,-5.43,8.15,-0.11,0.08,0.06,9.79,-1.73,3.50,-0.05,0.03,-0.08
14,35,12,29,37,-13.86,-36.22,72.99,-68.52,-24.49,19.70,2.35,-5.63,7.69,-0.11,0.13,0.08,9.60,-1.57,3.44,-0.12,0.11,-0.09
14,34,20,31,30,-13.67,-38.95,72.63,-68.34,-35.41,17.93,2.22,-5.75,7.11,-0.06,0.10,0.03,9.39,-2.16,3.04,-0.08,0.06,-0.07
14,35,14,18,30,-15.35,-35.84,71.30,-67.83,-25.05,20.26,2.59,-5.53,7.65,-0.01,-0.01,0.08,9.42,-1.63,3.48,-0.02,-0.01,-0.02
14,35,24,9,15,-13.99,-32.98,73.46,-67.95,-28.33,19.63,2.41,-5.26,8.11,-0.09,0.15,0.03,9.44,-1.81,3.37,-0.12,0.05,-0.15
