finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
finger 1	finger 2	finger 3	finger 4	finger 5	pitch1	roll1	yaw1	pitch2	roll2	yaw2	a1x	a1y	a1z	g1x	g1y	g1z	a2x	a2y	a2z	g2x	g2y	g2z
68	52	96	0	30	1.77	31.32	92.08	-75.73	74.46	3.9	-0.27	4.46	7.33	-0.08	0.08	-0.22	9.2	2.26	0.63	-0.29	0.22	0.11
67	52	94	6	36	2.29	30.51	92.66	-76.96	67.94	4.97	-0.35	4.47	7.58	-0.06	0.02	-0.05	9.41	2.02	0.82	-0.14	0.04	0.02
67	52	68	15	30	5.47	31.53	96.42	-74.73	63.48	6.95	-0.85	4.66	7.6	-0.06	0.04	0.1	9.62	2.35	1.17	-0.02	-0.02	0.02
68	52	60	11	64	7.25	32.44	98.57	-72.78	62.54	8.13	-1.2	5.05	7.94	-0.05	-0.04	0.15	9.77	2.69	1.4	-0.01	-0.07	0.08
69	52	56	60	70	8.56	33.37	100.21	-72.29	63.99	7.97	-1.43	5.24	7.96	-0.06	-0.04	0.11	9.95	2.86	1.39	-0.07	-0.04	0.08
68	52	48	81	48	7.19	33.42	98.59	-71.63	66.63	7.5	-1.14	5	7.57	-0.04	0	0.04	9.73	2.96	1.28	-0.08	-0.02	-0.02
69	52	46	65	42	6.9	33.53	98.26	-74.08	67.12	6.33	-1.14	5.2	7.85	0.03	-0.03	0.02	9.93	2.61	1.1	-0.09	-0.06	-0.03
69	52	62	69	34	3.93	32.38	94.65	-75.11	65.8	6.22	-0.67	5.21	8.21	-0.02	-0.02	0.05	10.06	2.44	1.1	-0.06	-0.05	-0.01
69	52	94	58	31	4.69	32.55	95.56	-74.78	65.44	6.45	-0.79	5.16	8.09	-0.06	0.01	0.07	10	2.47	1.13	-0.04	-0.03	0.02
69	52	82	42	33	4.35	31.92	95.12	-75.51	63.99	6.47	-0.72	5.03	8.07	-0.09	0.03	0.05	9.84	2.29	1.12	-0.05	0.01	0.02
68	52	82	29	51	4.35	32.13	95.14	-75.19	64.73	6.44	-0.71	4.93	7.86	-0.07	0.03	0.09	9.82	2.35	1.11	-0.03	0	0.03
69	52	80	56	57	4.65	32.75	95.52	-75.11	66.66	6.01	-0.76	5.05	7.85	-0.09	0.05	0.09	9.96	2.43	1.05	-0.02	0.02	0.01
69	52	86	49	52	3.63	32.1	94.28	-76.02	66.25	5.73	-0.61	5.09	8.12	-0.15	0.07	0.06	9.88	2.25	0.99	-0.02	0.05	0.03
68	52	58	83	55	3.69	32.52	94.38	-75.37	66.31	5.99	-0.59	4.91	7.69	-0.13	0.07	0.11	9.75	2.33	1.02	0.01	0.04	0.04
67	52	58	76	52	5.64	32.08	96.65	-73.77	62.48	7.66	-0.91	4.9	7.82	-0.16	0.07	0.08	9.7	2.5	1.3	-0.03	0.08	0.04
67	52	76	85	61	3.77	30.61	94.37	-74.83	66.59	6.15	-0.57	4.41	7.45	-0.12	0.1	0	9.18	2.28	0.99	-0.07	0.09	-0.06
67	51	66	65	78	-0.05	29.75	89.94	-78.44	70.15	3.97	0.01	4.06	7.1	0.04	0.14	0.02	9.13	1.76	0.63	0	0	-0.18
67	50	62	72	100	-4.87	31.17	84.31	-81.62	92.83	-0.42	0.75	4.55	7.52	0.11	0.14	0.2	9.53	1.4	-0.07	0.13	-0.08	-0.18
69	50	46	58	84	-6.1	36.05	82.47	-80.54	124.14	-5.34	1.11	6.09	8.37	0.12	0	0.47	11.11	1.53	-1.04	0.29	-0.16	0.03
72	49	46	92	55	-13.45	35.93	73.55	-81.45	152.83	-7.62	3	7.36	10.15	-0.08	0.02	0.62	12.87	0.88	-1.72	0.42	0.1	0.36
72	48	24	69	45	-19.59	31.9	67.25	-76.3	-168.34	-13.43	3.85	5.71	9.18	-0.41	0.26	0.87	10.84	-0.53	-2.59	0.86	0.26	0.61
68	45	38	83	37	-36.42	22.01	51.49	-62.71	-139.66	-21.47	5.68	2.89	7.14	-0.4	0.02	2.04	8.72	-2.91	-3.43	1.96	-0.41	1.09
67	45	32	85	25	-20.58	29.12	66.74	-81.69	144.97	-6.82	3.23	4.19	7.52	-0.36	-0.16	3.51	9.51	0.8	-1.14	2.99	-1.09	1.37
68	49	32	99	37	5.32	39.36	96.86	-64.23	75.45	6.92	-0.83	5.68	6.92	-0.22	0.29	3.43	9.51	4.45	1.15	2.86	-0.91	0.76
69	52	52	78	72	17.48	42.14	113.01	-62.7	73.44	8.37	-2.66	5.67	6.27	0.02	0.43	2.78	8.97	4.44	1.32	2.33	-0.76	0.26
69	55	58	54	69	19.62	43.46	116.16	-62.1	70.72	9.92	-3.11	6	6.33	0.37	0.19	2.4	9.37	4.68	1.64	1.98	-0.83	0.09
72	58	50	47	46	22.55	43.31	119.71	-57.04	65.98	14.79	-4.26	7.04	7.47	0.36	0.11	1.89	9.71	5.75	2.56	1.49	-0.75	-0.03
