finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
-3,29,12,90,4,4.61,-77.68,110.68,-25.65,-16.16,63.43,-0.8,-9.67,2.11,-0.03,0.03,0.03,4.63,-2.68,9.26,-0.09,-0.01,-0.03
-3,29,0,74,13,4.63,-77.22,110.13,-25.88,-16.23,63.19,-0.8,-9.65,2.19,-0.02,0.03,0.03,4.69,-2.7,9.29,-0.08,-0.04,-0.02
-3,29,8,76,18,4.21,-76.62,107.66,-25.67,-15.52,63.49,-0.73,-9.64,2.29,-0.04,0.02,0.03,4.66,-2.6,9.34,-0.08,-0.02,-0.02
-3,29,8,72,16,4.42,-78.38,111.0,-25.32,-15.57,63.84,-0.77,-9.77,2.01,0.0,0.02,0.04,4.58,-2.6,9.33,-0.09,-0.02,-0.06
-3,29,-2,36,22,5.45,-75.96,111.48,-26.85,-16.6,62.15,-0.94,-9.58,2.4,-0.02,0.01,0.05,4.9,-2.76,9.27,-0.06,-0.05,0.0
-3,29,6,18,12,5.55,-76.0,111.89,-26.32,-14.24,62.96,-0.96,-9.63,2.4,-0.05,0.04,0.03,4.75,-2.36,9.3,-0.1,0.0,-0.05
-3,29,14,6,16,5.65,-76.52,113.0,-26.74,-15.85,62.35,-0.98,-9.6,2.3,-0.08,-0.04,0.06,4.85,-2.63,9.25,-0.04,-0.01,0.03
-3,29,2,-6,21,4.95,-76.78,110.75,-26.14,-14.83,63.09,-0.86,-9.63,2.26,-0.04,0.05,0.01,4.66,-2.43,9.19,-0.11,0.02,-0.06
-3,29,12,-29,30,5.09,-78.04,113.24,-25.99,-16.45,63.06,-0.87,-9.61,2.04,-0.06,-0.05,0.03,4.68,-2.72,9.21,-0.04,0.0,0.05
-3,29,14,2,1,3.41,-76.88,104.69,-25.36,-14.39,63.92,-0.59,-9.67,2.26,-0.03,0.02,0.03,4.58,-2.4,9.35,-0.09,0.02,-0.04
-3,29,6,27,9,4.61,-77.12,109.89,-25.83,-17.87,63.04,-0.79,-9.58,2.19,-0.05,0.03,0.02,4.63,-2.94,9.11,-0.05,-0.02,0.01
-3,29,14,47,6,4.64,-77.2,110.13,-25.78,-14.33,63.51,-0.8,-9.63,2.19,-0.07,-0.01,0.04,4.65,-2.38,9.32,-0.05,0.01,0.0
-3,29,20,69,4,5.33,-78.58,115.23,-25.85,-15.85,63.27,-0.92,-9.66,1.95,-0.08,0.03,0.06,4.69,-2.64,9.3,-0.04,-0.01,-0.01
-3,29,8,103,0,5.19,-77.88,113.4,-25.57,-14.04,63.75,-0.9,-9.68,2.08,-0.05,-0.01,0.03,4.64,-2.35,9.4,-0.07,0.02,-0.01
-3,29,20,99,43,5.35,-78.32,114.84,-25.09,-15.18,64.12,-0.93,-9.68,2.0,-0.03,0.05,0.03,4.55,-2.54,9.37,-0.08,0.0,-0.06
-3,29,42,96,51,5.69,-77.41,114.56,-25.99,-15.31,63.19,-0.98,-9.57,2.14,-0.07,0.01,0.01,4.75,-2.57,9.39,-0.08,0.01,-0.01
