finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
-5,29,-588,-1092,-774,-3.98,-79.26,69.52,-48.99,-24.95,38.25,0.69,-9.73,1.85,-0.04,-0.01,0.04,8,-2.93,6.3,-0.06,-0.03,0.01
-5,29,-590,-1083,-771,-3.34,-80.19,71.08,-48.75,-23.42,38.82,0.58,-9.82,1.7,-0.04,-0.01,0.04,7.95,-2.77,6.4,-0.07,-0.01,0
-5,29,-585,-1089,-771,-3.62,-80.48,69.08,-48.34,-24.47,39,0.63,-9.82,1.65,-0.03,-0.01,0.04,7.91,-2.91,6.4,-0.08,0,-0.01
-5,28,-583,-1092,-771,-3.84,-80.09,68.68,-48.21,-25.99,38.78,0.67,-9.8,1.71,-0.05,-0.01,0.04,7.76,-3.04,6.24,-0.04,-0.02,0
-5,28,-574,-1095,-771,-4.02,-78.92,69.9,-49.62,-26.34,37.31,0.7,-9.76,1.91,-0.05,-0.01,0.02,8.05,-3.04,6.14,-0.04,-0.06,0.02
-5,29,-570,-1089,-767,-3.47,-77.34,74.53,-50.55,-24.34,36.86,0.61,-9.74,2.19,-0.06,-0.03,0.05,8.28,-2.81,6.21,-0.01,-0.03,0.01
-5,29,-567,-1095,-769,-1.74,-76.57,82.56,-50.54,-24.09,36.92,0.3,-9.68,2.31,-0.1,-0.05,0.04,8.32,-2.8,6.25,-0.03,0.04,0.05
-5,29,-568,-1095,-774,-3.91,-80.24,68.02,-48.76,-22.21,39.07,0.68,-9.83,1.69,-0.14,0.01,0,7.91,-2.62,6.42,-0.07,0.08,0.03
-5,29,-568,-1092,-774,-2.71,-83.84,66.18,-46.79,-24.17,40.6,0.47,-9.86,1.06,-0.1,0.03,0,7.54,-2.9,6.47,-0.07,0.05,0.01
-5,29,-577,-1095,-778,-4.37,-81.61,62.38,-47.35,-24.08,40.07,0.75,-9.77,1.44,-0.05,-0.02,0,7.76,-2.92,6.52,-0.08,-0.01,0.03
-5,29,-583,-1092,-771,-4.63,-79.96,65.09,-47.58,-24.39,39.77,0.8,-9.7,1.72,-0.08,0,0.03,7.74,-2.92,6.44,-0.08,0.03,0.01
-5,29,-590,-1083,-765,-4.31,-82.59,59.68,-47.82,-24.74,39.45,0.75,-9.89,1.29,-0.05,0.01,0.03,7.72,-2.93,6.35,-0.07,-0.02,-0.01
-5,29,-590,-1083,-762,-3.24,-79.58,72.62,-49.2,-23.5,38.37,0.57,-9.86,1.81,-0.01,-0.01,0.03,8.1,-2.79,6.41,-0.07,-0.04,-0.01
-5,29,-590,-1080,-758,-2.89,-75.71,78.46,-50.36,-25.14,36.87,0.51,-9.75,2.49,-0.08,-0.02,0.03,8.42,-2.96,6.31,-0.05,0.02,0.01
-5,29,-594,-1077,-756,-2.74,-78.71,76.27,-49.8,-23.08,37.87,0.48,-9.92,1.98,-0.15,0,0.02,8.2,-2.72,6.38,-0.05,0.09,0.03
-5,29,-595,-1083,-758,-2.17,-80.65,76.9,-48.11,-22.04,39.74,0.38,-9.87,1.63,-0.16,0.02,0.01,7.94,-2.67,6.6,-0.07,0.11,0.01
-5,28,-594,-1092,-762,-3.98,-82.6,61.63,-47.16,-25.93,39.83,0.69,-9.9,1.29,-0.14,0,-0.01,7.66,-3.11,6.39,-0.07,0.07,0.05
-5,29,-595,-1083,-765,-5.53,-80.59,59.36,-47.8,-24.14,39.61,0.96,-9.78,1.62,-0.12,-0.02,0.01,7.77,-2.88,6.43,-0.05,0.04,0.03
-5,28,-588,-1083,-762,-3.17,-81.02,70.48,-47.29,-25.34,39.84,0.55,-9.75,1.54,-0.1,0.03,0.04,7.65,-3.02,6.39,-0.04,0.05,0.01
-5,29,-583,-1083,-760,-3.39,-81.38,68.42,-47.26,-23.38,40.3,0.58,-9.74,1.48,-0.12,-0.05,0,7.68,-2.82,6.51,-0.03,0.04,0.06
-5,29,-577,-1086,-765,-4.24,-82.95,58.85,-46.79,-23.59,40.73,0.74,-9.84,1.22,-0.09,-0.02,0.01,7.61,-2.86,6.55,-0.04,0.02,0.02
-5,29,-577,-1083,-769,-2.28,-81.93,74.16,-46.24,-20.9,41.81,0.39,-9.75,1.38,-0.1,-0.02,0.01,7.67,-2.62,6.86,-0.05,0.03,0.04
-6,29,-576,-1080,-774,-2.55,-85.53,60.24,-45.23,-22.45,42.51,0.46,-10.23,0.8,-0.09,0.03,-0.03,7.65,-2.9,7.01,-0.12,0.01,0.03
-7,28,-577,-1080,-774,-3.23,-79.15,73.29,-48.62,-24.78,38.66,0.58,-10.03,1.92,-0.09,-0.06,-0.07,8.28,-3.06,6.62,-0.11,0.02,0.1
-6,29,-572,-1083,-771,-5.89,-78.45,62.75,-47.68,-22.6,40.05,0.99,-9.42,1.92,-0.21,0.04,-0.05,7.66,-2.68,6.44,-0.09,0.18,0.05
