finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
39,33.0,18.0,-11.0,3.0,-18.72,-9.34,71.04,-57.16,-154.48,-30.22,3.03,-1.45,8.82,-0.08,-0.02,0.08,7.93,-2.21,-4.62,-0.04,-0.07,-0.01
39,33.0,18.0,-27.0,19.0,-19.53,-8.98,70.25,-58.74,-155.27,-28.88,3.17,-1.39,8.82,-0.03,-0.01,-0.02,8.18,-2.08,-4.51,-0.14,-0.03,-0.03
39,33.0,36.0,-29.0,19.0,-22.45,-8.6,67.32,-56.06,-157.69,-31.91,3.64,-1.32,8.72,0.02,0.03,-0.07,8.03,-2.05,-5.0,-0.16,-0.0,-0.05
39,34.0,14.0,-36.0,12.0,-22.3,-6.62,67.56,-55.68,-159.72,-32.63,3.66,-1.03,8.85,0.03,0.01,0.01,8.01,-1.9,-5.13,-0.12,0.0,-0.08
40,35.0,-4.0,-42.0,25.0,-21.46,-4.48,68.48,-57.37,-161.73,-31.3,3.55,-0.71,9.0,0.02,0.01,0.01,8.2,-1.64,-4.98,-0.11,-0.01,-0.08
41,35.0,-10.0,-33.0,46.0,-21.89,-4.32,68.05,-57.89,-161.67,-30.78,3.64,-0.68,9.04,-0.01,0.02,-0.01,8.36,-1.65,-4.98,-0.13,0.0,-0.05
41,35.0,-4.0,-24.0,45.0,-21.82,-5.09,68.1,-55.23,-160.45,-33.2,3.6,-0.8,8.94,-0.02,0.02,0.01,8.04,-1.87,-5.26,-0.1,-0.01,-0.04
41,35.0,-10.0,-15.0,36.0,-21.61,-5.75,68.29,-58.11,-160.23,-30.35,3.54,-0.9,8.89,-0.02,-0.01,0.06,8.22,-1.73,-4.81,-0.06,-0.04,-0.06
41,35.0,-12.0,-2.0,42.0,-20.2,-5.05,69.73,-59.12,-160.77,-29.45,3.29,-0.79,8.92,0.01,0.03,-0.01,8.4,-1.65,-4.74,-0.13,0.02,-0.04
41,35.0,-6.0,6.0,33.0,-21.03,-4.79,68.91,-56.86,-159.76,-31.49,3.52,-0.76,9.12,-0.01,0.04,-0.03,8.25,-1.86,-5.05,-0.13,0.02,-0.02
41,35.0,-10.0,13.0,12.0,-21.04,-5.03,68.89,-58.65,-161.81,-30.06,3.45,-0.79,8.93,-0.02,0.03,0.0,8.09,-1.54,-4.69,-0.09,0.0,-0.03
41,35.0,-12.0,11.0,7.0,-20.51,-4.33,69.43,-59.14,-160.97,-29.46,3.38,-0.68,9.01,0.0,0.03,-0.05,8.4,-1.64,-4.75,-0.15,0.02,-0.03
41,35.0,-12.0,0.0,15.0,-21.32,-4.83,68.61,-57.43,-160.98,-31.13,3.49,-0.75,8.9,-0.02,0.05,-0.09,8.25,-1.72,-4.98,-0.18,0.03,0.0
41,35.0,10.0,13.0,15.0,-22.29,-4.61,67.64,-55.03,-161.51,-33.56,3.7,-0.73,8.99,-0.03,0.04,-0.03,7.97,-1.77,-5.28,-0.11,-0.0,-0.02
41,35.0,18.0,13.0,18.0,-21.79,-3.8,68.16,-59.18,-162.75,-29.68,3.59,-0.6,8.97,-0.02,-0.0,0.03,8.48,-1.5,-4.83,-0.07,-0.02,-0.04
41,35.0,18.0,15.0,19.0,-19.78,-2.58,70.2,-58.3,-163.18,-30.59,3.28,-0.41,9.1,-0.04,0.04,-0.03,8.33,-1.49,-4.92,-0.15,0.04,0.02
41,35.0,8.0,20.0,18.0,-20.45,-2.99,69.52,-59.91,-162.36,-28.9,3.4,-0.48,9.11,-0.07,0.06,-0.15,8.62,-1.51,-4.76,-0.21,0.05,0.06
41,35.0,-6.0,31.0,15.0,-20.78,-4.67,69.16,-56.53,-158.87,-31.67,3.46,-0.74,9.08,-0.11,0.1,-0.19,8.07,-1.92,-4.98,-0.22,0.07,0.11
40,35.0,-18.0,-4.0,15.0,-20.76,-7.4,69.08,-56.31,-157.91,-31.71,3.35,-1.14,8.76,-0.11,0.04,-0.08,7.91,-1.98,-4.88,-0.13,-0.02,0.04
41,35.0,-26.0,-6.0,6.0,-19.84,-6.41,70.05,-58.82,-159.54,-29.55,3.19,-0.99,8.78,-0.05,0.07,-0.06,8.23,-1.74,-4.67,-0.13,-0.03,-0.03
41,35.0,-26.0,-29.0,4.0,-17.5,-3.46,72.47,-62.74,-160.39,-25.89,2.89,-0.55,9.14,-0.01,0.1,-0.2,8.82,-1.53,-4.28,-0.23,0.09,0.01
41,35.0,-22.0,-24.0,1.0,-18.09,-4.26,71.87,-57.96,-157.71,-30.07,3.0,-0.68,9.16,-0.03,0.2,-0.36,8.27,-1.96,-4.79,-0.37,0.12,0.12
41,34.0,-8.0,-31.0,16.0,-20.7,-5.88,69.2,-54.79,-158.24,-33.24,3.42,-0.93,9.0,-0.11,0.0,-0.21,7.85,-2.05,-5.15,-0.25,-0.04,0.06
41,35.0,-24.0,-24.0,22.0,-20.99,-5.8,68.91,-59.3,-159.6,-29.09,3.41,-0.9,8.83,-0.08,-0.07,-0.1,8.46,-1.75,-4.71,-0.18,-0.08,-0.0
