finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
61,0.0,14.0,-30.0,9.0,-23.95,25.17,63.86,-32.96,-83.54,9.84,3.88,3.71,7.9,-0.03,0.0,0.03,5.45,-8.35,0.95,-0.09,-0.02,-0.03
61,0.0,12.0,33.0,4.0,-24.69,24.66,63.16,-32.25,-83.5,10.17,3.99,3.62,7.88,-0.04,0.03,0.04,5.36,-8.45,0.96,-0.07,-0.04,-0.01
61,0.0,14.0,48.0,9.0,-23.57,24.87,64.32,-32.97,-82.68,11.11,3.82,3.68,7.94,-0.04,0.04,0.05,5.45,-8.33,1.07,-0.06,-0.03,-0.02
61,0.0,5.0,45.0,27.0,-23.54,24.59,64.4,-32.91,-82.39,11.57,3.78,3.61,7.88,-0.03,0.04,0.02,5.38,-8.24,1.1,-0.07,-0.01,-0.04
61,0.0,-5.0,30.0,22.0,-24.24,24.24,63.72,-32.51,-83.44,10.16,3.91,3.56,7.92,-0.02,0.03,0.01,5.34,-8.33,0.96,-0.07,-0.0,-0.05
61,0.0,3.0,33.0,47.0,-24.38,25.5,63.34,-33.44,-84.04,8.93,3.96,3.76,7.88,-0.0,0.03,0.02,5.53,-8.33,0.87,-0.07,-0.02,-0.07
61,0.0,3.0,-12.0,49.0,-24.04,26.97,63.41,-34.83,-83.52,9.22,3.9,3.96,7.79,-0.01,0.05,0.02,5.75,-8.21,0.93,-0.05,-0.01,-0.06
62,0.0,0.0,-27.0,63.0,-23.72,27.35,63.68,-35.34,-82.98,9.79,3.83,4.01,7.75,-0.04,0.05,0.02,5.77,-8.08,1.0,-0.05,-0.01,-0.04
63,0.0,14.0,-15.0,36.0,-23.49,27.74,63.84,-35.6,-83.23,9.34,3.78,4.04,7.69,-0.04,0.05,0.01,5.79,-8.03,0.95,-0.06,0.01,-0.03
63,0.0,10.0,-9.0,51.0,-23.55,28.12,63.7,-35.29,-83.12,9.6,3.83,4.14,7.75,-0.08,0.04,0.02,5.84,-8.2,0.99,-0.06,0.02,0.01
62,0.0,18.0,-21.0,51.0,-23.36,27.08,64.13,-34.87,-82.45,10.68,3.76,3.96,7.75,-0.13,0.04,0.05,5.7,-8.11,1.07,-0.05,0.01,0.07
61,0.0,10.0,-3.0,60.0,-22.85,26.18,64.85,-34.33,-81.78,11.82,3.66,3.83,7.79,-0.16,0.02,0.04,5.59,-8.1,1.17,-0.08,0.03,0.09
61,0.0,3.0,0.0,51.0,-23.17,24.23,64.86,-32.64,-82.2,11.96,3.74,3.59,7.98,-0.17,-0.01,0.0,5.37,-8.31,1.14,-0.11,0.07,0.09
61,0.0,-14.0,36.0,58.0,-24.71,21.31,63.71,-29.6,-83.44,11.37,3.99,3.15,8.09,-0.15,-0.01,0.02,4.95,-8.66,1.0,-0.09,0.04,0.07
61,0.0,-21.0,60.0,63.0,-24.67,20.34,63.91,-28.98,-83.22,12.03,4.01,3.04,8.19,-0.09,0.05,0.09,4.84,-8.68,1.03,-0.03,-0.04,0.04
61,0.0,-18.0,45.0,72.0,-23.06,21.61,65.39,-30.93,-81.02,14.6,3.72,3.22,8.12,-0.05,0.05,0.1,5.13,-8.45,1.34,-0.04,-0.06,0.01
61,0.0,3.0,39.0,63.0,-22.06,21.55,66.46,-31.23,-79.77,16.32,3.51,3.18,8.05,-0.03,0.02,0.02,5.07,-8.23,1.48,-0.09,0.0,-0.04
61,0.0,5.0,114.0,67.0,-22.52,21.11,66.04,-30.32,-80.8,15.29,3.63,3.16,8.18,-0.01,-0.03,-0.01,5.02,-8.47,1.37,-0.14,0.02,-0.07
61,0.0,12.0,54.0,45.0,-23.96,20.92,64.56,-29.31,-82.49,13.1,3.89,3.12,8.17,-0.0,-0.02,0.02,4.89,-8.63,1.14,-0.11,-0.03,-0.06
61,0.0,7.0,15.0,20.0,-22.92,21.73,65.52,-31.76,-81.04,14.12,3.64,3.19,7.99,0.06,-0.03,0.04,5.14,-8.2,1.29,-0.12,-0.08,-0.12
61,0.0,-48.0,15.0,13.0,-23.52,23.89,64.54,-32.35,-82.53,11.6,3.82,3.56,8.03,0.09,-0.05,-0.01,5.39,-8.43,1.11,-0.15,-0.05,-0.16
61,0.0,-50.0,15.0,6.0,-25.12,23.7,62.89,-32.33,-83.93,9.48,4.08,3.5,7.97,0.12,-0.02,-0.0,5.35,-8.4,0.89,-0.12,-0.07,-0.19
61,0.0,-43.0,-60.0,0.0,-23.94,26.52,63.6,-34.96,-82.66,10.35,3.86,3.88,7.78,0.17,0.01,-0.02,5.74,-8.15,1.05,-0.09,-0.05,-0.24
62,0.0,-52.0,-21.0,6.0,-24.34,27.7,62.94,-34.94,-84.16,8.28,3.99,4.1,7.81,0.13,0.04,-0.02,5.83,-8.29,0.85,-0.06,-0.05,-0.2
63,0.0,-21.0,21.0,22.0,-23.95,27.81,63.33,-35.2,-83.59,9.0,3.85,4.05,7.68,0.11,0.08,0.02,5.74,-8.09,0.91,-0.02,-0.07,-0.17
63,1.0,14.0,60.0,27.0,-23.19,28.66,63.98,-36.32,-82.74,9.75,3.73,4.18,7.65,0.1,0.08,0.05,5.89,-7.95,1.01,-0.01,-0.08,-0.15
63,0.0,30.0,45.0,31.0,-23.14,28.82,64.0,-36.23,-83.26,9.1,3.72,4.2,7.63,0.09,0.07,0.06,5.91,-8.01,0.95,-0.02,-0.08,-0.13
63,0.0,34.0,51.0,36.0,-23.42,29.33,63.58,-36.41,-82.9,9.52,3.82,4.32,7.69,0.05,0.06,0.05,6.04,-8.13,1.01,-0.03,-0.06,-0.09
63,0.0,50.0,33.0,56.0,-24.19,28.17,63.0,-34.96,-84.21,8.22,3.94,4.14,7.73,0.01,0.08,0.05,5.77,-8.21,0.83,0.01,-0.04,-0.05
62,0.0,46.0,18.0,29.0,-23.67,27.37,63.73,-35.22,-83.04,9.73,3.79,3.97,7.67,-0.0,0.1,0.08,5.72,-8.05,0.98,0.01,-0.06,-0.04
61,0.0,52.0,18.0,11.0,-23.7,26.31,63.91,-34.65,-83.24,9.67,3.79,3.82,7.73,0.01,0.1,0.11,5.65,-8.12,0.96,0.02,-0.07,-0.08
61,0.0,46.0,36.0,9.0,-23.8,26.64,63.74,-33.98,-83.86,9.02,3.85,3.92,7.81,0.02,0.1,0.16,5.63,-8.3,0.89,0.04,-0.1,-0.07
61,1.0,27.0,42.0,4.0,-23.35,27.31,64.09,-35.71,-81.9,11.09,3.75,3.98,7.72,0.02,0.08,0.2,5.79,-7.98,1.13,0.05,-0.11,-0.05
62,1.0,23.0,15.0,-11.0,-23.07,27.82,64.28,-35.74,-82.09,10.82,3.73,4.08,7.74,0.02,0.02,0.12,5.81,-8.0,1.11,-0.0,-0.09,-0.04
61,0.0,16.0,9.0,6.0,-24.66,25.39,63.06,-34.2,-82.91,10.29,3.95,3.69,7.77,0.07,0.05,0.07,5.56,-8.12,1.01,0.02,-0.09,-0.09
61,0.0,25.0,-51.0,36.0,-24.38,25.63,63.32,-34.01,-83.38,9.7,3.94,3.76,7.84,0.11,0.1,0.14,5.59,-8.23,0.96,0.05,-0.14,-0.14
