finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
49,68.0,81.0,168.0,9.0,71.8,39.57,165.78,-20.98,30.79,65.95,-8.82,1.85,2.23,-0.02,0.03,0.04,3.79,5.06,8.5,-0.08,-0.01,-0.05
49,67.0,77.0,156.0,4.0,72.94,38.4,166.47,-20.26,30.33,66.85,-8.69,1.66,2.09,0.0,0.03,-0.07,3.6,4.93,8.42,-0.14,0.05,-0.11
49,67.0,90.0,195.0,4.0,72.79,34.98,165.76,-20.52,28.5,66.93,-8.45,1.5,2.15,0.01,0.05,-0.05,3.56,4.54,8.36,-0.12,0.02,-0.1
49,67.0,72.0,180.0,0.0,70.97,35.99,164.4,-20.85,28.45,66.58,-8.59,1.74,2.4,-0.05,0.08,0.04,3.67,4.58,8.46,-0.03,0.04,-0.02
49,67.0,54.0,114.0,27.0,72.79,35.8,165.89,-19.9,29.09,67.5,-8.78,1.59,2.21,-0.08,0.12,0.06,3.57,4.79,8.61,0.01,0.07,-0.0
49,68.0,43.0,78.0,33.0,75.56,35.83,168.2,-18.18,30.14,69.2,-8.99,1.36,1.88,-0.1,0.15,0.07,3.3,5.05,8.69,0.03,0.05,-0.02
49,69.0,46.0,135.0,18.0,74.44,37.47,167.54,-19.67,29.67,67.64,-9.23,1.56,2.04,-0.03,0.14,0.06,3.72,5.15,9.04,0.02,0.06,-0.08
49,68.0,46.0,123.0,42.0,71.67,36.47,165.08,-20.67,28.61,66.74,-9.09,1.79,2.42,-0.12,0.16,-0.0,3.85,4.88,8.95,-0.02,0.15,-0.03
49,67.0,55.0,117.0,63.0,75.16,32.56,167.41,-18.74,28.87,68.82,-8.98,1.28,2.01,-0.16,0.15,0.05,3.36,4.79,8.68,0.02,0.11,0.02
49,67.0,46.0,153.0,63.0,76.27,30.28,168.09,-19.01,29.25,68.45,-8.86,1.09,1.87,-0.09,0.16,0.14,3.4,4.82,8.6,0.11,0.04,-0.0
49,67.0,57.0,159.0,69.0,71.68,33.3,164.53,-21.34,28.15,66.11,-8.88,1.61,2.46,-0.04,0.18,0.18,3.91,4.72,8.83,0.14,0.04,-0.04
49,67.0,63.0,114.0,87.0,73.76,32.18,166.15,-18.93,28.79,68.63,-8.98,1.39,2.21,-0.11,0.23,0.15,3.44,4.83,8.79,0.12,0.1,-0.04
49,67.0,70.0,75.0,90.0,76.07,27.74,167.62,-18.07,28.45,69.64,-9.04,1.04,1.98,-0.05,0.19,0.15,3.25,4.75,8.77,0.11,0.01,-0.06
49,67.0,82.0,144.0,83.0,73.02,31.82,165.46,-19.11,27.85,68.6,-9.07,1.46,2.35,-0.02,0.18,0.16,3.51,4.73,8.95,0.1,0.0,-0.05
49,68.0,86.0,216.0,103.0,78.16,34.41,170.19,-16.54,30.32,71.02,-9.54,1.13,1.65,-0.04,0.12,0.09,3.11,5.3,9.06,0.01,-0.01,-0.04
49,69.0,88.0,297.0,87.0,77.2,37.8,169.82,-17.25,30.48,70.18,-9.45,1.32,1.7,-0.0,0.07,-0.01,3.22,5.26,8.94,-0.09,0.03,-0.1
49,69.0,84.0,309.0,83.0,75.41,42.86,169.2,-17.26,31.02,70.07,-9.25,1.64,1.76,-0.02,0.06,-0.05,3.13,5.2,8.64,-0.14,0.04,-0.1
49,69.0,90.0,363.0,67.0,77.62,45.7,171.28,-16.99,32.16,70.15,-8.78,1.38,1.35,-0.02,0.01,-0.05,2.99,5.2,8.27,-0.15,0.0,-0.09
49,69.0,70.0,390.0,63.0,75.45,45.97,169.78,-18.88,31.94,68.05,-8.51,1.59,1.53,0.03,0.02,-0.02,3.26,5.04,8.09,-0.1,-0.02,-0.1
49,68.0,73.0,315.0,72.0,74.09,41.58,167.96,-18.89,30.59,68.33,-8.26,1.56,1.76,0.05,0.09,0.04,3.26,4.84,8.19,-0.03,-0.02,-0.12
49,67.0,68.0,258.0,74.0,76.59,39.16,169.52,-17.41,30.78,69.95,-8.65,1.3,1.6,0.06,0.15,0.1,3.06,5.0,8.39,0.04,-0.05,-0.14
49,67.0,54.0,285.0,76.0,76.81,34.69,169.09,-17.35,29.71,70.21,-8.79,1.17,1.7,0.13,0.18,0.08,3.11,4.92,8.63,0.05,-0.04,-0.22
49,67.0,32.0,246.0,87.0,74.47,35.99,167.33,-18.22,29.31,69.32,-8.83,1.44,1.98,0.12,0.2,0.11,3.32,4.93,8.79,0.09,-0.03,-0.22
49,68.0,27.0,132.0,83.0,75.65,44.37,169.63,-17.45,30.96,69.87,-9.65,1.73,1.76,0.07,0.2,0.14,3.28,5.38,8.96,0.11,-0.02,-0.15
49,69.0,30.0,111.0,67.0,79.2,50.17,173.04,-15.47,32.72,71.79,-10.06,1.47,1.23,0.03,0.15,0.06,3.01,5.88,9.15,0.01,0.0,-0.13
49,69.0,34.0,96.0,58.0,79.4,51.08,173.29,-14.75,32.29,72.7,-9.73,1.42,1.14,0.05,0.08,-0.08,2.75,5.58,8.83,-0.14,0.04,-0.16
49,69.0,30.0,54.0,33.0,77.96,48.22,171.91,-16.43,31.58,70.91,-9.2,1.46,1.31,0.05,-0.01,-0.07,2.94,5.22,8.49,-0.18,-0.02,-0.1
49,69.0,34.0,39.0,15.0,76.27,46.7,170.49,-17.87,31.73,69.24,-8.88,1.58,1.49,0.03,-0.04,-0.06,3.17,5.17,8.36,-0.2,-0.03,-0.08
49,69.0,45.0,51.0,31.0,77.18,49.64,171.62,-16.58,32.56,70.55,-8.84,1.53,1.3,-0.01,-0.02,-0.08,2.9,5.25,8.22,-0.21,-0.0,-0.08
49,69.0,43.0,57.0,29.0,77.98,51.61,172.47,-16.81,32.92,70.21,-8.91,1.49,1.18,0.03,-0.07,-0.08,2.97,5.35,8.26,-0.23,-0.03,-0.09
49,69.0,19.0,51.0,20.0,75.38,50.02,170.48,-17.55,32.34,69.48,-8.6,1.72,1.44,0.04,-0.07,-0.07,3.02,5.1,8.06,-0.19,-0.05,-0.05
49,69.0,27.0,48.0,29.0,75.54,50.33,170.65,-17.67,32.54,69.3,-8.62,1.71,1.42,-0.01,-0.03,-0.02,3.12,5.28,8.27,-0.15,-0.04,-0.02
49,69.0,37.0,51.0,24.0,77.33,54.78,172.61,-16.25,33.42,70.75,-9.05,1.66,1.17,-0.03,0.0,-0.03,2.94,5.56,8.43,-0.16,-0.01,-0.04
49,69.0,50.0,54.0,-2.0,76.65,52.41,171.76,-16.57,33.1,70.44,-8.96,1.69,1.3,-0.02,0.03,-0.08,3.0,5.5,8.44,-0.16,0.05,-0.1
49,69.0,55.0,36.0,-15.0,75.27,49.33,170.27,-17.65,31.36,69.56,-9.04,1.8,1.55,-0.06,0.07,-0.11,3.2,5.24,8.6,-0.16,0.13,-0.09
49,69.0,81.0,63.0,11.0,77.67,47.12,171.54,-16.07,31.29,71.37,-9.01,1.44,1.34,-0.13,0.09,-0.07,2.88,5.2,8.55,-0.1,0.13,-0.0
49,69.0,91.0,54.0,13.0,75.96,43.19,169.67,-16.37,30.67,71.15,-9.19,1.57,1.68,-0.15,0.1,0.0,2.99,5.19,8.74,-0.04,0.12,0.06
49,69.0,79.0,72.0,33.0,80.1,44.59,172.92,-15.09,31.97,72.37,-9.54,1.17,1.19,-0.14,0.08,-0.0,2.84,5.57,8.93,-0.06,0.1,0.03
49,69.0,77.0,66.0,67.0,77.35,42.4,170.59,-17.19,30.57,70.23,-9.3,1.41,1.54,-0.09,0.09,-0.03,3.22,5.28,8.95,-0.07,0.13,-0.04
49,69.0,73.0,96.0,101.0,75.8,41.6,169.29,-17.25,30.46,70.19,-9.35,1.57,1.77,-0.15,0.11,-0.02,3.19,5.21,8.87,-0.07,0.15,-0.0
48,69.0,66.0,48.0,65.0,80.44,36.66,172.31,-14.86,31.35,72.74,-9.15,0.92,1.24,-0.12,0.14,-0.01,2.7,5.29,8.68,-0.04,0.13,-0.04
48,69.0,63.0,75.0,74.0,77.68,37.14,170.12,-16.03,30.26,71.61,-9.18,1.21,1.6,-0.03,0.13,0.03,2.95,5.18,8.88,-0.01,0.06,-0.08
48,69.0,73.0,66.0,67.0,77.51,37.07,169.98,-16.22,30.27,71.38,-9.2,1.23,1.63,-0.02,0.14,0.04,3.0,5.19,8.89,-0.01,0.04,-0.09
48,69.0,50.0,75.0,63.0,77.41,40.84,170.41,-16.25,30.53,71.31,-9.3,1.36,1.57,-0.03,0.13,0.1,2.98,5.2,8.82,0.03,0.01,-0.06
48,69.0,48.0,42.0,20.0,79.04,47.32,172.52,-15.82,32.47,71.44,-9.48,1.35,1.24,-0.01,0.1,0.12,2.94,5.57,8.76,0.03,-0.03,-0.06
48,69.0,57.0,72.0,58.0,77.12,47.94,171.29,-16.24,31.84,71.07,-9.25,1.57,1.42,0.02,0.07,0.07,2.98,5.39,8.68,-0.02,-0.03,-0.08
48,69.0,61.0,33.0,65.0,77.71,44.16,171.12,-16.17,30.72,71.36,-8.99,1.36,1.41,0.01,0.06,0.06,2.89,5.08,8.55,-0.03,-0.03,-0.06
48,69.0,72.0,18.0,38.0,77.13,41.64,170.31,-15.84,30.39,71.8,-8.99,1.36,1.53,-0.03,0.04,0.08,2.81,5.0,8.53,-0.01,-0.02,-0.01
47,69.0,75.0,21.0,27.0,80.22,39.85,172.46,-14.28,31.01,73.46,-8.97,0.99,1.19,-0.02,0.05,0.09,2.54,5.15,8.56,-0.0,-0.04,-0.02
47,69.0,82.0,18.0,51.0,79.78,45.41,172.79,-14.85,31.68,72.69,-9.25,1.19,1.17,0.0,0.03,0.07,2.73,5.4,8.75,-0.04,-0.05,-0.05
47,69.0,68.0,0.0,58.0,79.5,46.19,172.69,-14.6,31.85,72.95,-9.2,1.23,1.18,0.01,0.05,0.02,2.66,5.38,8.67,-0.08,-0.01,-0.1
47,69.0,66.0,15.0,54.0,78.0,46.65,171.7,-15.24,31.37,72.3,-9.16,1.41,1.34,-0.01,0.06,0.0,2.75,5.25,8.6,-0.08,0.0,-0.08
47,69.0,46.0,12.0,63.0,79.45,46.31,172.67,-14.47,31.6,73.15,-9.17,1.24,1.18,-0.04,0.04,0.01,2.61,5.31,8.62,-0.08,-0.05,-0.02
47,69.0,43.0,27.0,81.0,79.59,46.44,172.78,-15.26,31.81,72.2,-9.15,1.22,1.16,-0.02,0.03,-0.02,2.8,5.41,8.72,-0.11,-0.02,-0.06
47,69.0,46.0,51.0,81.0,78.64,46.59,172.14,-15.22,31.6,72.28,-9.11,1.33,1.26,-0.01,0.04,-0.01,2.77,5.32,8.66,-0.1,0.02,-0.07
