finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
45.0,78.0,28.0,56.0,45.0,85.92,75.91,179.01,-18.48,41.27,66.03,-9.25,0.64,0.16,-0.06,0.06,0.04,3.28,6.46,7.37,-0.05,0.02,-0.03
45.0,78.0,28.0,69.0,46.0,85.31,74.44,178.74,-18.4,41.74,65.97,-9.57,0.76,0.21,-0.08,0.06,0.04,3.3,6.6,7.4,-0.06,0.04,-0.02
45.0,78.0,10.0,29.0,52.0,86.48,76.73,179.19,-18.07,41.57,66.43,-9.15,0.55,0.13,-0.02,0.01,0.06,3.17,6.45,7.28,-0.05,-0.02,-0.03
45.0,78.0,-2.0,18.0,51.0,83.69,53.0,176.19,-19.83,40.96,64.47,-9.25,0.82,0.62,-0.01,-0.0,0.11,3.61,6.55,7.55,-0.03,-0.05,-0.04
45.0,78.0,-12.0,18.0,57.0,83.89,64.67,177.38,-19.57,41.71,64.54,-9.73,0.94,0.45,-0.07,0.05,0.05,3.51,6.56,7.36,-0.06,0.03,-0.03
45.0,78.0,-10.0,36.0,51.0,86.15,77.28,179.15,-18.98,41.36,65.38,-9.38,0.62,0.14,0.01,-0.01,0.05,3.35,6.44,7.32,-0.06,-0.08,-0.03
45.0,78.0,-30.0,27.0,27.0,81.9,47.33,174.49,-21.07,40.21,63.23,-9.36,0.98,0.9,0.0,-0.0,0.07,3.86,6.46,7.64,-0.06,-0.04,-0.04
45.0,78.0,-4.0,51.0,22.0,84.15,58.84,176.97,-19.56,41.34,64.67,-9.4,0.82,0.5,-0.06,0.03,0.03,3.48,6.47,7.35,-0.06,0.02,-0.0
45.0,78.0,4.0,56.0,30.0,84.28,63.43,177.44,-19.21,41.83,64.94,-9.47,0.85,0.42,-0.06,0.01,0.03,3.44,6.59,7.36,-0.08,-0.01,0.0
45.0,78.0,0.0,58.0,24.0,84.08,55.36,176.63,-20.03,40.83,64.27,-9.27,0.79,0.55,-0.05,0.01,0.02,3.59,6.44,7.45,-0.09,0.0,-0.03
45.0,78.0,-38.0,42.0,31.0,86.01,59.7,177.98,-18.28,40.95,66.37,-9.18,0.55,0.32,-0.03,0.04,0.02,3.2,6.34,7.31,-0.06,0.01,-0.02
45.0,78.0,-30.0,40.0,49.0,85.71,67.88,178.38,-17.93,41.33,66.68,-9.58,0.67,0.27,0.01,-0.02,0.07,3.26,6.65,7.57,-0.05,-0.03,-0.05
45.0,78.0,-48.0,51.0,52.0,83.87,60.26,176.95,-19.24,41.56,65.0,-9.52,0.89,0.51,-0.04,0.0,0.02,3.43,6.53,7.36,-0.09,-0.01,-0.02
45.0,78.0,-24.0,54.0,43.0,85.04,64.94,177.89,-18.22,41.83,66.17,-9.37,0.74,0.34,-0.05,0.02,0.03,3.24,6.56,7.33,-0.07,-0.01,-0.01
45.0,78.0,-26.0,40.0,46.0,86.39,83.22,179.57,-18.01,41.51,66.53,-9.34,0.58,0.07,0.01,0.01,0.06,3.2,6.52,7.37,-0.06,-0.08,-0.05
45.0,78.0,16.0,51.0,49.0,82.8,53.01,175.65,-19.45,41.33,64.82,-9.32,0.94,0.71,0.01,-0.02,0.07,3.5,6.54,7.44,-0.06,-0.07,-0.02
45.0,78.0,38.0,60.0,48.0,83.55,62.27,176.99,-19.52,42.07,64.48,-9.28,0.93,0.49,-0.06,0.02,0.06,3.48,6.58,7.29,-0.04,-0.04,-0.02
45.0,78.0,34.0,47.0,46.0,84.76,76.54,178.78,-19.01,42.5,64.96,-9.42,0.84,0.2,-0.02,0.02,0.05,3.36,6.59,7.19,-0.06,-0.04,-0.04
46.0,78.0,8.0,47.0,55.0,82.45,60.98,176.32,-20.13,41.96,63.76,-9.41,1.09,0.61,-0.04,0.0,0.05,3.63,6.62,7.36,-0.07,-0.03,-0.01
45.0,78.0,26.0,51.0,66.0,83.67,60.62,176.88,-19.41,41.96,64.65,-9.24,0.89,0.5,-0.07,0.06,0.02,3.46,6.57,7.31,-0.07,0.01,-0.03
45.0,78.0,14.0,74.0,66.0,84.79,57.18,177.17,-19.63,41.45,64.55,-9.06,0.69,0.45,-0.04,0.05,0.05,3.41,6.33,7.16,-0.05,-0.02,-0.04
45.0,78.0,16.0,72.0,69.0,83.74,66.61,177.51,-19.81,42.03,64.13,-9.51,0.96,0.41,-0.05,0.03,0.1,3.6,6.69,7.42,-0.03,-0.04,-0.03
45.0,78.0,24.0,90.0,72.0,83.83,59.89,176.9,-19.75,41.95,64.23,-9.45,0.88,0.51,-0.01,0.02,0.05,3.62,6.74,7.5,-0.06,-0.03,-0.06
45.0,78.0,16.0,81.0,79.0,83.32,56.83,176.33,-20.35,41.58,63.62,-9.45,0.93,0.61,-0.0,0.08,0.0,3.64,6.51,7.34,-0.08,-0.0,-0.1
45.0,78.0,4.0,74.0,70.0,84.35,62.22,177.36,-19.71,41.82,64.32,-9.19,0.8,0.42,-0.01,0.05,0.06,3.46,6.45,7.21,-0.03,-0.05,-0.04
45.0,78.0,6.0,45.0,67.0,83.41,65.0,177.21,-20.07,42.21,63.74,-9.52,1.0,0.46,-0.03,0.01,0.09,3.61,6.64,7.32,-0.04,-0.07,-0.01
45.0,78.0,6.0,22.0,52.0,83.8,66.32,177.5,-20.5,42.28,63.19,-9.39,0.93,0.41,-0.04,0.02,0.07,3.66,6.59,7.24,-0.04,-0.07,0.01
45.0,78.0,10.0,9.0,51.0,83.21,57.59,176.35,-20.74,41.98,63.01,-9.26,0.93,0.59,-0.04,0.02,0.05,3.68,6.51,7.24,-0.06,-0.03,-0.02
45.0,78.0,18.0,15.0,31.0,84.58,65.18,177.72,-20.13,42.07,63.72,-9.26,0.8,0.37,0.01,0.04,0.06,3.51,6.42,7.11,-0.06,-0.05,-0.07
46.0,78.0,18.0,24.0,16.0,81.59,56.94,175.39,-21.26,41.84,62.42,-9.47,1.17,0.76,-0.01,0.0,0.04,3.8,6.52,7.28,-0.08,-0.05,-0.03
46.0,78.0,32.0,20.0,15.0,83.44,68.13,177.55,-19.5,42.75,64.26,-9.44,1.01,0.4,-0.07,-0.04,0.02,3.53,6.77,7.32,-0.1,-0.05,0.02
45.0,78.0,26.0,36.0,18.0,85.39,87.3,179.78,-18.69,42.74,65.27,-9.45,0.76,0.04,0.01,-0.04,-0.03,3.38,6.78,7.34,-0.16,-0.08,-0.03
45.0,78.0,18.0,36.0,22.0,82.63,54.52,175.71,-21.02,41.17,62.95,-9.19,0.97,0.69,0.05,0.0,-0.07,3.69,6.32,7.23,-0.2,-0.01,-0.08
45.0,78.0,-4.0,31.0,27.0,81.69,47.66,174.38,-21.81,40.69,62.18,-9.0,0.97,0.89,-0.03,-0.05,-0.06,3.71,6.05,7.04,-0.17,-0.03,-0.0
45.0,78.0,-6.0,13.0,37.0,82.94,45.0,175.0,-20.7,40.87,63.45,-8.94,0.78,0.78,-0.07,0.01,-0.07,3.66,6.34,7.33,-0.16,0.04,-0.02
45.0,78.0,-20.0,18.0,43.0,86.71,60.19,178.36,-18.64,41.29,65.82,-8.88,0.44,0.25,-0.03,0.06,-0.05,3.19,6.23,7.1,-0.12,0.04,-0.05
45.0,78.0,-16.0,24.0,55.0,83.49,54.13,176.18,-20.04,41.52,64.03,-9.17,0.85,0.61,-0.05,0.06,-0.01,3.6,6.54,7.39,-0.1,0.02,-0.07
45.0,78.0,-6.0,31.0,40.0,83.9,54.27,176.43,-19.47,41.1,64.87,-9.25,0.8,0.58,-0.05,0.17,-0.11,3.47,6.45,7.39,-0.14,0.15,-0.16
45.0,77.0,16.0,38.0,36.0,87.63,72.04,179.27,-17.9,40.52,66.98,-8.83,0.35,0.11,-0.01,0.2,-0.11,2.98,6.0,7.02,-0.12,0.13,-0.18
45.0,77.0,6.0,58.0,46.0,86.48,58.39,178.16,-18.86,40.66,65.76,-8.92,0.47,0.29,0.0,0.17,-0.04,3.25,6.19,7.21,-0.08,0.08,-0.16
45.0,77.0,2.0,65.0,48.0,84.08,45.83,175.87,-19.34,40.49,65.23,-9.05,0.67,0.65,-0.0,0.22,-0.05,3.45,6.37,7.47,-0.09,0.13,-0.21
45.0,77.0,-6.0,65.0,43.0,85.35,72.96,178.64,-18.11,41.86,66.29,-9.55,0.74,0.23,-0.04,0.22,-0.07,3.25,6.62,7.39,-0.11,0.15,-0.16
45.0,77.0,2.0,49.0,58.0,87.03,150.08,-177.43,-15.48,42.11,69.52,-9.53,0.25,-0.43,0.04,0.17,-0.1,2.78,6.73,7.44,-0.13,0.07,-0.2
45.0,77.0,-22.0,36.0,63.0,85.36,59.72,177.66,-18.37,40.59,66.38,-9.37,0.66,0.38,0.08,0.08,-0.07,3.3,6.47,7.55,-0.15,-0.01,-0.18
45.0,77.0,-20.0,29.0,54.0,84.47,61.56,177.36,-18.84,41.11,65.64,-9.45,0.8,0.44,-0.02,0.07,-0.05,3.38,6.51,7.46,-0.14,0.03,-0.08
45.0,77.0,-10.0,2.0,43.0,86.22,77.54,179.18,-17.43,41.42,67.28,-9.57,0.62,0.14,0.01,0.09,-0.07,3.19,6.73,7.63,-0.15,0.05,-0.13
45.0,77.0,14.0,-2.0,31.0,87.41,92.89,-179.87,-15.84,40.95,69.4,-9.43,0.43,-0.02,0.03,0.13,-0.17,2.85,6.59,7.59,-0.21,0.1,-0.16
45.0,77.0,18.0,13.0,27.0,88.07,95.84,-179.8,-16.4,40.19,68.93,-9.07,0.3,-0.03,0.01,0.08,-0.08,2.8,6.14,7.27,-0.15,0.04,-0.12
45.0,77.0,56.0,38.0,25.0,84.8,67.56,178.01,-18.17,40.45,66.68,-9.17,0.77,0.32,-0.13,-0.04,0.07,3.17,6.26,7.34,-0.04,-0.0,0.1
45.0,77.0,56.0,63.0,36.0,85.04,73.57,178.6,-17.09,42.19,67.46,-9.47,0.79,0.23,-0.23,-0.03,0.08,3.18,6.95,7.66,-0.03,0.07,0.15
45.0,77.0,58.0,83.0,42.0,87.1,150.58,-177.47,-15.17,42.02,69.95,-9.32,0.23,-0.41,-0.09,0.16,-0.1,2.75,6.78,7.52,-0.13,0.17,-0.12
45.0,77.0,40.0,63.0,64.0,88.13,56.18,178.96,-17.25,39.04,68.21,-9.11,0.25,0.17,-0.04,0.19,-0.11,2.99,6.06,7.48,-0.12,0.15,-0.16
