finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
33,18,39,-69,33,-7.75,-15.83,81.95,-59.0,-71.6,10.74,1.29,-2.59,9.13,-0.03,0.01,0.0,8.6,-4.9,1.63,-0.05,-0.03,-0.03
33,18,30,-66,24,-7.75,-15.35,81.96,-59.55,-71.2,10.73,1.29,-2.51,9.14,-0.03,0.0,0.04,8.63,-4.8,1.64,-0.05,-0.06,-0.06
33,18,43,-66,29,-8.06,-15.05,81.66,-60.25,-71.79,10.13,1.36,-2.49,9.26,-0.01,-0.02,0.03,8.93,-4.85,1.59,-0.09,-0.02,-0.07
33,18,39,-39,9,-9.13,-15.32,80.54,-60.2,-75.16,8.35,1.54,-2.53,9.22,-0.01,-0.09,0.03,8.86,-4.91,1.3,-0.07,-0.04,-0.03
33,18,41,-15,-6,-8.81,-15.33,80.87,-59.68,-70.89,10.83,1.47,-2.5,9.12,-0.04,-0.16,0.05,8.62,-4.76,1.65,-0.04,-0.07,-0.03
33,18,30,-18,-4,-8.84,-15.67,80.83,-59.57,-70.72,10.98,1.47,-2.55,9.09,0.02,-0.14,0.1,8.75,-4.85,1.7,-0.03,-0.11,-0.05
33,18,18,-12,29,-9.68,-15.55,79.96,-60.1,-73.38,9.34,1.6,-2.52,9.06,0.03,-0.06,0.13,8.72,-4.81,1.43,-0.01,-0.07,-0.06
33,18,14,-42,20,-9.85,-15.8,79.78,-60.16,-75.87,7.97,1.66,-2.6,9.2,0.03,-0.09,0.15,8.77,-4.88,1.23,0.02,-0.09,-0.06
33,18,12,-33,22,-9.3,-15.57,80.36,-60.3,-74.08,8.89,1.57,-2.58,9.24,0.0,-0.02,0.11,8.82,-4.84,1.38,0.03,-0.07,-0.07
33,18,12,-51,36,-9.69,-15.35,79.96,-60.26,-72.77,9.6,1.65,-2.56,9.32,0.01,-0.04,0.07,8.88,-4.85,1.5,0.0,-0.04,-0.09
33,18,10,-33,49,-9.03,-15.24,80.65,-60.06,-72.17,10.0,1.5,-2.48,9.11,0.03,-0.1,0.05,8.7,-4.77,1.53,-0.03,-0.03,-0.06
33,18,5,-57,24,-9.31,-15.08,80.37,-60.29,-73.07,9.43,1.54,-2.45,9.08,0.0,-0.06,0.03,8.72,-4.76,1.45,-0.05,-0.03,-0.09
33,18,7,-27,22,-9.85,-14.01,79.86,-60.75,-71.69,9.98,1.66,-2.32,9.29,-0.03,-0.07,0.03,8.91,-4.74,1.57,-0.05,-0.04,-0.08
33,18,10,-33,13,-9.96,-13.9,79.75,-61.0,-70.72,10.37,1.67,-2.29,9.24,-0.04,-0.07,0.03,8.96,-4.69,1.64,-0.06,-0.04,-0.08
33,18,5,-24,11,-10.02,-13.84,79.68,-60.69,-69.56,11.09,1.69,-2.29,9.3,-0.04,-0.05,0.06,8.96,-4.71,1.76,-0.09,-0.04,-0.05
33,18,-5,-9,6,-9.87,-14.41,79.81,-60.38,-72.13,9.9,1.64,-2.35,9.14,-0.05,0.01,0.08,8.77,-4.75,1.53,-0.13,-0.03,-0.02
33,18,-1,6,31,-10.45,-15.63,79.16,-60.56,-72.75,9.5,1.68,-2.46,8.79,-0.07,0.03,0.12,8.53,-4.6,1.43,-0.13,-0.03,-0.04
33,18,0,9,45,-11.22,-15.91,78.35,-60.79,-73.13,9.21,1.84,-2.55,8.94,-0.01,0.08,0.11,8.86,-4.74,1.44,-0.1,-0.04,-0.06
33,18,-9,-3,33,-11.32,-15.37,78.27,-61.18,-74.62,8.3,1.91,-2.53,9.19,-0.02,0.2,0.06,8.96,-4.75,1.31,-0.12,0.0,-0.01
33,18,3,-12,20,-10.38,-15.06,79.26,-60.87,-74.58,8.43,1.74,-2.47,9.18,-0.1,0.28,0.02,8.76,-4.7,1.3,-0.14,0.03,0.0
33,18,3,-15,2,-9.99,-15.75,79.63,-60.68,-73.88,8.86,1.64,-2.54,8.99,-0.11,0.34,-0.03,8.77,-4.73,1.37,-0.14,0.03,-0.02
33,18,5,9,-29,-8.22,-15.2,81.48,-61.4,-74.3,8.39,1.36,-2.48,9.11,-0.11,0.53,-0.16,8.86,-4.65,1.31,-0.13,0.05,-0.04
33,18,-5,39,-42,-6.7,-13.79,83.1,-61.45,-72.48,9.3,1.14,-2.32,9.44,-0.1,0.24,-0.15,9.03,-4.69,1.48,-0.12,0.03,-0.01
