finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
5,7,10,60,72,72.56,80.85,177.14,18.85,-45.24,115.86,-8.81,2.73,0.44,-0.04,0.07,0.07,-3.31,-6.89,6.84,-0.07,-0.06,-0.07
55,7,12,63,72,73.27,83.06,177.92,17.26,-44.01,113.37,-9.03,2.7,0.33,-0.05,0.07,0.07,-3.06,-6.84,7.07,-0.08,-0.07,-0.05
55,7,34,54,67,73.33,80.98,177.31,18.63,-45.05,115.5,-8.82,2.61,0.41,-0.03,0.03,0.05,-3.24,-6.8,6.79,-0.07,-0.03,-0.06
55,7,28,57,87,73.16,86.1,178.82,17.31,-43.56,113.26,-8.83,2.67,0.18,-0.06,0.11,0.04,-3.03,-6.71,7.06,-0.05,-0.09,-0.04
55,7,27,57,87,74.15,88.04,179.44,16.02,-42.27,111.21,-9.14,2.59,0.09,-0.09,0.06,0.05,-2.84,-6.66,7.32,-0.09,-0.06,-0.01
55,7,12,45,92,73.26,84.67,178.4,16.86,-44.34,112.97,-8.82,2.64,0.25,-0.1,-0.02,0.06,-2.93,-6.76,6.91,-0.13,0.0,0.02
55,6,21,30,74,71.26,82.01,177.3,18.3,-46.49,115.66,-8.78,2.95,0.41,-0.07,-0.02,0.04,-3.21,-7.05,6.69,-0.11,0.02,0.02
56,5,10,27,67,70.83,79.15,176.26,19.29,-47.7,117.47,-8.96,3.06,0.59,-0.06,0.03,0.06,-3.46,-7.31,6.65,-0.08,-0.03,-0.03
57,5,14,30,58,71.04,78.48,176.07,18.9,-47.09,116.7,-9.14,3.08,0.63,-0.02,0.08,0.08,-3.46,-7.4,6.88,-0.05,-0.07,-0.1
57,5,16,30,60,71.89,81.45,177.21,17.21,-44.47,113.47,-9.55,3.09,0.46,0.04,0.06,0.11,-3.22,-7.28,7.41,-0.09,-0.01,-0.16
57,5,30,27,74,71.22,80.88,176.91,17.84,-46.59,115.1,-9.06,3.04,0.49,0.07,-0.0,0.15,-3.21,-7.24,6.85,-0.12,0.05,-0.18
56,5,19,42,81,71.11,82.5,177.44,17.03,-46.46,113.98,-8.68,2.94,0.39,0.11,0.04,0.15,-2.97,-7.02,6.68,-0.11,0.03,-0.21
56,6,25,66,87,71.39,85.17,178.38,15.92,-46.3,112.44,-8.61,2.89,0.24,0.17,0.03,0.13,-2.74,-6.94,6.63,-0.09,0.07,-0.24
57,7,25,54,83,69.75,89.57,179.84,14.99,-45.88,111.03,-8.59,3.17,0.02,0.14,0.04,0.15,-2.59,-6.94,6.73,-0.11,0.04,-0.23
57,7,34,78,99,70.48,90.36,-179.87,14.78,-45.48,110.62,-8.62,3.06,-0.02,0.11,0.01,0.18,-2.54,-6.87,6.75,-0.14,0.05,-0.21
