finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
80,-1,26,49,31,-20.81,53.99,57.12,-12.83,-70.37,55.87,3.35,7.14,5.19,-0.04,0.03,0.03,2.22,-9.17,3.27,-0.07,-0.01,-0.02
80,-1,26,42,30,-22.11,53.7,55.54,-11.26,-71.77,57.53,3.57,7.07,5.2,-0.07,-0.01,0.01,1.96,-9.36,3.08,-0.09,0.04,-0.02
79,-1,34,56,34,-22.48,52.49,55.79,-10.26,-71.71,60.01,3.61,6.92,5.32,-0.05,0.05,0.06,1.78,-9.35,3.09,-0.07,-0.04,0.0
80,-1,38,63,25,-21.95,53.55,55.85,-11.94,-71.72,56.01,3.56,7.1,5.24,-0.04,0.05,0.05,2.09,-9.36,3.09,-0.06,-0.04,-0.01
80,-1,38,36,25,-21.86,53.73,55.86,-12.01,-71.3,56.44,3.53,7.09,5.2,-0.04,0.02,0.03,2.09,-9.29,3.14,-0.07,-0.0,-0.03
79,-1,42,47,18,-22.13,53.24,55.8,-11.1,-71.7,57.99,3.55,6.99,5.22,-0.05,0.02,0.03,1.93,-9.32,3.08,-0.08,0.0,-0.03
80,-1,46,38,1,-22.21,53.35,55.63,-11.3,-71.68,57.55,3.58,7.03,5.23,-0.05,0.04,0.05,1.97,-9.34,3.09,-0.08,-0.03,-0.01
80,-1,40,31,-6,-22.04,53.38,55.84,-11.46,-71.67,57.18,3.56,7.07,5.25,-0.03,0.04,0.04,2.0,-9.38,3.11,-0.06,-0.03,-0.02
80,-1,46,31,-3,-22.02,53.97,55.49,-12.09,-71.54,55.91,3.56,7.11,5.17,-0.04,0.04,0.04,2.1,-9.29,3.1,-0.07,-0.02,-0.02
79,-1,52,22,-3,-21.82,52.92,56.41,-10.86,-71.47,58.88,3.49,6.96,5.26,-0.04,0.05,0.05,1.87,-9.27,3.11,-0.06,-0.04,-0.01
80,-1,60,38,-3,-21.31,53.26,56.89,-11.29,-71.27,58.12,3.42,7.03,5.25,-0.02,0.05,0.05,1.96,-9.3,3.15,-0.07,-0.04,-0.02
80,-1,50,42,7,-21.94,53.44,55.93,-11.88,-71.54,56.4,3.55,7.07,5.25,-0.02,0.05,0.06,2.06,-9.29,3.1,-0.07,-0.05,-0.02
80,-1,50,36,0,-21.47,53.88,56.29,-11.83,-70.84,57.45,3.45,7.08,5.16,-0.03,0.05,0.06,2.05,-9.26,3.22,-0.08,-0.04,-0.01
80,-1,18,15,0,-22.36,53.57,55.29,-11.4,-71.73,57.25,3.61,7.06,5.21,-0.03,0.03,0.06,1.99,-9.37,3.09,-0.08,-0.04,-0.02
80,-1,24,22,10,-22.05,54.22,55.29,-12.48,-71.71,54.8,3.57,7.15,5.15,-0.03,0.04,0.05,2.18,-9.36,3.1,-0.08,-0.03,-0.02
80,-1,16,9,21,-21.93,53.92,55.65,-11.93,-71.43,56.43,3.53,7.09,5.17,-0.05,0.02,0.04,2.07,-9.28,3.12,-0.09,-0.01,-0.02
80,-1,8,-20,31,-22.32,53.41,55.45,-11.34,-71.91,57.15,3.6,7.04,5.23,-0.05,0.03,0.05,1.98,-9.41,3.07,-0.09,-0.02,-0.02
80,-1,8,-22,37,-21.91,53.91,55.68,-12.27,-71.38,55.74,3.52,7.08,5.16,-0.04,0.02,0.02,2.13,-9.3,3.13,-0.07,-0.0,-0.04
80,-1,40,-6,51,-21.76,53.24,56.3,-11.32,-71.13,58.24,3.49,7.01,5.24,-0.05,-0.01,-0.01,1.95,-9.21,3.15,-0.07,0.03,-0.05
79,-1,36,-6,46,-21.88,52.85,56.37,-10.87,-71.22,59.18,3.51,6.96,5.28,-0.04,0.02,0.06,1.88,-9.27,3.15,-0.09,-0.03,-0.03
80,-1,32,-4,48,-21.73,54.05,55.83,-12.39,-71.43,55.4,3.51,7.13,5.17,-0.02,0.01,0.02,2.17,-9.35,3.14,-0.08,-0.0,-0.06
80,-1,38,33,39,-22.36,53.54,55.32,-11.2,-71.57,57.94,3.62,7.07,5.22,-0.04,0.02,0.03,1.95,-9.35,3.11,-0.07,-0.01,-0.03
80,-1,46,18,45,-21.39,54.04,56.29,-12.14,-70.9,56.68,3.42,7.07,5.13,-0.04,-0.01,0.02,2.1,-9.22,3.19,-0.09,0.02,-0.05
80,-1,44,13,31,-22.53,53.12,55.35,-10.71,-71.98,58.55,3.63,7.01,5.26,-0.03,0.0,0.03,1.86,-9.34,3.04,-0.09,-0.01,-0.04
80,-1,38,27,16,-21.9,53.92,55.69,-12.51,-71.46,55.08,3.53,7.11,5.18,-0.02,0.03,0.05,2.18,-9.32,3.12,-0.08,-0.03,-0.03
80,-1,54,20,15,-22.4,53.94,54.99,-11.69,-71.93,56.3,3.63,7.12,5.19,-0.05,-0.0,0.02,2.04,-9.38,3.06,-0.08,0.01,-0.04
80,-1,54,13,3,-22.56,53.48,55.07,-11.45,-72.34,56.27,3.63,7.02,5.2,-0.03,0.02,0.04,2.01,-9.44,3.0,-0.08,-0.02,-0.04
80,-1,34,38,12,-21.74,53.98,55.85,-12.24,-71.24,56.01,3.5,7.1,5.16,-0.04,0.01,0.03,2.12,-9.24,3.14,-0.08,0.0,-0.04
80,-1,54,65,12,-22.5,53.78,54.97,-11.38,-72.25,56.57,3.62,7.04,5.16,-0.04,-0.0,0.01,1.99,-9.41,3.01,-0.08,0.01,-0.05
80,-1,54,49,30,-22.36,53.06,55.61,-10.9,-71.08,59.3,3.6,7.0,5.26,-0.03,0.06,0.05,1.89,-9.27,3.18,-0.06,-0.05,-0.01
80,-1,38,45,27,-20.6,54.36,57.18,-12.87,-70.79,55.23,3.28,7.1,5.09,-0.03,-0.0,0.03,2.23,-9.21,3.21,-0.09,0.01,-0.05
79,-1,18,11,28,-23.07,52.49,55.03,-9.58,-72.52,60.67,3.72,6.92,5.32,-0.01,-0.0,0.01,1.66,-9.39,2.96,-0.08,-0.01,-0.06
80,-1,30,6,19,-21.46,54.87,55.65,-13.59,-70.97,53.45,3.47,7.21,5.07,-0.03,0.04,0.09,2.36,-9.23,3.18,-0.09,-0.06,-0.02
80,-1,26,-22,28,-22.71,53.69,54.75,-10.98,-72.59,57.03,3.67,7.06,5.19,-0.05,-0.03,0.01,1.92,-9.45,2.96,-0.1,0.03,-0.05
80,-1,38,-18,28,-22.39,53.28,55.43,-11.67,-71.48,56.96,3.6,7.0,5.22,-0.02,0.06,0.07,2.01,-9.24,3.1,-0.07,-0.07,-0.02
80,-1,40,-9,33,-21.39,54.65,55.91,-13.13,-71.13,54.19,3.45,7.18,5.09,-0.03,-0.02,0.01,2.29,-9.3,3.18,-0.09,0.04,-0.08
80,-1,64,22,51,-23.42,53.22,54.12,-10.34,-72.61,58.59,3.81,7.05,5.27,-0.04,-0.02,-0.01,1.81,-9.47,2.96,-0.07,0.02,-0.05
80,-1,58,2,45,-21.67,53.77,56.09,-11.99,-70.87,57.05,3.46,7.03,5.15,-0.03,0.07,0.09,2.06,-9.18,3.18,-0.08,-0.08,-0.01
80,-1,58,2,36,-21.26,55.24,55.69,-13.57,-70.81,53.71,3.41,7.19,4.99,-0.03,0.02,0.05,2.34,-9.17,3.19,-0.09,-0.02,-0.04
80,-1,44,-9,27,-22.53,54.59,54.4,-12.48,-71.98,54.41,3.66,7.2,5.12,-0.05,-0.02,0.03,2.18,-9.37,3.05,-0.1,0.01,-0.04
80,-1,34,4,22,-22.59,54.43,54.42,-12.23,-71.9,55.09,3.64,7.11,5.09,-0.05,0.0,0.06,2.12,-9.31,3.04,-0.1,-0.02,-0.02
80,-1,26,6,9,-22.41,54.95,54.33,-13.19,-72.1,52.69,3.62,7.2,5.05,-0.04,0.02,0.04,2.3,-9.34,3.02,-0.08,-0.01,-0.02
80,-1,26,38,16,-22.84,54.24,54.22,-12.02,-72.15,55.22,3.67,7.07,5.09,-0.05,0.0,0.01,2.09,-9.32,3.0,-0.08,0.01,-0.02
80,-1,12,22,19,-22.99,53.46,54.53,-11.4,-72.23,56.56,3.7,7.02,5.2,-0.02,0.01,0.02,1.97,-9.32,2.99,-0.08,-0.01,-0.05
80,-1,10,40,43,-22.98,53.74,54.36,-11.84,-72.45,55.2,3.72,7.07,5.19,-0.03,0.01,0.03,2.07,-9.41,2.98,-0.08,-0.01,-0.05
79,-1,44,31,46,-22.48,52.94,55.53,-10.86,-71.76,58.48,3.59,6.93,5.23,-0.04,0.03,0.03,1.88,-9.3,3.06,-0.07,-0.01,-0.03
78,-1,60,47,46,-22.7,53.1,55.13,-11.32,-71.95,57.13,3.64,6.95,5.22,-0.0,0.04,0.03,1.96,-9.32,3.04,-0.06,-0.04,-0.05
79,-1,54,31,34,-21.93,54.41,55.32,-12.53,-71.38,55.17,3.54,7.14,5.11,-0.01,0.02,0.02,2.17,-9.25,3.12,-0.07,-0.02,-0.05
80,-1,60,67,22,-21.78,54.34,55.57,-12.23,-71.03,56.31,3.5,7.12,5.11,-0.04,0.01,0.04,2.12,-9.24,3.17,-0.09,-0.01,-0.04
80,-1,84,58,13,-21.83,53.75,55.89,-11.46,-71.31,57.69,3.5,7.04,5.16,-0.02,-0.01,0.03,1.99,-9.3,3.15,-0.1,-0.01,-0.07
80,-1,88,38,16,-22.0,54.47,55.19,-12.68,-71.51,54.64,3.53,7.12,5.08,-0.02,0.02,0.06,2.2,-9.27,3.1,-0.1,-0.03,-0.04
80,-1,64,29,22,-22.46,54.9,54.28,-12.99,-72.09,53.12,3.65,7.22,5.07,-0.04,-0.01,0.02,2.27,-9.35,3.02,-0.09,0.01,-0.04
80,-1,70,42,34,-22.92,54.45,53.97,-12.43,-71.99,54.5,3.67,7.06,5.05,-0.04,0.0,0.04,2.15,-9.27,3.01,-0.09,-0.01,-0.04
80,-1,70,18,42,-22.14,55.26,54.47,-13.63,-71.54,52.56,3.56,7.19,4.99,-0.02,-0.01,0.03,2.36,-9.24,3.08,-0.1,0.01,-0.08
80,-1,70,31,48,-23.46,54.23,53.41,-11.57,-72.88,55.19,3.79,7.09,5.11,-0.03,0.0,0.03,2.03,-9.47,2.92,-0.08,-0.0,-0.04
80,-1,44,47,42,-22.59,55.45,53.74,-13.86,-71.7,51.83,3.66,7.25,4.99,-0.03,0.05,0.05,2.42,-9.31,3.08,-0.07,-0.05,-0.02
80,-1,52,47,42,-22.71,55.08,53.82,-12.78,-72.11,53.54,3.67,7.18,5.02,-0.02,0.02,0.01,2.22,-9.32,3.01,-0.07,-0.01,-0.04
80,-1,56,24,40,-22.64,54.65,54.21,-12.33,-72.11,54.57,3.65,7.13,5.06,-0.04,0.06,0.04,2.14,-9.3,3.0,-0.06,-0.04,-0.01
80,-1,38,31,45,-21.97,54.98,54.89,-13.35,-71.49,53.22,3.55,7.21,5.05,-0.03,0.04,0.03,2.32,-9.27,3.1,-0.06,-0.02,-0.03
80,-1,14,22,28,-22.46,54.33,54.66,-11.89,-71.75,56.07,3.61,7.09,5.09,-0.06,0.04,0.04,2.06,-9.27,3.06,-0.08,-0.02,0.0
80,-1,28,60,28,-21.95,54.67,55.12,-12.87,-71.69,53.97,3.54,7.16,5.07,-0.04,0.03,0.04,2.24,-9.31,3.08,-0.08,-0.02,-0.03
80,-1,16,63,18,-22.61,54.62,54.28,-12.49,-72.15,54.15,3.64,7.13,5.06,-0.07,-0.0,0.01,2.16,-9.3,3.0,-0.08,0.03,-0.02
79,-1,20,101,15,-22.84,53.45,54.74,-11.09,-71.95,57.69,3.66,6.98,5.17,-0.06,0.03,0.05,1.92,-9.29,3.03,-0.08,-0.02,-0.0
80,-1,50,99,16,-22.58,53.93,54.77,-12.12,-72.15,55.0,3.61,7.02,5.11,-0.03,0.03,0.05,2.1,-9.32,3.0,-0.08,-0.03,-0.03
80,-1,54,94,9,-23.17,54.16,53.84,-12.01,-72.65,54.5,3.74,7.08,5.11,-0.02,0.03,0.03,2.1,-9.41,2.94,-0.07,-0.03,-0.04
80,-1,36,60,1,-22.79,55.21,53.63,-13.83,-72.3,51.0,3.71,7.24,5.03,-0.03,0.02,0.03,2.42,-9.35,2.98,-0.08,-0.0,-0.04
80,-1,52,42,-4,-23.42,54.47,53.3,-11.49,-72.33,56.2,3.75,7.04,5.03,-0.07,0.02,0.02,2.0,-9.39,2.99,-0.07,0.0,-0.01
80,-1,46,18,-7,-22.42,55.1,54.2,-13.52,-71.55,52.78,3.6,7.15,4.99,-0.02,0.06,0.04,2.34,-9.23,3.08,-0.06,-0.05,-0.02
80,-1,20,13,9,-22.05,55.45,54.47,-13.37,-71.54,53.09,3.56,7.25,4.99,-0.05,0.01,0.0,2.33,-9.3,3.11,-0.06,0.03,-0.03
