finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
-5,-1,-6,67,85,-6.56,-78.45,60.14,0.39,-70.58,91.17,1.15,-9.79,2.0,-0.09,0.05,-0.01,-0.07,-9.61,3.39,-0.11,0.02,0.02
-5,-1,-10,63,87,-8.0,-79.28,52.92,0.92,-70.17,92.7,1.41,-9.89,1.87,-0.1,-0.01,0.0,-0.16,-9.57,3.45,-0.11,-0.02,0.05
-5,-1,-2,76,57,-6.55,-80.12,56.2,1.89,-69.69,95.43,1.14,-9.81,1.71,-0.12,0.03,0.01,-0.33,-9.4,3.48,-0.11,-0.01,0.03
-5,-1,-8,76,60,-6.57,-80.04,56.37,1.51,-70.45,94.49,1.13,-9.65,1.7,-0.1,-0.01,-0.03,-0.26,-9.35,3.32,-0.15,-0.01,0.04
-5,-1,-28,81,52,-8.89,-79.46,49.46,1.76,-71.4,95.5,1.54,-9.69,1.8,-0.13,-0.01,-0.02,-0.31,-9.46,3.18,-0.12,0.01,0.05
-5,-1,-32,51,49,-7.99,-83.18,40.24,4.07,-71.67,102.75,1.4,-9.9,1.19,-0.1,-0.02,0.01,-0.7,-9.39,3.11,-0.11,-0.04,0.06
-5,-1,-16,51,45,-8.04,-81.54,46.16,3.03,-70.47,99.0,1.39,-9.71,1.44,-0.07,-0.03,0.01,-0.52,-9.3,3.3,-0.1,-0.03,0.01
-5,-1,-22,42,57,-6.86,-81.39,51.21,3.13,-68.71,98.55,1.18,-9.66,1.46,-0.11,0.02,0.01,-0.54,-9.19,3.58,-0.11,0.04,0.01
-5,-1,-10,58,55,-7.66,-83.32,40.83,3.87,-70.41,101.41,1.34,-9.88,1.16,-0.07,0.06,-0.01,-0.67,-9.34,3.32,-0.13,0.08,-0.02
-5,-1,16,60,58,-7.73,-81.68,46.83,2.67,-72.66,98.89,1.35,-9.81,1.43,-0.05,0.02,0.01,-0.46,-9.51,2.97,-0.12,-0.0,-0.03
-5,-1,0,96,37,-8.67,-79.73,49.44,1.89,-69.95,95.49,1.49,-9.64,1.75,-0.08,-0.02,0.06,-0.33,-9.35,3.41,-0.09,-0.05,-0.01
-5,-1,-10,87,49,-8.67,-81.33,44.68,1.7,-71.59,95.38,1.5,-9.73,1.48,-0.09,0.06,0.02,-0.29,-9.39,3.12,-0.09,0.04,-0.02
-5,-1,-10,92,52,-8.94,-81.3,43.87,2.47,-72.6,98.22,1.55,-9.77,1.49,-0.05,0.04,0.01,-0.43,-9.46,2.97,-0.09,0.03,-0.01
-5,-1,-20,76,51,-8.66,-81.43,44.36,2.42,-72.72,98.11,1.52,-9.84,1.48,-0.03,-0.04,0.03,-0.42,-9.51,2.96,-0.09,-0.08,-0.02
-5,-1,-24,69,51,-9.71,-80.62,43.6,2.12,-71.14,96.54,1.7,-9.81,1.62,-0.01,-0.07,0.06,-0.37,-9.48,3.24,-0.09,-0.11,-0.03
-5,-1,-14,56,46,-8.01,-79.99,51.01,1.34,-70.24,93.95,1.39,-9.76,1.72,-0.04,0.0,0.04,-0.23,-9.46,3.4,-0.1,-0.03,-0.04
-5,-1,-14,67,42,-6.42,-82.04,50.94,2.92,-71.6,99.17,1.13,-10.0,1.4,-0.01,-0.01,0.01,-0.51,-9.54,3.17,-0.1,-0.03,-0.04
-5,-1,10,65,40,-5.63,-81.22,57.15,2.26,-69.57,96.46,0.98,-9.85,1.52,0.01,-0.09,-0.0,-0.4,-9.43,3.51,-0.13,-0.13,-0.04
-5,-1,6,69,31,-7.96,-80.13,50.81,1.57,-70.04,94.6,1.4,-9.84,1.71,0.0,-0.03,-0.03,-0.28,-9.51,3.45,-0.13,-0.05,-0.05
-5,-1,10,96,24,-6.2,-79.41,59.42,1.2,-69.51,93.42,1.07,-9.71,1.81,-0.06,0.02,-0.05,-0.21,-9.43,3.52,-0.15,0.0,-0.02
-5,-1,8,74,22,-7.14,-79.97,54.25,1.72,-69.66,94.94,1.24,-9.76,1.73,-0.06,0.01,-0.06,-0.3,-9.42,3.49,-0.16,0.03,-0.01
-5,-1,10,85,22,-7.72,-81.07,48.86,2.52,-71.05,97.73,1.34,-9.76,1.53,-0.1,0.02,-0.05,-0.44,-9.41,3.23,-0.16,0.02,0.02
-5,-1,-8,83,16,-9.36,-81.21,42.85,2.43,-71.46,97.6,1.62,-9.72,1.5,-0.07,0.03,-0.05,-0.42,-9.37,3.14,-0.14,0.0,0.01
-5,-1,14,74,30,-9.74,-81.01,42.29,2.44,-72.8,98.19,1.67,-9.61,1.52,-0.09,0.05,-0.05,-0.42,-9.4,2.91,-0.13,0.03,0.03
-5,-1,-2,56,42,-11.3,-82.33,33.72,2.98,-73.91,100.63,1.98,-9.82,1.32,-0.09,0.03,-0.01,-0.51,-9.51,2.74,-0.12,0.0,0.03
-5,-1,28,83,43,-11.41,-80.82,38.33,2.76,-73.54,99.64,1.98,-9.67,1.56,-0.08,0.04,0.02,-0.48,-9.54,2.82,-0.08,0.03,0.01
-5,-1,44,58,40,-8.99,-84.27,32.22,5.12,-72.85,106.91,1.58,-9.93,1.0,-0.04,0.05,0.05,-0.88,-9.42,2.91,-0.06,0.0,-0.02
-5,-1,36,69,46,-8.03,-81.99,44.65,3.3,-71.14,100.1,1.39,-9.73,1.37,0.02,-0.02,0.05,-0.57,-9.36,3.2,-0.09,-0.05,-0.06
-5,-1,22,74,37,-8.9,-80.13,47.59,2.57,-72.33,98.4,1.54,-9.69,1.69,-0.02,0.01,0.01,-0.45,-9.51,3.03,-0.12,0.01,-0.05
-5,-1,20,60,21,-7.71,-81.18,48.56,2.49,-72.33,98.15,1.34,-9.75,1.51,-0.02,-0.04,-0.0,-0.43,-9.5,3.03,-0.11,-0.05,-0.03
-5,-1,12,76,24,-9.26,-80.07,46.62,2.04,-71.85,96.51,1.61,-9.73,1.7,-0.04,-0.04,-0.02,-0.35,-9.47,3.1,-0.12,-0.05,-0.01
-5,-1,-4,85,16,-10.06,-80.11,44.08,2.0,-71.27,96.21,1.74,-9.64,1.68,-0.05,0.02,-0.01,-0.34,-9.35,3.17,-0.1,0.0,-0.02
-5,-1,6,83,18,-8.87,-81.46,43.58,2.98,-72.19,99.66,1.53,-9.69,1.46,-0.09,0.08,-0.01,-0.51,-9.41,3.02,-0.11,0.04,0.0
-5,-1,10,76,24,-9.82,-83.78,32.03,3.82,-73.13,102.97,1.73,-9.96,1.08,-0.05,-0.0,0.01,-0.66,-9.5,2.88,-0.11,-0.04,-0.01
