finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
36,68,61,93,83,68.35,-27.84,160.66,-7.96,28.64,80.94,-8.63,-1.6,3.03,0.04,0.04,0.05,1.46,5.01,9.18,-0.05,-0.06,-0.06
36,69,70,93,92,68.69,-28.59,161.09,-7.46,28.7,81.51,-8.78,-1.64,3.01,0.03,0.04,0.05,1.38,5.06,9.24,-0.06,-0.05,-0.07
36,68,50,90,85,68.64,-27.39,160.85,-8.02,28.33,80.9,-8.78,-1.58,3.05,0.02,0.02,0.05,1.48,4.97,9.22,-0.06,-0.06,-0.06
36,67,43,93,121,68.31,-27.15,160.51,-7.74,28.29,81.23,-8.65,-1.57,3.06,0.01,0.03,0.05,1.41,4.92,9.14,-0.05,-0.05,-0.05
36,68,39,84,119,68.66,-25.92,160.64,-8.14,28.92,80.72,-8.72,-1.49,3.06,-0.02,0.02,0.05,1.5,5.06,9.16,-0.06,-0.04,-0.03
36,67,21,87,126,68.28,-27.33,160.51,-8.43,28.5,80.43,-8.67,-1.58,3.07,-0.02,0.03,0.04,1.55,4.99,9.18,-0.09,-0.02,-0.04
36,67,16,81,132,68.13,-28.14,160.51,-8.05,28.21,80.88,-8.65,-1.64,3.06,-0.02,0.06,0.02,1.46,4.89,9.11,-0.1,-0.02,-0.05
36,67,27,60,130,68.13,-29.21,160.69,-7.53,28.22,81.47,-8.62,-1.69,3.02,-0.03,0.07,0.02,1.36,4.88,9.1,-0.09,-0.02,-0.06
36,67,41,48,96,67.74,-25.21,159.68,-9.13,28.15,79.68,-8.65,-1.51,3.2,-0.06,0.06,0.01,1.67,4.92,9.19,-0.08,-0.02,-0.09
36,67,57,24,69,67.7,-24.87,159.59,-8.94,28.15,79.88,-8.64,-1.49,3.21,-0.09,0.07,-0.01,1.63,4.9,9.15,-0.06,0.02,-0.07
36,68,68,15,92,68.41,-26.81,160.55,-8.17,28.89,80.68,-8.83,-1.58,3.12,-0.13,0.06,0.0,1.52,5.1,9.24,-0.06,0.02,-0.06
36,69,73,24,96,68.4,-28.58,160.83,-8.66,28.69,80.15,-8.83,-1.67,3.07,-0.13,0.04,0.0,1.6,5.05,9.23,-0.07,0.01,-0.09
36,68,81,42,94,67.46,-28.13,159.9,-8.8,28.31,80.03,-8.61,-1.69,3.15,-0.09,0.05,0.0,1.61,4.95,9.18,-0.06,-0.03,-0.11
36,67,63,57,130,68.11,-29.45,160.72,-9.04,28.47,79.74,-8.73,-1.72,3.05,-0.05,0.06,0.02,1.66,4.98,9.18,-0.06,-0.07,-0.13
36,68,54,99,141,67.93,-27.93,160.29,-8.81,29.21,79.93,-8.73,-1.66,3.13,0.03,0.05,0.01,1.62,5.11,9.14,-0.05,-0.09,-0.14
36,69,70,114,126,68.4,-29.23,160.94,-8.08,28.77,80.79,-8.95,-1.73,3.09,0.09,0.05,0.01,1.5,5.09,9.28,-0.06,-0.14,-0.16
36,68,63,129,103,68.46,-32.79,161.65,-7.59,28.62,81.37,-8.74,-1.87,2.9,0.16,0.0,0.01,1.39,4.98,9.14,-0.06,-0.21,-0.2
36,69,46,126,114,68.37,-25.9,160.36,-9.3,29.01,79.39,-8.82,-1.53,3.15,0.19,0.01,0.01,1.73,5.12,9.23,-0.07,-0.22,-0.21
36,69,46,123,60,68.87,-30.58,161.59,-7.63,28.73,81.32,-8.86,-1.74,2.95,0.19,0.01,-0.01,1.41,5.06,9.23,-0.08,-0.24,-0.2
36,69,39,93,49,69.69,-33.09,162.77,-7.12,29.31,81.85,-8.84,-1.79,2.74,0.21,-0.01,0.0,1.31,5.13,9.14,-0.08,-0.28,-0.23
36,69,28,57,49,69.05,-25.13,160.89,-8.48,29.62,80.26,-8.82,-1.43,3.06,0.22,-0.01,-0.01,1.57,5.19,9.13,-0.08,-0.29,-0.24
36,69,37,39,67,70.23,-26.72,162.2,-7.74,30.17,81.06,-8.95,-1.45,2.87,0.21,-0.02,-0.01,1.43,5.28,9.09,-0.1,-0.28,-0.2
36,69,41,54,47,69.5,-25.89,161.4,-8.11,29.51,80.7,-8.72,-1.42,2.94,0.15,-0.05,0.0,1.48,5.11,9.02,-0.09,-0.27,-0.19
36,69,52,78,54,69.58,-25.83,161.47,-8.08,29.99,80.69,-8.79,-1.43,2.95,0.1,-0.05,0.02,1.47,5.18,8.98,-0.07,-0.28,-0.18
36,69,43,93,69,69.0,-23.91,160.66,-8.98,29.74,79.68,-8.73,-1.36,3.06,0.08,-0.05,0.02,1.64,5.15,9.01,-0.09,-0.26,-0.18
36,69,45,120,65,68.18,-21.98,159.63,-10.2,29.69,78.3,-8.53,-1.28,3.17,0.06,-0.02,-0.04,1.84,5.05,8.87,-0.11,-0.23,-0.16
36,69,32,129,45,68.26,-22.57,159.78,-9.98,29.45,78.57,-8.68,-1.33,3.2,0.06,0.02,-0.09,1.81,5.07,8.98,-0.14,-0.18,-0.13
36,69,32,117,90,69.47,-28.54,161.79,-8.05,29.71,80.76,-8.88,-1.59,2.92,0.03,0.01,-0.12,1.48,5.19,9.09,-0.17,-0.18,-0.12
36,69,27,96,110,68.63,-26.72,160.73,-9.27,29.32,79.4,-8.83,-1.55,3.09,0.03,-0.04,-0.14,1.73,5.19,9.24,-0.23,-0.15,-0.1
36,68,43,90,99,68.21,-29.86,160.88,-9.48,27.93,79.3,-8.71,-1.73,3.02,0.02,-0.04,-0.14,1.76,4.93,9.3,-0.28,-0.1,-0.07
36,67,39,69,103,67.52,-31.86,160.63,-8.94,27.51,79.94,-8.38,-1.83,2.95,0.04,-0.01,-0.12,1.59,4.67,8.96,-0.24,-0.1,-0.08
36,68,70,42,126,68.57,-25.3,160.47,-10.27,29.83,78.2,-8.62,-1.45,3.06,0.05,-0.02,-0.12,1.87,5.13,8.94,-0.19,-0.08,-0.08
36,69,72,48,96,68.38,-19.13,159.47,-10.3,30.49,78.09,-8.7,-1.13,3.26,0.02,0.0,-0.16,1.9,5.3,8.99,-0.22,-0.02,-0.08
36,69,70,27,72,68.36,-23.02,159.94,-8.99,30.77,79.57,-8.77,-1.36,3.2,-0.11,0.07,-0.15,1.67,5.4,9.08,-0.29,0.01,-0.09
36,69,64,27,76,68.01,-28.65,160.49,-9.18,28.32,79.6,-8.82,-1.71,3.12,-0.17,0.13,-0.14,1.71,5.01,9.3,-0.31,0.03,-0.09
35,68,64,39,74,67.38,-40.51,162.43,-7.78,25.78,81.37,-8.51,-2.3,2.7,-0.15,0.07,-0.05,1.41,4.5,9.31,-0.22,0.02,-0.04
34,67,63,45,74,67.06,-41.63,162.45,-7.36,25.65,81.85,-8.36,-2.35,2.65,-0.06,0.01,0.08,1.31,4.39,9.14,-0.08,-0.02,-0.03
35,68,59,51,69,69.26,-31.97,162.19,-8.71,29.18,80.05,-9.1,-1.82,2.92,-0.02,-0.02,0.1,1.63,5.18,9.28,-0.08,-0.1,-0.02
35,69,64,93,90,67.65,-25.94,159.71,-10.49,28.33,78.12,-9.07,-1.63,3.35,-0.01,-0.04,-0.04,1.96,5.03,9.33,-0.21,-0.07,-0.04
34,68,57,135,92,67.04,-37.06,161.32,-9.48,26.48,79.43,-8.65,-2.21,2.92,0.04,-0.06,-0.16,1.73,4.63,9.29,-0.28,-0.09,-0.06
33,67,54,135,92,65.87,-32.54,159.31,-9.79,25.58,79.17,-8.7,-2.1,3.29,0.06,-0.11,-0.17,1.8,4.5,9.41,-0.29,-0.12,-0.06
33,67,27,147,94,64.88,-32.74,158.48,-10.53,25.13,78.39,-8.47,-2.15,3.34,0.12,-0.15,-0.15,1.93,4.42,9.42,-0.3,-0.15,-0.06
33,67,39,150,101,62.91,-28.74,155.84,-11.11,24.59,77.81,-8.15,-2.0,3.65,0.06,-0.09,-0.1,2.0,4.25,9.28,-0.23,-0.15,-0.04
33,67,37,132,114,66.84,-37.01,161.14,-9.37,26.99,79.51,-8.89,-2.29,3.04,0.07,-0.16,-0.15,1.75,4.81,9.45,-0.24,-0.19,-0.07
33,67,48,93,94,64.79,-31.64,158.16,-10.2,25.33,78.75,-8.74,-2.16,3.51,0.1,-0.25,-0.26,1.9,4.52,9.55,-0.3,-0.17,-0.14
33,67,59,90,92,63.79,-32.36,157.42,-9.43,24.66,79.65,-8.53,-2.25,3.55,-0.03,-0.32,-0.23,1.73,4.35,9.48,-0.25,-0.21,-0.18
34,67,75,105,85,61.52,-24.37,153.7,-11.5,25.01,77.35,-8.47,-1.9,4.19,-0.45,-0.3,-0.2,2.12,4.41,9.45,-0.24,-0.24,-0.18
33,67,88,75,76,62.42,-32.31,156.18,-12.09,25.09,76.69,-8.17,-2.28,3.61,-0.28,-0.31,-0.24,2.2,4.35,9.28,-0.22,-0.25,-0.12
33,67,88,87,90,62.3,-35.83,156.95,-12.77,24.37,76.03,-7.99,-2.46,3.4,0.02,-0.24,-0.21,2.32,4.23,9.33,-0.14,-0.21,-0.09
33,67,95,108,121,59.55,-30.57,153.15,-12.23,24.77,76.57,-7.71,-2.31,3.9,0.11,-0.12,0.02,2.25,4.36,9.44,-0.03,-0.19,-0.08
33,67,95,105,123,60.89,-39.85,156.86,-11.11,23.79,77.88,-7.97,-2.84,3.4,0.13,-0.06,0.17,2.04,4.2,9.52,0.1,-0.15,-0.09
32,65,93,63,123,59.68,-41.78,156.43,-10.23,21.86,79.0,-8.29,-3.23,3.62,0.3,-0.09,0.29,1.93,3.99,9.95,0.2,-0.21,-0.1
31,64,84,60,121,55.86,-37.23,151.63,-10.14,19.82,79.23,-8.08,-3.32,4.36,0.36,-0.06,0.4,1.95,3.69,10.24,0.29,-0.27,-0.11
30,63,88,57,90,58.01,-36.4,153.31,-9.65,21.41,79.65,-8.49,-3.15,4.27,0.41,0.0,0.49,1.86,3.99,10.19,0.36,-0.37,-0.07
29,63,73,3,81,60.68,-42.49,157.51,-10.5,22.94,78.62,-8.26,-3.13,3.42,0.54,-0.02,0.48,1.92,4.04,9.54,0.35,-0.42,-0.14
31,63,75,-6,103,58.36,-15.78,149.33,-16.32,27.06,71.79,-7.92,-1.33,4.7,0.4,-0.04,0.44,2.9,4.5,8.82,0.4,-0.4,-0.16
33,66,77,15,108,63.54,8.67,153.8,-16.76,39.59,68.65,-9.22,0.69,4.54,0.1,-0.04,0.17,3.18,6.73,8.14,0.28,-0.31,-0.3
35,68,72,42,112,66.24,6.59,156.38,-15.62,38.48,70.35,-8.24,0.42,3.6,-0.02,-0.06,0.02,2.74,6.11,7.68,-0.06,-0.15,-0.11
37,69,66,27,130,62.51,-3.35,152.55,-17.0,32.0,70.17,-7.57,-0.23,3.93,-0.06,0.01,0.03,2.9,5.03,8.04,-0.14,0.06,0.06
37,68,73,75,141,62.85,-19.52,154.21,-12.63,29.18,75.61,-8.09,-1.39,3.91,-0.13,0.07,0.09,2.28,4.96,8.88,-0.1,0.15,0.21
37,69,63,87,114,63.09,-25.88,155.46,-12.12,28.23,76.3,-8.87,-1.97,4.05,-0.21,0.02,0.13,2.31,5.09,9.48,-0.11,0.12,0.25
36,68,46,84,119,60.68,-26.69,153.35,-13.42,26.14,75.12,-8.42,-2.12,4.22,-0.21,0.0,0.12,2.5,4.61,9.4,-0.11,0.07,0.13
36,67,37,78,119,61.45,-22.04,153.23,-14.66,27.85,73.52,-8.4,-1.71,4.24,-0.19,-0.02,0.09,2.69,4.8,9.09,-0.08,0.03,0.05
36,68,37,87,105,61.57,-17.92,152.75,-15.33,29.61,72.5,-8.2,-1.36,4.22,-0.17,-0.02,0.07,2.8,5.04,8.88,-0.08,0.02,0.05
36,67,16,75,105,61.76,-17.83,152.92,-15.6,29.32,72.24,-8.13,-1.34,4.15,-0.13,0.01,0.04,2.83,4.95,8.82,-0.12,0.06,0.02
36,67,18,63,121,61.3,-20.95,152.92,-14.29,28.12,73.89,-8.12,-1.59,4.15,-0.14,0.01,0.02,2.57,4.76,8.91,-0.13,0.06,0.03
36,67,28,72,108,61.78,-20.72,153.34,-14.52,28.67,73.55,-8.26,-1.57,4.15,-0.13,0.02,0.02,2.65,4.91,8.99,-0.13,0.04,0.04
36,68,54,75,108,62.07,-20.11,153.53,-14.95,29.24,72.98,-8.26,-1.51,4.11,-0.08,0.03,-0.02,2.74,5.01,8.94,-0.15,0.05,-0.02
36,69,50,69,101,61.81,-19.22,153.15,-14.69,28.86,73.33,-8.4,-1.48,4.25,-0.03,0.05,-0.06,2.73,5.03,9.13,-0.18,0.04,-0.03
35,68,70,78,101,61.76,-27.2,154.46,-12.64,26.29,75.96,-8.24,-2.02,3.94,-0.01,0.04,-0.05,2.31,4.56,9.24,-0.16,0.03,-0.02
35,67,86,99,94,61.5,-25.11,153.82,-13.31,26.84,75.14,-8.29,-1.91,4.08,-0.05,0.04,0.0,2.47,4.71,9.31,-0.1,0.0,-0.04
35,67,111,96,103,62.35,-23.34,154.31,-12.99,27.81,75.38,-8.49,-1.76,4.08,-0.04,0.03,0.03,2.42,4.89,9.26,-0.06,-0.03,-0.04
35,67,100,93,90,62.56,-22.35,154.34,-13.65,28.02,74.62,-8.27,-1.63,3.97,-0.04,0.02,0.06,2.49,4.82,9.07,-0.02,-0.04,-0.02
35,67,118,111,99,62.85,-21.18,154.44,-13.49,28.71,74.71,-8.26,-1.53,3.95,-0.03,0.03,0.05,2.44,4.89,8.93,-0.02,-0.02,-0.01
35,67,120,108,96,62.25,-21.61,153.93,-13.61,28.15,74.64,-8.17,-1.58,4.0,-0.03,0.06,0.02,2.47,4.82,9.0,-0.07,0.0,-0.02
35,67,93,102,96,62.56,-24.73,154.75,-12.72,27.91,75.67,-8.32,-1.81,3.92,-0.05,0.07,0.0,2.32,4.8,9.06,-0.09,0.03,-0.04
35,67,79,96,94,61.64,-23.47,153.66,-13.64,27.4,74.72,-8.22,-1.77,4.07,-0.06,0.07,-0.01,2.49,4.73,9.12,-0.09,0.03,-0.06
35,67,64,87,130,62.45,-21.81,154.16,-13.71,28.53,74.48,-8.43,-1.63,4.08,-0.08,0.06,-0.01,2.51,4.92,9.05,-0.09,0.04,-0.03
35,67,55,54,126,61.69,-23.36,153.69,-13.73,27.49,74.6,-8.24,-1.76,4.07,-0.07,0.05,-0.02,2.52,4.75,9.14,-0.1,0.04,-0.05
35,67,57,51,112,62.17,-25.08,154.44,-12.92,27.56,75.49,-8.4,-1.88,4.02,-0.07,0.05,-0.01,2.38,4.81,9.22,-0.1,0.02,-0.04
35,67,77,54,119,62.18,-24.51,154.35,-13.62,27.69,74.7,-8.36,-1.83,4.01,-0.06,0.05,-0.01,2.51,4.82,9.19,-0.09,0.01,-0.06
35,67,61,78,99,62.55,-22.26,154.32,-13.41,28.53,74.82,-8.36,-1.64,4.02,-0.06,0.04,0.02,2.46,4.93,9.07,-0.08,0.0,-0.03
35,67,73,96,83,61.67,-22.56,153.54,-14.14,28.1,74.06,-8.1,-1.68,4.03,-0.04,0.05,0.02,2.55,4.78,8.95,-0.09,0.02,-0.04
35,67,72,120,83,61.79,-24.0,153.89,-13.4,27.27,75.0,-8.22,-1.79,4.03,-0.02,0.05,0.02,2.43,4.68,9.09,-0.07,0.01,-0.04
35,67,45,114,101,61.4,-23.75,153.48,-13.41,27.37,74.97,-8.2,-1.8,4.09,-0.02,0.06,0.03,2.46,4.74,9.15,-0.04,0.0,-0.05
35,67,63,75,101,62.21,-23.85,154.26,-12.95,28.11,75.39,-8.29,-1.77,4.0,-0.01,0.07,0.07,2.38,4.87,9.12,-0.04,-0.01,-0.04
35,67,77,57,130,62.45,-25.52,154.79,-13.2,27.47,75.19,-8.21,-1.85,3.87,0.0,0.06,0.08,2.39,4.71,9.05,-0.05,-0.01,-0.05
35,67,61,48,137,62.17,-23.28,154.13,-13.56,27.58,74.78,-8.3,-1.73,4.02,0.0,0.06,0.06,2.46,4.72,9.03,-0.03,-0.01,-0.06
35,67,59,48,128,62.63,-24.33,154.74,-12.75,28.16,75.61,-8.39,-1.79,3.96,0.01,0.05,0.04,2.34,4.89,9.13,-0.06,-0.02,-0.07
35,67,79,69,110,62.7,-23.91,154.74,-12.84,28.21,75.49,-8.41,-1.76,3.97,0.0,0.03,0.01,2.38,4.92,9.18,-0.09,-0.03,-0.08
35,67,57,114,105,62.47,-23.25,154.41,-12.79,28.04,75.58,-8.42,-1.73,4.03,-0.01,0.03,0.01,2.36,4.89,9.18,-0.1,-0.02,-0.08
35,67,46,111,85,62.61,-24.32,154.72,-12.24,27.65,76.24,-8.39,-1.79,3.96,-0.02,0.01,0.05,2.25,4.8,9.17,-0.08,-0.05,-0.03
35,67,59,114,63,62.59,-21.97,154.31,-13.88,28.47,74.3,-8.25,-1.6,3.97,-0.03,0.0,0.07,2.54,4.91,9.05,-0.05,-0.05,-0.01
35,68,61,111,67,63.1,-20.51,154.59,-13.6,29.34,74.49,-8.31,-1.48,3.95,-0.02,0.01,0.07,2.49,5.04,8.97,-0.06,-0.02,0.01
35,67,46,102,65,62.34,-21.09,153.94,-13.61,28.1,74.65,-8.24,-1.55,4.03,-0.01,0.07,0.04,2.48,4.82,9.04,-0.08,0.0,-0.01
35,67,45,87,42,63.15,-24.6,155.28,-12.45,27.73,76.0,-8.37,-1.76,3.85,-0.05,0.08,0.05,2.28,4.8,9.13,-0.08,0.0,-0.01
35,67,25,102,45,63.17,-23.3,155.08,-13.08,28.17,75.24,-8.4,-1.68,3.9,-0.04,0.05,0.06,2.39,4.86,9.07,-0.08,-0.02,0.0
35,67,30,117,40,63.8,-25.74,156.1,-12.68,28.16,75.68,-8.32,-1.78,3.69,-0.03,0.01,0.07,2.3,4.82,9.0,-0.08,-0.02,-0.02
35,67,16,132,51,62.99,-21.24,154.59,-13.53,28.2,74.73,-8.33,-1.54,3.96,-0.04,-0.01,0.07,2.46,4.84,9.02,-0.08,-0.02,0.0
35,67,30,120,69,62.3,-19.29,153.64,-13.83,28.38,74.37,-8.32,-1.44,4.13,-0.05,0.02,0.06,2.52,4.87,9.01,-0.09,0.0,0.02
35,67,37,108,99,63.71,-24.2,155.74,-12.55,28.43,75.8,-8.42,-1.7,3.79,-0.04,0.02,0.04,2.3,4.92,9.09,-0.14,0.01,0.05
35,67,59,102,87,62.93,-25.81,155.29,-12.56,27.02,75.96,-8.29,-1.85,3.82,-0.05,0.0,0.02,2.28,4.64,9.11,-0.14,-0.01,0.03
35,67,54,126,85,62.24,-21.13,153.86,-13.82,27.51,74.49,-8.38,-1.59,4.11,-0.06,0.01,0.0,2.56,4.81,9.22,-0.13,0.01,0.02
35,67,73,114,78,62.86,-20.77,154.39,-13.83,28.34,74.37,-8.31,-1.51,3.98,-0.07,0.05,-0.03,2.54,4.9,9.09,-0.14,0.06,0.03
35,67,77,126,54,64.34,-24.37,156.36,-12.48,28.57,75.86,-8.27,-1.64,3.62,0.0,0.07,-0.05,2.26,4.89,8.98,-0.16,0.07,0.03
35,67,72,141,45,62.08,-20.66,153.62,-12.89,27.41,75.54,-8.22,-1.54,4.08,0.0,0.09,-0.05,2.34,4.7,9.07,-0.15,0.06,0.03
35,67,59,144,58,61.51,-22.09,153.3,-12.88,26.12,75.72,-8.41,-1.72,4.23,-0.11,0.16,-0.04,2.35,4.53,9.24,-0.11,0.05,0.07
34,67,48,102,81,63.64,-32.86,157.4,-10.92,26.02,77.88,-8.47,-2.28,3.52,-0.17,0.04,-0.01,2.02,4.58,9.39,-0.05,0.05,0.07
33,67,27,90,105,62.81,-33.22,156.75,-11.5,26.06,77.24,-8.38,-2.36,3.6,-0.12,0.0,0.12,2.14,4.62,9.44,-0.01,-0.01,0.01
34,67,21,96,130,61.76,-24.33,153.92,-13.72,26.79,74.7,-8.3,-1.84,4.06,-0.06,-0.03,0.16,2.54,4.7,9.3,-0.01,-0.04,0.01
35,67,12,99,141,62.4,-18.9,153.69,-14.62,28.46,73.48,-8.34,-1.41,4.13,-0.08,0.01,0.13,2.66,4.85,8.95,-0.04,-0.05,0.03
35,67,9,69,144,63.42,-20.3,154.86,-14.64,28.58,73.43,-8.3,-1.44,3.9,-0.09,0.02,0.06,2.62,4.81,8.82,-0.09,-0.02,0.02
35,67,21,69,168,62.46,-22.21,154.23,-14.51,27.12,73.79,-8.17,-1.61,3.95,-0.05,0.03,-0.02,2.6,4.59,8.96,-0.13,0.0,0.0
35,67,45,81,146,61.88,-24.59,154.08,-13.32,26.53,75.17,-8.15,-1.81,3.96,-0.06,0.04,-0.02,2.42,4.56,9.13,-0.13,0.01,0.0
35,67,48,108,123,63.13,-26.38,155.59,-13.0,27.59,75.4,-8.4,-1.89,3.81,-0.03,0.0,-0.02,2.41,4.83,9.25,-0.15,-0.02,-0.02
35,67,70,108,121,62.18,-21.55,153.86,-14.19,27.2,74.13,-8.36,-1.62,4.1,-0.01,0.03,-0.04,2.6,4.71,9.16,-0.18,-0.02,-0.04
35,67,88,126,128,63.87,-22.7,155.65,-12.93,27.97,75.43,-8.55,-1.62,3.87,-0.04,0.01,-0.05,2.37,4.85,9.13,-0.2,-0.01,-0.01
35,67,88,144,114,64.85,-23.43,156.7,-12.77,28.49,75.54,-8.64,-1.61,3.72,-0.05,-0.04,-0.05,2.36,4.96,9.15,-0.2,-0.03,0.0
35,68,54,165,121,64.68,-21.29,156.21,-12.79,28.88,75.46,-8.67,-1.49,3.82,-0.06,-0.07,-0.05,2.38,5.06,9.18,-0.19,-0.04,0.03
35,67,57,141,112,64.14,-21.2,155.68,-14.0,28.12,74.21,-8.69,-1.52,3.93,-0.05,-0.08,-0.07,2.62,4.96,9.28,-0.22,-0.03,0.02
35,67,41,129,112,62.97,-23.98,155.0,-13.09,26.82,75.4,-8.54,-1.77,3.98,-0.06,-0.08,-0.09,2.44,4.74,9.37,-0.25,0.01,0.05
35,67,39,168,110,60.73,-25.63,153.19,-13.26,24.49,75.48,-8.21,-1.99,4.15,-0.09,-0.09,-0.09,2.44,4.29,9.41,-0.25,0.01,0.06
34,65,63,126,83,59.88,-31.95,153.79,-12.47,23.01,76.49,-7.92,-2.43,3.9,-0.1,-0.08,0.0,2.25,3.97,9.36,-0.16,-0.01,0.1
33,65,93,93,90,59.79,-31.41,153.58,-13.24,23.44,75.62,-8.06,-2.44,4.0,-0.06,-0.08,0.01,2.45,4.14,9.54,-0.12,-0.03,0.05
33,65,88,81,105,59.5,-28.08,152.54,-13.55,23.61,75.27,-8.03,-2.23,4.17,-0.02,-0.04,0.07,2.48,4.12,9.41,-0.09,-0.05,0.04
33,65,99,21,105,61.28,-26.86,153.95,-14.1,25.41,74.45,-8.42,-2.08,4.11,0.03,-0.04,0.01,2.61,4.46,9.39,-0.13,-0.07,-0.02
33,65,91,0,99,59.02,-25.0,151.45,-15.13,23.39,73.59,-7.89,-2.0,4.29,0.04,-0.02,-0.01,2.73,4.01,9.27,-0.13,-0.05,-0.05
34,65,59,45,112,58.61,-24.71,151.0,-14.69,24.07,73.99,-7.68,-1.96,4.26,0.02,0.02,0.09,2.63,4.09,9.17,-0.03,-0.05,-0.01
35,65,54,63,108,60.75,-20.44,152.31,-14.94,26.47,73.4,-8.17,-1.6,4.29,-0.02,0.04,0.14,2.73,4.57,9.17,0.01,-0.03,0.01
35,65,37,63,108,63.26,-19.87,154.64,-14.3,28.31,73.85,-8.53,-1.46,4.04,-0.04,0.02,0.11,2.64,4.91,9.11,-0.03,-0.03,0.02
37,65,36,129,90,60.88,-11.19,151.35,-16.1,28.4,71.84,-8.62,-0.93,4.71,-0.16,0.02,0.02,3.01,4.97,9.19,-0.14,-0.01,0.05
37,65,23,129,101,62.13,-19.8,153.54,-14.54,27.12,73.75,-8.14,-1.46,4.05,-0.31,0.07,-0.06,2.57,4.52,8.83,-0.18,0.02,0.06
