finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
-5,6,-22,-20,58,5.27,-75.34,110.01,-14.29,-43.51,70.64,-0.91,-9.52,2.49,0.02,-0.05,-0.04,2.62,-7.09,7.47,-0.16,-0.08,0.06
-5,5,8,0,51,5.19,-78.14,113.83,-12.84,-44.11,72.39,-0.9,-9.68,2.03,-0.11,-0.23,-0.05,2.35,-7.17,7.39,-0.11,-0.2,0.28
-5,6,16,27,54,2.81,-76.52,101.89,-14.17,-42.11,71.2,-0.5,-9.82,2.35,-0.13,-0.28,-0.01,2.62,-6.96,7.69,-0.08,-0.2,0.25
-5,7,34,22,46,1.02,-74.39,93.8,-14.53,-42.4,70.66,-0.18,-9.8,2.74,-0.14,-0.07,0.06,2.69,-6.99,7.66,-0.02,0,0.11
-5,7,30,15,55,3.16,-76.45,103.24,-13.51,-42.31,72,-0.55,-9.67,2.33,-0.18,0.14,0.1,2.46,-6.88,7.56,0.01,0.19,0.01
-5,7,40,54,73,5.4,-79.96,118.46,-11.37,-43.19,74.58,-0.92,-9.63,1.7,-0.17,0.11,0.1,2.04,-6.96,7.41,0.03,0.15,0.04
-5,7,16,40,87,5.85,-79.4,119.12,-12.18,-39.02,74.47,-0.99,-9.53,1.78,-0.18,0.13,0.07,2.18,-6.35,7.83,0.01,0.15,0.01
-5,7,16,29,73,4.45,-80.66,115.64,-10.42,-40.81,76.34,-0.77,-9.77,1.61,-0.06,0.36,0.04,1.88,-6.67,7.73,-0.03,0.29,-0.2
-5,7,8,27,70,8.38,-83.1,140.81,-9.49,-40.57,77.59,-1.41,-9.52,1.15,-0.08,0.26,-0.01,1.69,-6.57,7.67,-0.09,0.2,-0.12
-5,6,-4,20,54,6.17,-81.85,127.32,-9.14,-45.15,77.15,-1.06,-9.71,1.39,0.01,0.13,-0.12,1.65,-7.26,7.22,-0.2,0.04,-0.07
-5,7,-28,15,58,3.16,-82.35,112.53,-11.15,-42.2,75.1,-0.55,-9.83,1.32,0.03,-0.03,-0.11,2,-6.82,7.52,-0.2,-0.04,-0.02
-5,6,-16,18,58,1.62,-80.72,99.94,-9.28,-45.64,76.84,-0.28,-9.95,1.63,0.21,0.02,-0.13,1.67,-7.3,7.14,-0.28,-0.07,-0.13
-5,5,-16,13,60,-0.57,-75.49,87.71,-13.84,-46.1,70.43,0.1,-9.73,2.52,0.13,-0.06,-0.1,2.54,-7.43,7.15,-0.21,-0.17,-0.07
-5,5,-34,13,61,-0.25,-74.05,89.1,-14.1,-45.7,70.22,0.04,-9.65,2.76,0.12,0.05,-0.09,2.57,-7.34,7.16,-0.19,-0.05,-0.1
-5,5,-28,38,45,-0.89,-75.77,86.38,-13.29,-48.48,70.38,0.16,-9.85,2.5,0.01,0.04,-0.05,2.43,-7.7,6.82,-0.12,-0.05,-0.03
-5,5,30,15,36,2.37,-78.85,102.1,-12.49,-43.96,72.89,-0.41,-9.8,1.93,0.08,-0.02,0.04,2.24,-7.01,7.27,-0.09,-0.11,-0.08
-5,5,22,42,21,2.31,-74.71,98.71,-14.47,-44.84,70,-0.4,-9.49,2.6,0.06,-0.05,0.05,2.63,-7.19,7.23,-0.08,-0.11,-0.06
-5,6,28,56,36,3.04,-73.42,100.52,-15.06,-43.4,69.68,-0.52,-9.39,2.8,-0.04,-0.04,0,2.73,-6.98,7.38,-0.12,-0.03,0
-5,5,36,56,40,1.08,-78.81,95.53,-11.6,-45.5,73.68,-0.19,-9.87,1.95,-0.06,0,0.01,2.09,-7.25,7.12,-0.09,0,0
-5,5,32,51,60,2.51,-78.38,102.3,-12.41,-44.17,72.94,-0.44,-9.72,2,0.04,-0.03,0.06,2.24,-7.1,7.3,-0.07,-0.11,-0.04
-5,5,-14,92,49,2.52,-74.13,99.15,-14.49,-44.25,70.17,-0.43,-9.47,2.69,0,-0.04,0.03,2.64,-7.14,7.33,-0.09,-0.07,0
-5,5,6,78,54,2.55,-74.65,99.56,-14.12,-43.98,70.73,-0.44,-9.53,2.62,-0.11,-0.01,0.02,2.57,-7.08,7.34,-0.1,0.04,0.02
-5,5,-2,83,51,1.12,-80.32,96.65,-11.34,-45.55,74.02,-0.2,-9.99,1.7,-0.06,0.02,0.02,2.05,-7.3,7.16,-0.07,-0.03,-0.01
-5,6,10,87,52,2.86,-77.91,103.43,-12.69,-42.9,72.92,-0.5,-9.69,2.08,0.04,-0.1,0.09,2.28,-6.9,7.43,-0.07,-0.12,-0.03
-5,5,6,94,58,3.06,-72.95,100.33,-14.6,-43.2,70.34,-0.52,-9.38,2.88,-0.03,-0.05,0.07,2.68,-7.04,7.49,-0.1,0.01,-0.02
-5,5,44,76,55,2.09,-78.34,100.24,-11.57,-44.6,73.96,-0.37,-9.83,2.03,-0.1,0.05,0.04,2.08,-7.15,7.25,-0.09,0.07,-0.02
-5,5,26,85,70,3.13,-79.88,107.27,-11.05,-44.7,74.64,-0.54,-9.79,1.75,0.03,0.03,0.02,1.98,-7.14,7.22,-0.1,-0.07,-0.09
-5,5,30,67,55,2.4,-74.93,99.15,-13.87,-44.69,70.84,-0.41,-9.39,2.53,-0.01,-0.05,0.02,2.52,-7.17,7.25,-0.1,-0.09,0
-5,5,44,69,54,1.45,-74.88,95.55,-13.57,-44.72,71.23,-0.25,-9.57,2.59,-0.12,0.02,0.01,2.45,-7.15,7.22,-0.08,0,0.03
-5,5,70,72,42,1.62,-80.4,99.62,-11.61,-45.67,73.62,-0.28,-9.94,1.68,-0.04,-0.01,0.07,2.08,-7.25,7.09,-0.07,-0.04,-0.04
-5,5,42,103,40,2.2,-78.27,100.69,-13.15,-44.54,71.85,-0.38,-9.71,2.02,0.05,-0.17,0.17,2.38,-7.15,7.26,-0.05,-0.1,-0.01
-5,6,42,94,39,3.42,-75.62,103.52,-14.36,-42.63,70.82,-0.58,-9.48,2.43,0.02,-0.13,0.13,2.59,-6.86,7.45,-0.09,-0.03,-0.03
-5,5,28,108,45,3.33,-75.89,103.42,-12.98,-45.04,71.94,-0.58,-9.62,2.42,-0.07,-0.05,0.07,2.36,-7.25,7.24,-0.1,0.04,-0.01
-5,6,-16,117,40,3.27,-79.74,107.79,-11.44,-43.21,74.48,-0.57,-9.85,1.78,-0.02,-0.08,0.07,2.04,-6.9,7.35,-0.09,-0.05,0
-5,5,-24,94,49,1.2,-77.45,95.52,-13.75,-43.5,71.37,-0.21,-9.69,2.16,0.1,-0.22,0.2,2.49,-7.02,7.4,-0.13,-0.08,-0.09
-5,5,-30,63,48,3.35,-70.92,100.14,-15.28,-45.69,68.64,-0.58,-9.33,3.22,-0.05,-0.19,0.16,2.79,-7.3,7.13,-0.1,-0.02,0
-5,5,-24,56,57,2.47,-76.55,100.51,-11.94,-45.03,73.34,-0.44,-9.82,2.35,-0.05,-0.17,0.18,2.14,-7.14,7.13,-0.1,0.01,-0.01
-5,5,-20,54,46,2.6,-78.75,103.08,-12.54,-45.36,72.43,-0.45,-9.73,1.94,0.15,-0.17,0.25,2.26,-7.24,7.15,-0.08,-0.09,-0.08
-5,5,6,47,55,3.8,-69.92,100.95,-16.89,-44.21,67.04,-0.65,-9.14,3.34,-0.02,-0.11,0.12,3.11,-7.15,7.35,-0.1,-0.06,-0.01
-5,5,12,56,61,0.72,-75.81,92.95,-14.82,-44.62,69.61,-0.12,-9.55,2.41,-0.13,-0.2,0.26,2.68,-7.11,7.21,-0.1,0.12,0.05
-5,5,18,47,81,3.37,-80.89,110.4,-11.16,-44.9,74.43,-0.59,-9.96,1.6,0.04,-0.22,0.31,1.98,-7.1,7.13,-0.05,0.01,-0.03
-5,5,22,47,63,5.53,-73.03,108.33,-12.62,-44.09,72.69,-0.95,-9.4,2.87,0.26,-0.23,0.29,2.28,-7.08,7.31,-0.05,-0.08,-0.07
-5,5,24,45,73,5.69,-68.19,105.01,-14.97,-44.22,69.54,-0.98,-9.11,3.64,-0.06,-0.04,0.16,2.72,-7.09,7.28,-0.09,0.06,0.01
-5,5,14,42,66,4.25,-78.87,111.03,-10.81,-46.49,74.51,-0.74,-9.84,1.94,-0.07,0.04,0.03,1.92,-7.3,6.93,-0.09,0.04,-0.01
-5,5,-4,22,67,5.1,-74.48,108.43,-13.2,-43.95,71.96,-0.87,-9.44,2.62,0.08,-0.13,0.14,2.38,-7.04,7.3,-0.08,-0.08,-0.05
-5,5,-10,31,48,3.71,-72.18,101.96,-13.86,-45.25,70.68,-0.64,-9.39,3.02,-0.01,0,0.03,2.52,-7.26,7.2,-0.08,0,-0.03
-5,5,-10,47,49,4.77,-74.78,107.65,-12.7,-44.01,72.6,-0.82,-9.51,2.59,-0.1,0.01,0.02,2.28,-7.03,7.27,-0.09,0.01,0.01
-5,5,-2,49,49,4.56,-76.5,108.84,-11.86,-45.6,73.29,-0.79,-9.67,2.32,-0.03,0.05,0.03,2.14,-7.29,7.14,-0.07,-0.01,-0.05
-5,5,10,58,61,4.93,-74.54,107.95,-13.36,-44.41,71.61,-0.85,-9.46,2.62,-0.01,0,0.01,2.42,-7.13,7.27,-0.07,-0.07,-0.02
-5,5,0,81,40,3.02,-72.56,99.97,-14.94,-44.68,69.43,-0.52,-9.41,2.95,-0.12,0.03,0.02,2.73,-7.2,7.29,-0.07,0.03,0.03
-5,5,10,67,46,4.59,-78.01,111.13,-11.47,-44.54,74.11,-0.8,-9.77,2.08,-0.07,0.04,0.04,2.05,-7.09,7.21,-0.06,0.01,-0.03
