finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
81,5,102,130,58,-31.40,60.75,38.67,-22.16,-50.65,57.28,5.07,7.25,4.06,-0.38,-0.05,0.04,3.93,-7.46,6.11,-0.14,0.34,0.06
80,5,80,121,70,-31.55,55.88,42.42,-19.11,-49.96,61.69,4.97,6.70,4.54,-0.37,-0.05,-0.11,3.32,-7.34,6.17,-0.07,0.40,-0.08
79,5,98,139,76,-30.01,50.91,47.52,-16.35,-47.97,66.34,4.64,6.23,5.06,-0.24,-0.03,-0.11,2.78,-7.03,6.34,0.00,0.27,-0.17
78,5,94,146,72,-29.81,53.11,46.34,-17.95,-48.80,63.82,4.56,6.36,4.77,-0.14,-0.09,-0.11,3.11,-7.23,6.33,-0.07,0.14,-0.25
78,5,112,159,79,-31.03,54.10,44.27,-19.93,-49.88,60.64,4.76,6.41,4.64,-0.11,-0.05,0.03,3.57,-7.53,6.34,-0.13,0.02,-0.06
78,5,88,150,94,-31.49,56.06,42.34,-19.61,-49.06,61.46,5.04,6.83,4.59,-0.05,-0.05,0.07,3.48,-7.37,6.40,-0.16,0.01,-0.04
78,5,92,164,114,-31.79,53.35,43.93,-17.91,-50.32,63.15,5.09,6.60,4.91,0.08,-0.10,-0.05,3.17,-7.54,6.26,-0.13,-0.02,-0.22
78,5,74,148,102,-31.73,53.53,43.87,-18.60,-50.31,62.22,5.01,6.51,4.81,0.15,-0.05,-0.01,3.33,-7.62,6.32,-0.12,-0.10,-0.18
78,5,66,121,115,-31.16,56.80,42.16,-19.93,-50.29,60.43,5.04,6.97,4.56,0.06,0.00,0.10,3.62,-7.69,6.39,-0.13,-0.10,-0.03
78,5,52,117,118,-32.60,54.47,42.26,-18.38,-50.61,62.36,5.29,6.73,4.81,0.07,0.02,0.05,3.30,-7.68,6.31,-0.08,-0.11,-0.07
78,5,66,117,100,-31.12,56.19,42.66,-20.14,-49.51,60.54,5.04,6.93,4.64,0.12,0.08,0.05,3.64,-7.56,6.45,-0.04,-0.13,-0.07
79,5,70,110,87,-29.54,56.39,44.33,-20.35,-48.08,60.97,4.78,7.02,4.67,0.04,0.11,0.03,3.67,-7.36,6.61,-0.02,-0.05,-0.02
78,6,70,94,88,-27.39,56.87,46.52,-21.67,-45.71,60.36,4.30,6.95,4.53,-0.01,0.13,0.12,3.82,-6.88,6.71,-0.06,-0.07,0.07
79,7,74,128,78,-26.49,58.30,46.51,-22.45,-44.84,59.77,4.15,7.09,4.38,0.01,0.09,0.17,3.96,-6.75,6.79,-0.10,-0.05,0.08
80,7,82,112,75,-24.52,58.57,48.83,-22.92,-43.10,59.93,3.86,7.22,4.41,-0.02,0.05,0.17,4.02,-6.49,6.94,-0.14,0.01,0.08
79,7,106,119,78,-23.76,55.31,52.28,-22.18,-42.35,61.12,3.53,6.60,4.57,-0.04,0.05,0.29,3.76,-6.22,6.82,-0.18,0.04,0.16
78,8,102,150,69,-22.71,56.90,52.54,-20.57,-41.46,63.39,3.35,6.71,4.37,0.03,0.05,0.42,3.40,-6.00,6.79,-0.23,0.08,0.22
78,9,106,168,67,-23.01,56.22,52.63,-18.96,-41.00,65.52,3.20,6.26,4.19,-0.03,-0.20,0.41,2.97,-5.67,6.53,-0.48,-0.09,0.15
77,9,110,153,58,-29.59,53.66,46.22,-19.05,-47.63,62.88,4.06,5.75,4.23,0.11,-0.34,0.45,3.06,-6.55,5.98,-0.62,-0.21,0.13
76,9,108,171,58,-32.38,55.09,42.07,-17.42,-48.20,64.79,4.64,6.00,4.19,0.22,-0.42,0.48,2.78,-6.61,5.91,-0.71,-0.28,0.04
