finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
-5,11,40,38,22,-14.00,-81.33,31.14,-13.66,-40.46,72.28,2.45,-9.71,1.48,0.06,-0.07,0.02,2.48,-6.63,7.77,-0.10,-0.12,0.02
-5,11,34,51,24,-15.55,-77.81,37.19,-15.16,-40.22,70.47,2.72,-9.55,2.06,0.04,-0.10,0.03,2.78,-6.64,7.85,-0.08,-0.11,0.04
-5,11,42,40,21,-13.98,-79.74,35.59,-14.08,-41.31,71.53,2.42,-9.55,1.73,0.03,-0.12,0.07,2.57,-6.75,7.69,-0.06,-0.09,0.06
-5,11,22,36,34,-13.91,-81.12,31.93,-13.24,-38.78,73.20,2.42,-9.65,1.51,0.04,-0.14,0.07,2.39,-6.37,7.93,-0.03,-0.13,0.08
-5,11,16,29,48,-13.49,-77.55,41.95,-14.30,-38.29,72.00,2.32,-9.43,2.08,-0.01,-0.06,0.06,2.63,-6.38,8.09,-0.04,-0.08,0.04
-5,11,12,40,58,-11.92,-82.04,33.26,-13.00,-38.36,73.59,2.06,-9.66,1.35,-0.03,-0.09,0.06,2.36,-6.34,8.01,-0.04,-0.09,0.07
-5,11,26,33,54,-12.33,-81.23,34.90,-13.35,-37.69,73.30,2.14,-9.67,1.49,-0.01,-0.11,0.04,2.44,-6.29,8.14,-0.06,-0.10,0.08
-5,11,30,38,58,-12.60,-80.66,35.99,-13.03,-36.57,73.93,2.19,-9.65,1.59,-0.05,-0.08,0.04,2.38,-6.14,8.28,-0.05,-0.04,0.05
-5,11,12,47,52,-11.55,-82.65,32.05,-11.80,-36.92,75.36,2.01,-9.76,1.26,-0.03,-0.04,0.03,2.15,-6.18,8.23,-0.08,-0.05,0.02
-5,11,80,49,39,-12.63,-80.53,36.29,-13.07,-37.42,73.70,2.21,-9.72,1.62,-0.04,-0.02,0.02,2.40,-6.29,8.22,-0.09,-0.05,0.02
