finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
76,11,100,63,15,-30.47,54.45,44.66,-40.18,-120.49,-31.00,4.81,6.64,4.75,-0.05,0.03,0.04,6.30,-6.43,-3.79,-0.06,-0.02,-0.01
76,11,110,67,6,-31.34,54.35,43.74,-38.06,-122.10,-34.16,5.02,6.69,4.80,-0.08,0.03,0.03,6.05,-6.55,-4.11,-0.07,-0.01,-0.00
76,11,106,81,4,-30.65,54.34,44.54,-40.09,-120.44,-31.04,4.77,6.55,4.70,-0.07,0.04,0.03,6.25,-6.40,-3.76,-0.05,-0.01,-0.01
76,11,108,92,7,-30.82,54.12,44.49,-38.71,-121.06,-32.78,4.85,6.59,4.76,-0.04,-0.01,-0.01,6.05,-6.47,-3.90,-0.08,0.04,0.01
76,11,88,99,24,-31.69,52.98,44.28,-37.02,-121.93,-35.04,4.99,6.45,4.87,-0.02,0.03,0.05,5.75,-6.47,-4.03,-0.06,-0.04,-0.05
76,11,46,63,67,-30.13,54.81,44.80,-37.92,-121.92,-34.17,4.85,6.83,4.81,-0.04,0.06,0.09,5.93,-6.46,-4.03,-0.06,-0.09,-0.06
76,11,36,74,64,-30.18,54.13,45.21,-39.13,-120.85,-32.22,4.81,6.69,4.84,-0.04,0.02,0.05,6.17,-6.51,-3.89,-0.08,-0.03,-0.03
76,11,52,51,57,-30.80,53.86,44.69,-37.92,-121.46,-33.81,4.91,6.65,4.86,-0.05,0.01,0.04,5.91,-6.47,-3.96,-0.09,-0.01,-0.02
76,11,54,56,64,-31.73,53.36,43.98,-37.13,-121.87,-34.88,5.00,6.48,4.82,-0.04,0.06,0.09,5.73,-6.43,-4.00,-0.07,-0.08,-0.05
76,11,52,51,49,-30.29,53.93,45.23,-40.49,-120.70,-30.88,4.77,6.60,4.81,-0.03,0.04,0.13,6.33,-6.37,-3.78,-0.13,-0.08,-0.07
76,11,46,22,16,-32.84,52.88,43.08,-37.21,-123.44,-35.97,5.20,6.42,4.86,-0.05,0.04,0.12,5.88,-6.46,-4.27,-0.11,-0.08,-0.05
76,11,50,-2,36,-32.32,53.14,43.47,-39.39,-122.81,-33.42,5.11,6.46,4.85,-0.01,0.05,0.12,6.24,-6.39,-4.12,-0.08,-0.07,-0.07
76,11,48,-2,40,-32.02,53.37,43.65,-38.90,-123.19,-34.16,5.15,6.61,4.92,-0.03,0.05,0.08,6.17,-6.40,-4.19,-0.09,-0.03,-0.05
76,11,46,0,28,-32.27,51.63,44.51,-39.28,-121.88,-32.86,5.06,6.29,4.98,-0.01,0.06,0.07,6.01,-6.24,-3.88,-0.07,0.00,-0.08
76,11,56,18,21,-31.30,50.58,46.24,-37.55,-122.52,-34.97,4.88,6.20,5.09,0.08,-0.01,0.04,5.79,-6.35,-4.05,-0.06,0.16,-0.21
76,11,76,54,12,-32.89,54.20,42.13,-34.55,-124.75,-39.62,5.27,6.62,4.77,0.14,0.06,0.15,5.48,-6.54,-4.54,0.06,-0.02,-0.26
77,11,80,56,1,-30.91,56.65,42.56,-40.35,-121.32,-31.46,5.21,7.27,4.79,0.06,0.14,0.31,6.52,-6.56,-3.99,0.14,-0.21,-0.21
78,11,82,49,-4,-27.79,58.14,45.05,-46.40,-116.25,-22.84,4.36,7.03,4.37,0.03,0.13,0.16,7.03,-6.00,-2.96,0.02,-0.15,-0.06
78,11,74,72,-3,-30.12,57.11,43.11,-42.91,-119.22,-27.71,4.68,6.78,4.38,-0.03,-0.06,-0.02,6.57,-6.17,-3.45,-0.18,0.07,0.04
78,11,62,60,-4,-33.02,54.49,41.79,-36.09,-123.56,-37.17,5.27,6.60,4.71,-0.06,-0.04,0.02,5.63,-6.43,-4.27,-0.17,-0.02,0.01
78,11,52,47,3,-32.40,54.90,42.18,-38.84,-122.70,-33.86,5.32,6.86,4.82,-0.06,0.07,0.12,6.21,-6.49,-4.16,-0.08,-0.15,0.00
78,11,62,47,-37,-32.24,54.32,42.77,-41.14,-121.86,-31.14,4.94,6.37,4.57,-0.04,0.08,0.09,6.46,-6.28,-3.90,-0.07,-0.13,0.03
78,11,36,69,-30,-33.07,53.72,42.26,-40.53,-123.39,-32.77,5.30,6.56,4.82,0.00,0.05,0.01,6.32,-6.17,-4.07,-0.07,-0.06,0.03
78,11,52,49,-21,-32.67,54.56,42.12,-38.71,-124.28,-35.10,5.28,6.71,4.78,-0.02,0.04,0.03,6.03,-6.22,-4.24,-0.10,-0.04,-0.00
78,11,60,40,-16,-33.34,53.79,41.93,-38.36,-123.55,-34.93,5.17,6.34,4.64,-0.06,0.07,0.09,6.09,-6.41,-4.25,-0.05,-0.12,-0.01
78,11,40,56,-21,-32.10,55.06,42.39,-40.54,-122.01,-31.78,5.06,6.61,4.62,0.01,0.03,0.05,6.43,-6.38,-3.99,-0.04,-0.07,-0.01
78,11,34,76,10,-32.00,56.13,41.73,-37.40,-123.04,-35.49,4.94,6.56,4.41,0.07,-0.03,0.04,5.82,-6.38,-4.15,-0.08,-0.10,-0.01
78,11,84,72,15,-31.49,53.14,44.40,-37.53,-122.51,-34.98,4.98,6.51,4.88,-0.06,0.09,0.11,5.96,-6.55,-4.17,-0.07,-0.12,-0.02
78,11,88,60,7,-34.54,49.62,43.27,-31.84,-125.94,-43.39,5.51,6.10,5.19,0.01,0.18,0.18,4.85,-6.32,-4.58,-0.03,-0.23,-0.08
78,11,94,76,16,-31.87,50.59,45.60,-36.02,-123.08,-36.89,5.09,6.33,5.20,0.12,0.35,0.42,5.68,-6.55,-4.27,0.12,-0.49,-0.28
